; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280057,"CurrentTimeLocal","Mon Sep 28 10:00:57 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00038
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.01304,158.598178,203.333635,1.164185,4.813122,5.164562,0.516943,0.1558,373.762745,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.02406,0.351922,0.250301,1.071744,2.08745,5.028362,0.768783,0.141961,9.727883,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.02186,0.330402,0.246781,1.058645,2.43157,5.098943,0.550382,0.142881,9.884564,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.020701,0.350741,0.250001,1.118185,2.27985,5.067922,0.560123,0.141321,9.791764,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.02106,0.339482,0.247181,1.181125,2.341851,4.57816,0.565062,0.143661,9.420562,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.0213,0.341561,0.250061,1.149645,2.26113,4.4961,0.575303,0.330921,9.429181,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.02228,0.336822,0.247661,1.156265,2.27211,4.6124,0.573103,0.1387,9.362181,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.02184,0.330022,0.244301,1.161825,2.22129,4.55588,0.580262,0.330842,9.449222,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.02232,0.330122,0.242341,1.127725,2.716332,4.816161,0.570443,0.14342,9.971844,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.02214,0.328002,0.245681,1.156225,2.27671,4.56876,0.546282,0.145121,9.291921,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.02094,0.328641,0.243301,1.146385,2.25085,4.45182,0.483442,0.151221,9.07938,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.01782,0.338922,0.247541,1.052784,2.14327,4.385179,0.817124,0.164141,9.169721,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.02098,0.362401,0.256862,1.038804,1.871688,5.173343,0.782604,0.1471,9.656822,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.01902,0.341842,0.253321,1.019185,1.642627,5.471764,0.790863,0.146041,9.687663,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.02186,0.344982,0.252141,1.031104,1.699268,6.060886,0.797564,0.149441,10.360886,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.0211,0.349821,0.249942,1.060084,1.769208,5.285543,0.777504,0.14214,9.659042,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.01876,0.311842,0.239101,1.069265,0.637202,5.108823,0.781663,0.148181,8.317957,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.01938,0.323641,0.274582,1.028544,0.666403,5.037662,0.780844,0.14102,8.274956,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.041501,0.320201,0.239261,1.027745,0.645442,5.218503,0.788624,0.149081,8.433298,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.02198,0.331181,0.246501,1.041565,0.649663,5.195223,0.785123,0.141061,8.415257,3678400,0,3630000,3.0723972588e-16,0
