; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853231,"CurrentTimeLocal","Wed Sep 23 11:27:11 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 8.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.007467,17.520089,19.136789,0.438745,3.904103,7.819267,0.199525,0.184914,49.26016,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.005227,17.018309,19.219453,0.415368,1.59794,1.707897,0.19728,0.138827,40.328533,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.000237,17.047654,19.187296,0.247441,1.606707,1.708907,0.19569,0.132169,40.154706,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.000213,16.833058,19.255257,0.245535,1.602471,1.714825,0.19664,0.138615,40.015416,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.000274,17.065037,19.22945,0.24521,1.606238,1.597161,0.195007,0.13455,40.101135,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.00025,17.206104,19.312181,0.244654,1.611984,5.315402,0.194147,0.140236,44.054365,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.00024,17.185005,19.329268,0.243699,1.604509,1.580477,0.194409,0.144229,40.310386,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.000282,17.528873,19.726546,0.246644,1.494672,1.488945,0.194412,0.136114,40.84705,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.00032,17.252151,19.706,0.247418,1.498422,3.728683,0.194181,0.137503,42.793208,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.000244,17.099108,19.567836,0.245913,1.562562,1.46563,0.193999,0.139841,40.304667,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.000325,17.401298,19.592117,0.249228,1.487969,1.589357,0.193882,0.131724,40.675283,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.000211,17.087452,19.032685,0.238466,3.492184,0.696508,0.1908,0.135306,40.902139,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.000314,16.682091,18.610209,0.240142,5.780088,8.404722,0.189068,0.135532,50.070179,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.000272,16.413636,18.005587,0.233074,5.703175,3.81522,0.190981,0.134827,44.524241,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000229,16.215284,18.189373,0.236047,6.184129,5.356522,0.190398,0.129203,46.528365,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.000215,16.189044,18.209674,0.236,5.53103,6.036419,0.189878,0.135875,46.554819,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.000268,16.800698,18.884157,0.238626,4.731925,1.602237,0.19113,0.133054,42.609852,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.000252,16.468799,18.422243,0.2398,5.428683,5.453804,0.191621,0.137296,46.371823,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.000248,16.68686,18.745693,0.2399,4.491059,5.016262,0.19124,0.131632,45.531201,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.000242,16.685006,18.786932,0.238252,1.605821,5.540201,0.190396,0.134529,43.209338,3678400,0,3630000,1.4998352425e-16,0
