; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853237,"CurrentTimeLocal","Wed Sep 23 11:27:17 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.9e-05
; "Time_ContextDestroy [ms]", 8.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.00758,17.340316,19.359575,0.433012,2.108175,3.541394,0.194503,0.18466,43.21937,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.005406,17.127339,19.245488,0.420833,1.595339,1.59377,0.193874,0.138912,40.34924,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.000248,17.079261,19.204159,0.245414,1.601286,1.594114,0.201835,0.135154,40.089946,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.000197,17.083808,19.256667,0.245843,1.596315,1.606454,0.194693,0.137013,40.149499,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.000243,17.099016,19.218919,0.246546,1.594944,1.586544,0.194234,0.136948,40.105305,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.000223,17.226778,19.325185,0.246326,1.595828,1.58452,0.194909,0.137904,40.340324,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.000258,17.214319,19.457111,0.247116,1.601518,1.586089,0.195179,0.133796,40.465398,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.000285,17.224193,19.348903,0.245457,1.614901,1.585825,0.19494,0.136681,40.380803,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.000202,17.224289,19.342186,0.244394,1.593444,1.591536,0.195551,0.136862,40.35697,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.00026,17.064033,19.226661,0.24538,1.605082,1.597415,0.194535,0.139317,40.10133,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.000219,17.084676,19.222983,0.245079,1.606909,1.588603,0.195698,0.132566,40.104699,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.000262,17.092436,19.224977,0.246081,1.603811,1.585525,0.194253,0.137412,40.11301,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.000213,17.121324,19.236073,0.24764,1.604811,1.587274,0.194689,0.136033,40.156615,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.000215,17.496198,19.698998,0.24763,0.823679,0.722219,0.194874,0.141468,39.354537,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000256,17.542146,19.704733,0.246016,0.811642,0.730715,0.195763,0.134511,39.394195,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.000209,17.550683,19.515145,0.244237,1.668524,5.760052,0.195257,0.137752,45.100851,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.000195,17.545309,19.354359,0.242705,4.887508,3.053739,0.194535,0.138345,45.445753,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.000214,17.419011,19.456757,0.244509,3.109233,1.509091,0.195796,0.140561,42.104956,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.000229,17.407015,19.568825,0.24679,0.826086,1.508425,0.194062,0.133618,39.914682,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.000203,17.414708,19.599734,0.246796,3.000125,1.508834,0.194974,0.137919,42.132072,3678400,0,3630000,1.4998352425e-16,0
