; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601279961,"CurrentTimeLocal","Mon Sep 28 09:59:21 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00034
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.014,27.594642,27.837742,0.942964,672.578901,16.026451,0.672183,0.299841,745.969804,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.01856,26.654077,27.573722,0.915604,16.676593,16.520953,0.646703,0.262521,89.272113,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.00062,26.802798,27.486641,0.768523,16.650414,16.466572,0.646943,0.235541,89.061212,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.0006,26.590777,27.453821,0.903944,16.463753,16.625893,0.642223,0.257521,88.941512,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.00056,26.622477,27.41588,0.829124,16.449352,16.287212,0.643023,0.256521,88.507509,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.00058,26.665377,27.465621,0.444582,16.450573,16.286931,0.641323,0.256361,88.214468,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.00054,26.657437,27.481301,0.807964,16.509292,16.323952,0.648383,0.260101,88.69195,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.00066,26.679078,27.4692,0.447002,16.449273,16.285772,0.643402,0.261521,88.239268,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.00086,26.728618,27.437481,0.851804,16.502392,16.286792,0.645403,0.256561,88.713291,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.00058,26.672917,27.535321,0.792684,16.635853,16.418932,0.642863,0.269701,88.972271,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.00056,26.629637,27.489881,0.454002,16.578573,16.219852,0.653603,0.264041,88.293289,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.00056,26.639858,27.513401,0.444002,16.581093,16.282251,0.643663,0.260221,88.368229,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.00062,26.636117,27.469481,0.448562,16.407032,16.299592,0.642983,0.261241,88.168728,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.00056,26.705937,27.513381,0.895464,16.727894,16.365912,0.644483,0.262421,89.119412,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.00062,26.674297,27.466061,0.794604,16.488572,16.166731,0.640623,0.259181,88.493989,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.00054,26.607177,27.508181,0.481862,16.632734,16.331612,0.639542,0.259642,88.46455,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.00062,26.720278,27.512181,0.809964,16.528752,16.300412,0.642723,0.259261,88.777371,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.00056,26.593137,27.522101,0.823344,16.483392,16.275612,0.646163,0.258261,88.60583,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.00064,26.674218,27.498941,0.783523,16.544433,17.245736,0.641383,0.260101,89.652195,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.00082,26.668697,27.429581,0.445402,16.494033,16.260331,0.639743,0.258401,88.200228,3037968,0,2996352,6.5256333432e-17,0
