; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161576,"CurrentTimeLocal","Tue Sep 15 11:19:36 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.2e-05
; "Time_ContextDestroy [ms]", 0.000201
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.018005,3.917275,3.707149,19.68215,17.344033,140.595167,10.373926,1.578541,197.217173,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.022425,3.912125,3.690027,19.639996,17.552559,130.352313,10.442544,1.571018,187.183581,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.017726,4.001026,3.746572,19.833619,17.635523,139.256635,10.291987,1.540618,196.324471,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.017525,3.714911,3.577239,19.494388,17.856601,142.930016,10.44138,1.609024,199.641733,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.018371,3.993756,3.775737,19.838365,18.368139,146.660676,10.436827,1.596968,204.689657,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.018937,3.970564,3.798787,19.779603,17.80563,141.944363,10.442137,1.565473,199.326113,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.020157,3.994094,3.804267,19.829204,19.200611,134.829596,10.368337,1.572519,193.619759,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.019062,3.826874,3.623228,19.470695,19.164809,134.855617,10.445378,1.544362,192.950917,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.023527,3.970781,3.757006,19.41562,19.3722,129.764848,10.138595,1.414316,187.857529,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.018384,3.616133,3.412432,19.049531,18.68918,171.944616,10.375245,1.588916,228.695997,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.017802,3.864345,3.691953,19.691939,17.829211,159.120431,10.379679,1.517094,216.113605,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.018978,3.892135,3.706517,19.659553,18.541764,154.875622,10.444032,1.59647,212.736057,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.018909,4.001696,3.782002,19.298543,18.005221,157.539617,10.443786,1.560475,214.651409,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.014163,4.728623,4.031171,78.318998,301.424099,245.200678,41.17174,5.832685,680.723011,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.016654,4.749825,4.000114,77.895128,287.670968,246.369536,40.742603,5.470429,666.916151,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.014843,4.535735,3.829586,76.648267,298.979805,247.290728,41.040006,5.364912,677.70492,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.020033,4.367454,3.717773,75.761914,260.237529,245.07878,39.792313,4.869907,633.846245,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.014917,4.429446,3.706542,75.776325,318.240158,246.824176,41.027645,5.305955,695.326207,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.016544,4.738806,3.996997,78.398403,298.660195,243.634014,41.015321,5.339044,675.80036,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.016042,4.838459,4.068164,78.412249,292.074623,245.016605,41.018503,5.267789,670.713502,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.015218,4.775892,4.028708,78.355457,284.589933,246.706657,40.519386,5.212632,664.204877,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.015211,4.40404,3.762698,75.834032,318.099401,253.920033,41.046172,5.29139,702.373993,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.017164,4.793239,4.0126,78.367382,343.576144,245.215033,40.35413,5.053078,721.389339,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.015202,4.654871,3.905623,77.530404,298.276114,247.078227,40.735113,5.198906,677.395636,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.014228,4.374825,3.729108,75.720817,295.242711,246.049069,41.036867,5.275869,671.444105,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.014971,4.470469,3.773983,75.835231,314.260743,248.195579,40.464493,5.391011,692.407418,1073872896,0,536870912,0,0
