; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864303,"CurrentTimeLocal","Wed Sep 23 14:31:43 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9e-05
; "Time_ContextDestroy [ms]", 4.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.008382,13.138036,13.107538,1.598212,1.178863,0.653361,0.550057,0.453866,30.688905,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.009339,14.433354,13.14153,1.530741,0.446502,0.41541,0.548607,0.170749,30.696672,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.003511,14.434912,13.102779,0.562381,0.453612,0.39013,0.513043,0.14142,29.602285,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.003656,14.778313,13.081264,0.554433,0.448272,0.377601,0.50733,0.165659,29.91704,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.003471,14.489454,13.073429,0.553379,0.431941,0.384275,0.490161,0.137544,29.5641,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.003871,14.483465,13.084756,0.561723,0.435293,0.377348,0.490073,0.152362,29.589271,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.003531,14.459659,13.079145,0.563145,0.445918,0.363121,0.482187,0.137553,29.534759,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.003622,14.555434,13.074025,0.558007,0.427508,0.396273,0.477626,0.152703,29.645647,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.00354,14.385016,13.091201,0.556527,0.463747,0.386534,0.484875,0.15507,29.526966,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.003684,14.433386,13.075407,0.553939,0.446022,0.376483,0.486684,0.154427,29.530521,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.003515,14.511369,13.103149,0.553727,0.455164,0.385123,0.477949,0.135743,29.62613,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.013802,14.504106,13.078493,0.558943,0.431694,0.376648,0.471261,0.144281,29.579662,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.003467,14.424858,13.082023,0.56011,0.46143,0.372233,0.461792,0.133985,29.500436,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.003651,14.526493,13.085254,0.557467,0.432001,0.391751,0.462377,0.149168,29.608702,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.003435,14.434151,13.09828,0.556122,0.46983,0.388442,0.465573,0.148592,29.564836,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.003602,14.388303,13.095876,0.549905,0.44876,0.375045,0.461531,0.157038,29.480553,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.003416,14.503809,13.077306,0.550658,0.452143,0.333919,0.469966,0.137483,29.529087,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.003659,14.513847,13.085294,0.548773,0.430013,0.335232,0.467519,0.142044,29.526767,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.003434,14.473503,13.07617,0.562545,0.44722,0.333654,0.473513,0.138195,29.508657,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.003683,14.475303,13.07861,0.556937,0.445434,0.374596,0.457933,0.145436,29.538326,3678400,0,3630000,1.4334338601e-16,0
