; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161866,"CurrentTimeLocal","Tue Sep 15 11:24:26 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 9e-05
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.000586,0.031194,0.03641,0.142683,0.504583,3.878252,0.119507,0.001496,4.73725,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.000596,0.032749,0.03628,0.145591,0.507919,3.898615,0.120532,0.001547,4.767011,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.000522,0.029946,0.036326,0.141469,0.500432,3.970372,0.123714,0.001461,4.827118,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.00049,0.031013,0.035678,0.145684,0.496287,3.901935,0.123054,0.001533,4.759087,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000565,0.03041,0.035614,0.144016,0.497401,3.911702,0.123113,0.001478,4.767347,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.000539,0.030235,0.036061,0.145405,0.494861,3.9,0.122417,0.001695,4.754199,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.000558,0.031034,0.036319,0.144958,0.496403,3.900099,0.121888,0.001547,4.755449,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.000529,0.030069,0.035907,0.145071,0.518515,3.91372,0.123303,0.001384,4.79126,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.000567,0.029755,0.036245,0.145997,0.496365,3.889192,0.12273,0.001431,4.746323,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.00051,0.030702,0.035969,0.145438,0.513942,3.893161,0.122464,0.001455,4.766317,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.000609,0.030209,0.035491,0.144858,0.50823,3.89424,0.122327,0.001451,4.760417,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.000537,0.030741,0.036032,0.145352,0.505378,3.887492,0.122156,0.001361,4.752191,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.00056,0.030593,0.035741,0.144285,0.508227,3.898699,0.124089,0.00135,4.766103,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.000586,0.030421,0.035522,0.164873,0.512773,3.906052,0.122777,0.00148,4.797551,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.000554,0.030387,0.035646,0.144276,0.501788,3.895558,0.122882,0.001416,4.755635,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.004359,0.087797,0.085402,0.615554,10.98613,20.102841,0.251104,0.060184,32.218922,4822416,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.007421,0.070333,0.080259,0.374693,10.908317,19.702825,0.266982,0.002061,31.43848,4822416,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.000549,0.066547,0.077542,0.255515,10.745728,19.692936,0.251489,0.001934,31.115651,4822416,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.001132,0.064417,0.076564,0.253054,10.712103,19.700856,0.24977,0.00183,31.085647,4822416,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.00056,0.064133,0.076042,0.252424,10.751985,19.692432,0.250141,0.001971,31.11312,4822416,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.0006,0.064818,0.075631,0.252706,10.836868,19.695017,0.249329,0.001832,31.199736,4822416,0,4762880,5.1107359024e-15,0
