; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864386,"CurrentTimeLocal","Wed Sep 23 14:33:06 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,0,"Success",0.008356,42.98169,45.763834,1.934067,2.554896,1.98613,0.635294,0.458069,96.322789,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,0,"Success",0.009158,44.483685,45.529458,1.637258,1.856946,2.008448,0.553157,0.239279,96.317823,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,0,"Success",0.003505,44.418432,45.340305,0.747903,1.844719,2.001983,0.525576,0.206668,95.089475,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,0,"Success",0.003679,44.333368,45.529177,0.750498,1.847177,1.981202,0.517417,0.261083,95.224008,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,0,"Success",0.003488,44.364941,45.34459,0.743914,1.851074,1.970199,0.490832,0.201002,94.970428,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,0,"Success",0.00372,44.294521,45.589848,0.744493,1.863736,2.0209,0.492096,0.266424,95.27613,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,0,"Success",0.003464,44.452083,45.420063,0.752043,1.874101,1.976943,0.493497,0.205409,95.178037,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,0,"Success",0.003695,44.877511,49.44271,0.755921,1.860132,1.976648,0.495061,0.257629,99.669735,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,0,"Success",0.003661,46.031803,46.846739,0.764324,1.897464,2.023032,0.587712,0.211651,98.366825,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,0,"Success",0.003681,44.570734,45.435207,0.754337,1.908182,2.018944,0.535073,0.257072,95.483662,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,0,"Success",0.003453,44.418565,45.384838,0.743186,1.876561,1.978047,0.516149,0.205057,95.126319,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,0,"Success",0.003639,44.812526,45.87155,0.763996,1.869288,1.986073,0.488097,0.253062,96.048629,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,0,"Success",0.003431,44.442969,45.606974,0.746316,1.847251,2.017851,0.498507,0.22114,95.38487,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,0,"Success",0.003681,44.803241,45.716807,0.75398,1.873971,1.980653,0.485703,0.261716,95.880184,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,0,"Success",0.0035,44.404121,45.253801,0.748661,1.879889,1.974789,0.484377,0.202102,94.951611,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,0,"Success",0.003691,44.299708,45.68844,0.760155,1.862877,1.976628,0.490822,0.256333,95.339096,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,0,"Success",0.003434,44.557858,45.354108,0.739363,1.894269,1.974691,0.481784,0.195516,95.201416,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,0,"Success",0.003658,44.376844,45.567892,0.748609,1.863184,2.012221,0.485214,0.259362,95.317412,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,0,"Success",0.003733,44.397608,45.424014,0.752953,1.890999,1.970195,0.48153,0.203341,95.124776,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,0,"Success",0.003681,44.365032,45.613388,0.745103,1.907654,1.973301,0.490926,0.254432,95.353955,4822416,0,4762880,1.4684277366e-16,0
