; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280062,"CurrentTimeLocal","Mon Sep 28 10:01:02 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00032
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.0135,159.589403,204.48004,1.152385,4.430639,5.454224,0.517503,0.171,375.811854,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.02202,0.355702,0.256701,1.074305,2.992253,4.58484,0.508722,0.141401,9.939824,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.020421,0.340801,0.252001,1.091925,2.24365,4.53786,0.493462,0.331221,9.314721,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.01944,0.334062,0.270861,1.076084,2.313731,4.524,0.495382,0.337341,9.374441,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.0202,0.340742,0.248581,1.073684,2.26083,4.827202,0.562462,0.159081,9.495762,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.020101,0.357161,0.257301,1.127245,2.33367,4.41422,0.832624,0.17382,9.519342,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.0204,0.378861,0.260821,1.092125,1.984989,3.946237,0.796784,0.158361,8.641878,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.01972,0.354461,0.253382,1.014684,0.626843,5.233923,0.782503,0.151341,8.440117,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.01956,0.348142,0.253481,1.019764,0.642323,5.308843,0.783684,0.156781,8.535718,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.02044,0.342741,0.252121,1.027905,0.626783,5.259063,0.777103,0.141701,8.451057,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.01956,0.330802,0.250341,1.027284,0.636103,5.201943,0.788803,0.151441,8.409677,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.02028,0.337282,0.248361,1.031404,0.678563,5.100823,0.783363,0.151721,8.355437,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.01904,0.321981,0.245081,1.040645,0.640023,5.178343,0.778743,0.145301,8.372217,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.01858,0.314341,0.271221,1.024345,0.624823,5.187542,0.789384,0.151121,8.384737,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.01868,0.330801,0.245781,1.023325,0.647343,5.155542,0.780324,0.148541,8.353437,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.01952,0.332702,0.245561,1.027564,0.633283,5.212023,0.791964,0.14938,8.415337,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.018921,0.334001,0.249161,1.030285,0.647903,5.258423,0.780883,0.168761,8.491638,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.0198,0.330201,0.247282,1.025224,0.652943,5.239583,0.803584,0.1509,8.473137,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.02046,0.327382,0.247861,1.030964,0.634743,5.354824,0.796823,0.152501,8.569358,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.02072,0.338542,0.247821,1.035584,0.627743,5.312164,0.787443,0.141721,8.514738,3678400,0,3630000,3.0723972588e-16,0
