; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280051,"CurrentTimeLocal","Mon Sep 28 10:00:51 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00036
; "Time_ContextDestroy [ms]", 0.0006
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.01342,157.718874,202.430111,1.151605,4.894282,5.330963,0.518402,0.307042,372.368019,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.02268,0.347161,0.250041,1.061885,2.939653,4.6547,0.500183,0.340361,10.119664,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.02136,0.349561,0.253261,1.053565,2.24159,4.55504,0.496062,0.341662,9.315281,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.02204,0.338222,0.248341,1.055305,2.695392,5.328583,0.500522,0.151361,10.342806,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.0204,0.330121,0.242801,1.074365,2.662872,4.478119,0.495543,0.344981,9.651982,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.02122,0.327661,0.241641,1.059885,2.23547,4.67276,0.498943,0.15626,9.21666,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.02064,0.334582,0.241041,1.059044,2.720572,5.284744,0.503182,0.15014,10.316985,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.01856,0.347262,0.254461,1.055145,2.30225,4.996202,0.492242,0.330001,9.798863,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.01982,0.331141,0.245002,1.047744,2.18771,4.723181,0.484922,0.340841,9.383281,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.01984,0.333081,0.250641,1.030085,2.19677,4.897741,0.493342,0.330742,9.555382,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.019181,0.338181,0.250401,1.034345,1.775508,5.836705,0.487462,0.139361,9.884004,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.0407,0.325261,0.243081,1.031665,2.056269,5.542304,0.494823,0.14158,9.879183,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.02036,0.326681,0.244261,1.034465,2.062509,5.698385,0.488702,0.140141,10.018664,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.02152,0.321461,0.242501,1.036105,1.752627,6.083867,0.493522,0.145481,10.101204,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.02012,0.323821,0.243961,1.038685,1.033264,5.216323,0.478823,0.14814,8.507257,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.01928,0.317181,0.241301,1.016525,0.647603,5.282763,0.482122,0.144821,8.155016,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.021161,0.324101,0.242341,1.029625,0.626302,5.308164,0.483042,0.14458,8.182456,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.0208,0.328222,0.242081,1.043884,0.691264,5.194382,0.481122,0.142481,8.147576,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.02104,0.320901,0.239541,1.026185,0.668603,5.281783,0.489382,0.141261,8.191796,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.02154,0.322121,0.243601,1.037885,0.635563,5.071242,0.475922,0.143401,7.954295,3678400,0,3630000,3.0723972588e-16,0
