; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852938,"CurrentTimeLocal","Wed Sep 23 11:22:18 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000139
; "Time_ContextDestroy [ms]", 4.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.003054,36.33914,0.07943,0.348368,9.690559,12.82169,0.123961,0.041995,59.448675,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.005603,0.063676,0.068789,0.345604,6.467802,12.598484,0.108531,0.001676,19.660565,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.000414,0.055547,0.067529,0.109879,6.468527,12.645048,0.10026,0.001545,19.449167,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.00042,0.052781,0.066726,0.106072,6.44838,12.590626,0.098817,0.001561,19.365787,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.000736,0.051671,0.064631,0.103092,6.474285,12.599172,0.093525,0.001525,19.389062,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.000433,0.051102,0.064828,0.10516,6.444533,12.599145,0.097579,0.001492,19.364672,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.000463,0.050789,0.063683,0.103418,6.450224,12.598027,0.093309,0.001582,19.361909,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.000398,0.050873,0.064021,0.105659,6.427115,12.605174,0.09693,0.001541,19.352147,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.000369,0.050788,0.064725,0.105879,6.495709,12.600394,0.099059,0.001498,19.418844,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.000469,0.050453,0.063887,0.107183,6.443464,12.599455,0.09801,0.001559,19.364891,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.00034,0.050507,0.063295,0.105948,6.447103,12.612167,0.099296,0.00158,19.380648,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.00033,0.050144,0.063531,0.106281,6.453398,12.602779,0.099364,0.001533,19.377812,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.000461,0.049787,0.063525,0.107378,6.44262,12.597431,0.097989,0.00158,19.361168,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.000416,0.050012,0.064057,0.106698,6.436915,12.595528,0.099188,0.001527,19.355018,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.000436,0.050088,0.063361,0.106196,6.495929,12.600389,0.099078,0.001562,19.417469,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.00043,0.049912,0.063303,0.106828,6.422719,12.595829,0.099108,0.0015,19.340039,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.000373,0.050209,0.063781,0.107588,6.468436,12.590842,0.098329,0.001555,19.381535,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.00052,0.04999,0.064259,0.105795,6.448432,12.595907,0.098926,0.001563,19.365815,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.000395,0.049936,0.063499,0.107157,6.45935,12.600519,0.099356,0.001556,19.382193,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.000393,0.050142,0.063311,0.106459,6.423706,12.59684,0.098155,0.00149,19.340907,3037968,0,2996352,2.9388303756e-15,0
