; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.7e-05
; "Time_ContextDestroy [ms]", 4.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.004289,199.634894,173.640851,0.000248,0.007529,0.015177,0.000479,0.005758,373.342099,3200,0,3200,2.748371803e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.004018,199.45453,174.961257,0.000316,0.007828,0.007762,0.000447,0.00519,374.469676,3200,0,3200,2.4505573884e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.003944,200.515957,174.41046,0.000341,0.007707,0.007803,0.000381,0.005202,374.98024,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.004232,199.444728,174.157824,0.000246,0.007367,0.008301,0.000419,0.005478,373.657264,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.003997,199.599118,175.230431,0.000277,0.007392,0.008548,0.000345,0.005484,374.884541,3200,0,3200,2.7204989557e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.004294,199.262612,174.021908,0.00029,0.00799,0.008302,0.007423,0.005998,373.350403,3200,0,3200,2.4505573884e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.003999,198.722224,174.285552,0.000301,0.007764,0.00851,0.000433,0.006936,373.064237,3200,0,3200,2.8219635662e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00395,199.233254,174.942319,0.000248,0.007224,0.008739,0.000381,0.005473,374.230965,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.004225,200.126123,174.671723,0.000293,0.007851,0.008639,0.000384,0.005646,374.853831,3200,0,3200,2.8594775809e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.003996,199.606313,173.725301,0.000309,0.007846,0.008493,0.000392,0.008004,373.39415,3200,0,3200,2.748371803e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.004052,200.078744,173.219731,0.00032,0.007807,0.011645,0.000179,0.005477,373.356914,3200,0,3200,1.5200623171e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.004276,199.121886,174.829757,0.000265,0.012864,0.009415,0.000276,0.007111,374.013999,3200,0,3200,1.5200623171e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.004009,199.345532,174.828193,0.00026,0.007222,0.008591,0.000459,0.005156,374.228584,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.003646,199.463414,175.19965,0.00027,0.007643,0.008325,0.000431,0.00509,374.716566,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.003392,298.294501,265.942154,0.000444,0.009147,0.010898,0.000353,0.006845,564.302061,4800,0,4800,5.2237087515e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.003655,297.137942,265.647319,0.000328,0.008573,0.010244,0.000388,0.013627,562.851878,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.003548,298.496651,266.555555,0.000364,0.009102,0.017003,0.00036,0.00771,565.120065,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.003601,295.778599,266.876955,0.000434,0.009287,0.013479,0.000317,0.008018,562.719679,4800,0,4800,5.600866345e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.003481,296.464202,264.997425,0.000363,0.009594,0.011101,0.000287,0.006805,561.522069,4800,0,4800,5.5502550565e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.003645,296.520944,267.824426,0.000415,0.015156,0.009758,0.000308,0.005953,564.413876,4800,0,4800,5.5800997776e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.003538,295.731712,265.984584,0.000317,0.009673,0.012951,0.000246,0.006134,561.778677,4800,0,4800,5.2254872588e-17,0
