; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864256,"CurrentTimeLocal","Wed Sep 23 14:30:56 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 5e-05
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.004188,0.213127,0.043615,1.269735,6.916842,0.357619,0.430951,0.272815,9.562802,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.009948,0.068516,0.039407,1.343629,0.272642,0.252547,0.311634,0.020021,2.340081,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.000891,0.053287,0.034271,0.380954,0.275284,0.245961,0.294739,0.019642,1.32793,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.000916,0.050854,0.033701,0.380343,0.278357,0.246497,0.288846,0.018761,1.318033,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.000856,0.050344,0.033465,0.392256,0.262106,0.24232,0.29203,0.019049,1.311806,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.000883,0.050557,0.033481,0.392585,0.258888,0.241606,0.294138,0.018826,1.310439,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.000887,0.049969,0.039073,0.385766,0.256161,0.244168,0.292328,0.018435,1.306237,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.000842,0.049649,0.033391,0.385473,0.268646,0.249552,0.289157,0.018737,1.31789,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.000833,0.051576,0.033345,0.381259,0.274522,0.244701,0.288313,0.018535,1.312541,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.000866,0.049656,0.033588,0.382481,0.27111,0.243021,0.284992,0.018559,1.303287,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.000935,0.050068,0.033461,0.39249,0.261051,0.241862,0.284528,0.018517,1.30244,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.00088,0.049238,0.033171,0.390682,0.272335,0.245569,0.293828,0.018159,1.323359,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.000809,0.049125,0.038856,0.381038,0.266181,0.240379,0.28822,0.018502,1.304156,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.000913,0.049411,0.033251,0.386159,0.271427,0.24536,0.287587,0.018404,1.311926,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.000881,0.049118,0.033356,0.385495,0.267168,0.248468,0.285932,0.018515,1.308109,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.000865,0.04978,0.033484,0.380944,0.277874,0.243258,0.281863,0.018721,1.306151,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.00081,0.049237,0.033251,0.399322,0.26805,0.245173,0.284413,0.018529,1.317911,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.00091,0.048892,0.033348,0.389322,0.270431,0.244323,0.291449,0.018331,1.318141,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.000853,0.054936,0.033585,0.378838,0.26988,0.240035,0.290512,0.018623,1.306766,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.000893,0.050326,0.033362,0.383659,0.258279,0.24904,0.284125,0.018479,1.297107,2612288,0,2593080,1.2513699244e-16,0
