; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852918,"CurrentTimeLocal","Wed Sep 23 11:21:58 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.2e-05
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.007289,14.388891,16.83424,0.296871,3.929811,0.487454,0.146902,0.187859,36.327812,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.005115,14.200131,16.642993,0.271321,1.330008,0.505979,0.146417,0.152242,33.281997,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.00027,14.223993,16.510411,0.157596,5.085315,5.852406,0.146276,0.143207,42.147137,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.00025,13.741058,16.453655,0.158858,5.670832,5.073776,0.144704,0.151049,41.422118,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.000232,13.466158,16.115813,0.157763,5.19527,6.535389,0.14669,0.148933,41.793772,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.000291,13.896912,16.369861,0.157618,5.330357,5.276812,0.148948,0.148149,41.356619,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.000244,14.761716,17.384701,0.161786,4.049514,0.476757,0.148286,0.14779,37.159284,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.000244,14.763494,17.159567,0.160672,2.84569,0.471045,0.148202,0.149077,35.726995,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.000248,14.511213,17.039647,0.160672,4.164867,0.471635,0.146829,0.148444,36.671964,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.000223,14.766082,17.078573,0.161644,2.733755,0.470727,0.148108,0.147684,35.535755,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.000248,14.54106,17.097366,0.161637,4.041043,1.886552,0.147775,0.148019,38.052544,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.000248,14.768682,17.400955,0.15977,0.544153,0.47183,0.147567,0.147237,33.668701,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.000197,14.599306,17.030692,0.160199,2.782356,0.473109,0.147628,0.14844,35.370075,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.000248,14.75608,17.204536,0.160678,4.166539,3.344072,0.147983,0.149431,39.958498,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.000283,14.753322,17.388587,0.16204,0.537142,0.47269,0.147387,0.147361,33.636904,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.000227,14.400515,16.813406,0.159846,4.528015,2.007422,0.14746,0.147997,38.234343,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.000238,14.505342,17.062793,0.160369,4.467282,0.471881,0.146861,0.149013,36.992434,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.000271,14.491163,17.042715,0.161223,2.889889,0.468422,0.147073,0.149495,35.379541,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.000224,14.746289,17.374017,0.162514,0.55053,0.47265,0.147749,0.147144,33.629413,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.000233,14.477577,17.03893,0.159387,4.40488,0.472158,0.148567,0.148883,36.878846,2612288,0,2593080,1.2252147609e-16,0
