; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852672,"CurrentTimeLocal","Wed Sep 23 11:17:52 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 5.8e-05
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.007113,10.445095,10.895874,0.228664,16.828473,4.672379,0.11293,0.209905,43.445427,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.004914,10.758793,11.268981,0.215793,1.326347,0.373712,0.112814,0.122776,24.21067,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000223,10.681756,11.254813,0.118154,4.870279,5.730211,0.110323,0.125096,32.917537,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000234,10.485858,11.04418,0.116115,4.740104,5.497447,0.111166,0.123705,32.145629,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000223,10.305119,10.9633,0.116996,4.816557,5.798584,0.111624,0.1158,32.254199,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000223,10.656658,11.240453,0.116685,5.691629,5.473048,0.110557,0.121631,33.436937,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000195,10.644662,11.247349,0.117273,1.23081,0.370548,0.112409,0.124998,23.874416,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.000211,10.540563,11.143621,0.116992,6.150693,5.554063,0.115442,0.126801,33.776324,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000226,10.863063,11.432195,0.117595,4.585839,2.907419,0.115147,0.117547,30.165981,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000228,10.861317,11.455227,0.119437,1.256145,0.379108,0.114617,0.125299,24.338229,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.00024,10.501454,11.051107,0.117236,5.481464,6.200271,0.110979,0.123662,33.612477,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.00024,10.691209,11.233158,0.117093,6.005889,6.191416,0.111927,0.124033,34.501409,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000203,10.505177,11.040005,0.116607,5.40483,5.293745,0.112863,0.115437,32.615699,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000215,10.850088,11.440466,0.117666,1.218713,0.372464,0.112698,0.123267,24.262452,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000211,10.839513,11.451652,0.118137,1.224801,0.370815,0.112377,0.126103,24.270398,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000211,10.825242,11.298559,0.118219,5.318086,5.070617,0.111429,0.122039,32.890869,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000211,10.688602,11.236931,0.116278,3.911454,0.361732,0.110098,0.113645,26.565455,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000224,10.670294,11.274375,0.109757,1.186591,0.362967,0.110803,0.121055,23.862901,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.00022,10.637344,11.25427,0.117465,4.746381,3.21038,0.111371,0.123533,30.227577,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000232,10.883597,11.437102,0.120672,2.390259,0.364292,0.110493,0.120736,25.454478,2041200,0,2025000,1.2892023476e-16,0
