; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852939,"CurrentTimeLocal","Wed Sep 23 11:22:19 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.004295,17.894035,18.607767,0.347703,61.088868,42.77817,0.160421,0.16959,141.051339,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.005458,18.22504,18.700241,0.295367,59.159883,45.812355,0.157192,0.128619,142.484615,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.000215,18.237732,18.708297,0.17867,46.47608,45.721759,0.156866,0.12134,129.601435,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.00023,18.651223,19.01926,0.188306,39.758999,38.022741,0.154583,0.128065,115.923795,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.000229,18.014333,18.377432,0.185031,66.978737,39.407427,0.159555,0.126783,143.249936,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.000203,18.235538,18.487405,0.186657,48.975192,38.722784,0.157264,0.128248,124.893689,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.00023,18.325938,18.509033,0.187074,39.935784,39.334753,0.157198,0.122253,116.572698,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.000193,19.133407,19.66682,0.176256,48.871058,37.849093,0.157456,0.12643,125.981161,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.000215,18.949993,19.471474,0.176212,38.569142,37.850497,0.156264,0.128857,115.303082,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.000319,18.977158,19.480816,0.190661,46.419809,38.102127,0.158916,0.129175,123.459757,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.000211,19.333425,19.86269,0.188627,39.036049,38.203848,0.158588,0.123668,116.90751,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.00023,19.114466,19.646921,0.192226,38.134391,37.598363,0.156821,0.128132,114.972067,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.000256,18.542642,19.190159,0.189266,41.95836,38.275307,0.158507,0.125654,118.440609,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.000193,18.353233,19.304176,0.188991,40.509306,37.787586,0.156553,0.123613,116.424108,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.000205,18.707944,19.250213,0.18964,40.324229,37.810918,0.156801,0.127823,116.568212,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.000211,18.21624,18.632166,0.185623,61.515998,45.7885,0.156549,0.12591,144.621589,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.000188,18.857304,19.221788,0.17323,54.253382,45.470015,0.158455,0.126033,138.260806,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.000336,19.10131,19.63943,0.187739,47.608982,46.379596,0.156123,0.127168,133.201124,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.000205,18.723217,19.309969,0.187566,55.890342,46.664238,0.15653,0.122609,141.055083,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.000198,18.151357,18.866769,0.188136,51.8403,39.354021,0.159887,0.125814,128.686919,3037968,0,2996352,6.5256333432e-17,0
