; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,44,"Success",0.236701,1053.400162,1048.382319,0.244075,2.904492,2.633084,0.036708,0.061665,2107.928787,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,44,"Success",0.225285,1052.895136,1043.349727,0.109705,3.023988,2.64475,0.038416,0.056457,2102.371337,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,44,"Success",0.174161,1052.574271,1047.010571,0.105913,2.881285,2.631084,0.036666,0.061248,2105.505197,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,44,"Success",0.22616,1052.201033,1047.640675,0.107955,2.879785,2.632168,0.033374,0.049665,2105.800771,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,44,"Success",0.226951,1054.416796,1043.33106,0.106372,2.912034,2.663375,0.032665,0.051707,2103.768792,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,44,"Success",0.172661,1053.408411,1041.068006,0.104164,2.863035,2.611668,0.066081,0.055207,2100.374524,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,44,"Success",0.169578,1054.51621,1041.918563,0.099955,2.897034,2.646292,0.033957,0.051124,2102.36092,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,44,"Success",0.17162,1055.341017,1042.197513,0.113455,3.023196,2.704665,0.042999,0.055498,2103.678171,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,44,"Success",0.172495,1053.379078,1043.470473,0.109039,3.035738,2.651375,0.031749,0.057915,2103.069273,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,44,"Success",0.169245,1055.104607,1043.553678,0.106372,2.907992,2.754788,0.037957,0.059124,2104.72243,54872,0,54872,7.3510056598e-08,0
