; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404345503744,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147952,"CurrentTimeLocal","Mon Apr  6 06:39:12 2020","Hostname","csk013.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.8e-05
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.000513,6501.778347,6348.159553,7.507855,11.78398,11.162503,3.805551,0.562153,12884.76349,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.000524,6515.687893,6868.71991,7.152578,11.479545,11.140905,3.718456,0.543893,13418.446338,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.000394,6312.822077,6702.653853,7.337384,11.538182,11.205281,3.912114,0.689784,13050.163097,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.000559,6605.203072,6218.057389,7.248772,11.828339,11.145677,3.782245,0.559963,12857.829936,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.000422,6516.987817,6284.927504,7.450919,11.627919,11.147659,3.799263,0.660957,12836.605642,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.000482,6692.543459,6466.996589,7.23723,11.587315,11.017724,3.726934,0.658393,13193.771729,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.000378,6199.872893,6548.33635,7.160643,11.532973,11.028007,3.690894,0.636294,12782.261977,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.000395,6281.31893,7511.139261,7.56935,11.665257,10.974474,3.795791,0.550265,13827.020553,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.000493,6474.349675,6444.787375,7.653139,11.647863,11.188097,3.69157,0.521765,12953.844368,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.000489,6462.532976,6613.886016,7.287365,11.736888,11.133686,3.875547,0.655972,13111.112199,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.007768,30497.346296,31597.702502,77.569141,95.297321,107.135578,80.083327,2.056512,62457.200729,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.006587,31861.077331,31354.022364,77.95842,99.510301,94.390274,79.314766,2.009816,63568.298584,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.006706,31802.14598,31161.185856,76.60004,87.724068,87.079283,79.537784,2.145239,63296.433107,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.005796,31090.218571,30925.447598,77.653877,84.641565,110.966996,80.212513,1.958213,62371.112753,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.005181,31157.490981,33971.315229,79.056632,86.055927,106.592849,80.647629,2.295913,65483.467649,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.006243,31664.413575,31862.794177,78.853431,85.222133,86.943488,80.819865,2.141796,63861.20324,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.005367,29892.762304,32011.324488,78.195773,85.964703,106.792499,80.477292,1.946551,62257.475763,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.006182,29727.257591,31140.039699,78.910194,85.048868,85.84659,81.318909,2.299405,61200.733686,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.005733,31222.13117,32408.263365,69.178145,116.919795,99.463607,65.170954,2.882473,63984.023191,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.005763,31874.555419,31589.825871,116.948983,106.418825,93.092007,66.382384,2.072843,63849.317559,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.006824,30135.011363,31607.817706,105.254714,120.311641,138.988359,74.592234,2.024829,62184.01561,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.007319,29781.78299,30946.475085,87.402924,103.186903,94.144448,78.511532,1.842768,61093.36105,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.00014,20.405304,19.860794,0.0001,0.020041,0.021084,7e-05,0.004423,40.312885,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000121,20.572018,19.767664,0.000106,0.021564,0.021997,0.000212,0.005979,40.390014,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000122,20.264244,19.803868,0.000131,0.020039,0.022366,6.5e-05,0.004971,40.116183,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000117,20.335497,22.116871,0.000122,0.021111,0.019353,8.6e-05,0.007638,42.501478,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000117,20.420537,19.669645,9.9e-05,0.021011,0.022099,0.000228,0.004699,40.139138,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000124,20.235167,19.760079,9.7e-05,0.020024,0.022628,8.3e-05,0.004267,40.042995,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000132,20.351959,19.735396,9.9e-05,0.020608,0.022708,8.6e-05,0.008261,40.139679,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000123,20.429488,19.577457,0.000131,0.019788,0.021704,9.1e-05,0.009273,40.058473,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000105,20.323387,19.802384,0.00011,0.019125,0.021696,9.6e-05,0.004946,40.172478,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000141,20.299822,19.810409,0.000122,0.021932,0.020768,9.9e-05,0.007633,40.161295,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000126,20.236454,19.700044,0.000137,0.019707,0.021804,8.7e-05,0.007719,39.98676,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.00014,20.173414,19.784006,0.000121,0.019083,0.022282,6.8e-05,0.007962,40.007582,64,0,64,0,0
