; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586917742,"CurrentTimeLocal","Wed Apr 15 04:29:02 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.5e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000356,288.97102,278.943349,0.003807,0.139314,0.153432,0.013907,0.212423,568.438255,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000315,287.864959,287.233007,0.003463,0.154012,0.146861,0.011817,0.19181,575.607144,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000225,288.059047,285.979907,0.003205,0.164652,0.134672,0.011711,0.192741,574.547205,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000342,286.662531,282.160317,0.002972,0.140542,0.143665,0.002029,0.226596,569.339692,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.00028,287.180058,286.052755,0.003742,0.156552,0.145873,0.002023,0.21147,573.753233,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000329,288.906251,279.532054,0.003029,0.16596,0.150396,0.002217,0.214363,568.975024,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.00025,287.373196,285.859251,0.003089,0.156043,0.146426,0.013661,0.220177,573.772638,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000312,289.45416,287.500059,0.003016,0.141049,0.173219,0.011896,0.211745,577.496191,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000335,287.728166,282.028788,0.003411,0.154164,0.152638,0.002719,0.194327,570.265032,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000281,287.04729,286.68391,0.003279,0.160698,0.150438,0.011493,0.182263,574.240539,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000352,319.464982,314.625521,0.214074,0.548457,0.516494,0.191651,0.346477,635.908574,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000318,317.907703,387.515372,0.24866,0.522222,0.519115,0.218826,0.3572,707.290201,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000235,319.955985,313.670616,0.235812,0.546726,0.50768,0.210472,0.357295,635.485539,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000344,320.596293,315.623123,0.21721,0.532682,0.539883,0.212792,0.310992,638.033953,1042568,0,1042568,8.0373060682e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000308,318.140352,316.837969,0.236186,0.566063,0.504196,0.233734,0.325308,636.844978,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.00033,319.700335,315.864066,0.220399,0.547815,0.523142,0.21507,0.339967,637.411722,1042568,0,1042568,8.0373060682e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000311,321.294536,316.58308,0.21692,0.536401,0.516164,0.203853,0.300467,639.652995,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.00034,318.176826,317.146398,0.230307,0.533166,0.542697,0.19703,0.325586,637.153086,1042568,0,1042568,8.0373060682e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000322,318.190425,314.995998,0.219967,0.551731,0.521052,0.244515,0.312416,635.037201,1042568,0,1042568,8.0373060682e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000334,318.392906,315.573691,0.231168,0.524761,0.522173,0.215247,0.309522,635.770448,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000273,319.668178,315.444759,0.229093,0.577261,0.50759,0.230677,0.29834,636.95687,1042568,0,1042568,8.0790891487e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000312,320.207446,316.006343,0.235816,0.541957,0.502168,0.213119,0.349597,638.057792,1042568,0,1042568,8.0790891487e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.000401,3634.35672,3456.356651,4.920008,11.141414,10.996465,4.056151,0.408027,7122.237004,19808792,0,19808792,1.2826128201e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.000371,3659.545698,3454.929882,4.900607,11.177229,10.954622,4.156543,0.388679,7146.054838,19808792,0,19808792,1.2826128201e-07,0
