; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586067738,"CurrentTimeLocal","Sun Apr  5 08:22:18 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000283
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000265,12.580936,9.284207,0.013181,0.332288,0.138792,0.014426,0.11393,22.478534,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000254,12.597276,9.654718,0.013815,0.338042,0.138256,0.013707,0.111755,22.86838,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000239,12.567188,9.650607,0.015618,0.325282,0.092876,0.009984,0.104456,22.767801,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000265,12.542947,9.626045,0.014645,0.351444,0.134509,0.011433,0.108169,22.790017,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000267,12.502077,9.627623,0.012007,0.298453,0.1345,0.011146,0.114673,22.701552,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000265,12.545244,9.615091,0.013394,0.329681,0.134694,0.012209,0.111154,22.762261,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000223,12.512353,9.609916,0.013847,0.281588,0.091267,0.008465,0.10698,22.625423,54872,0,54872,8.3208862489e-08,0
