; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586040745,"CurrentTimeLocal","Sun Apr  5 00:52:25 2020","Hostname","csk017.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.9e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.000349,31.912913,27.208806,0.00779,0.388796,0.1941,0.013696,0.142529,59.869501,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.000396,31.832201,27.229636,0.008802,0.540718,0.243857,0.014495,0.159676,60.030347,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.000206,31.844269,27.237451,0.00707,0.447215,0.262376,0.013859,0.155126,59.968046,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.000322,31.846712,27.292098,0.007579,0.450728,0.239872,0.014473,0.152545,60.004882,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.000269,31.92968,27.240679,0.007937,0.458286,0.194729,0.012888,0.144015,59.989057,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.000238,31.86129,27.210521,0.007932,0.43119,0.28589,0.01263,0.159549,59.969907,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.000284,31.794437,27.188487,0.007927,0.579883,0.18073,0.013102,0.143687,59.909114,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.000303,31.85144,27.318961,0.00751,0.486779,0.190778,0.015755,0.148698,60.020829,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,70,"Success",0.000266,31.880989,27.194401,0.007626,0.387831,0.249048,0.016063,0.150021,59.886785,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,70,"Success",0.000258,31.872744,27.229598,0.008248,0.539774,0.269744,0.014711,0.155794,60.091281,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Warmup",0.000291,44.050177,38.792142,0.184104,1.59811,0.524526,0.190153,0.348089,85.688272,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,71,"Warmup",0.000275,43.912794,38.746835,0.140839,0.832178,0.55599,0.194949,0.322919,84.707323,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,71,"Success",0.000304,43.75921,38.755868,0.138725,1.498972,0.582758,0.19458,0.328741,85.259857,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,71,"Success",0.000259,43.765184,38.606511,0.141107,0.882577,0.542377,0.198522,0.309442,84.446593,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,71,"Success",0.000263,107.918857,121.206982,0.151923,0.887893,0.557803,0.194681,0.323298,231.242343,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,71,"Success",0.000237,43.72207,38.600399,0.138956,0.887191,0.54672,0.189936,0.304724,84.390852,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,71,"Success",0.000253,43.803259,38.64449,0.135461,0.84746,0.560602,0.194237,0.322317,84.50865,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,71,"Success",0.000261,43.749129,38.682837,0.136819,1.157516,0.53617,0.193541,0.326005,84.782915,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,71,"Success",0.000278,43.851287,38.654031,0.141154,0.938331,0.540565,0.216033,0.317716,84.660027,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,71,"Success",0.000235,43.702435,38.613529,0.141566,0.813962,0.532589,0.223107,0.3074,84.335421,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,71,"Success",0.000265,43.844472,38.676983,0.14052,1.034287,0.566526,0.197049,0.320615,84.781256,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,71,"Success",0.000227,43.910729,38.609451,0.144632,0.885348,0.546364,0.199033,0.330539,84.626913,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,72,"Warmup",0.000484,86.391797,69.16275,4.21123,12.949846,11.508978,3.751373,0.282971,188.26038,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,72,"Warmup",0.000367,82.412302,68.795151,4.010023,12.2103,11.506028,3.5041,0.292581,182.731833,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,72,"Success",0.000329,82.380812,68.790621,3.979042,13.895356,11.543295,3.441549,0.318032,184.349593,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,72,"Success",0.000374,82.638538,68.780663,3.997677,13.927148,12.131703,3.564908,0.33192,185.377741,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,72,"Success",0.000594,82.525834,68.830315,4.049319,13.598233,11.477729,3.532783,0.282909,184.298723,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,72,"Success",0.000295,82.357245,68.801068,3.979121,12.50473,11.571233,3.513238,0.274272,183.002136,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,72,"Success",0.000309,82.386467,68.767854,3.998269,12.194672,11.560114,3.496503,0.306195,182.710917,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,72,"Success",0.00039,82.600996,68.752351,4.097578,12.180458,11.566511,3.583833,0.317787,183.100587,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,72,"Success",0.002584,83.534885,68.850103,5.030237,92.621238,40.329742,4.165797,0.316185,294.851348,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,72,"Success",0.000444,82.466283,68.92447,3.763882,12.465966,11.461069,4.264812,0.302429,183.649853,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,72,"Success",0.000307,82.48897,68.777923,3.798167,12.524028,11.45647,4.256746,0.303706,183.606985,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,72,"Success",0.000394,82.341654,68.844912,3.789087,12.213133,11.487607,4.229164,0.272514,183.179139,19808792,0,19808792,1.2809568288e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,73,"Warmup",0.007287,425.74255,111.814015,145.550876,520.36415,450.893685,83.201959,2.666787,1740.2433,376367048,0,376367048,1.2569938623e-07,0
