; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586036588,"CurrentTimeLocal","Sat Apr  4 23:43:08 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,0,12,"Warmup",0.006823,1.130684,1.068528,0.059064,0.100169,0.058758,0.027235,0.105847,2.557687,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,1,12,"Warmup",0.004793,1.162498,1.043827,0.029675,0.11197,0.056075,0.027166,0.107403,2.544058,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,2,12,"Success",0.004545,1.162755,1.007868,0.027989,0.10537,0.053863,0.026555,0.108223,2.497863,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,3,12,"Success",0.004617,1.149593,1.037872,0.047098,0.09566,0.057039,0.027799,0.108085,2.52844,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,4,12,"Success",0.004782,1.138689,1.029672,0.030391,0.130791,0.058819,0.02681,0.106184,2.526697,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,5,12,"Success",0.004485,1.140123,1.037144,0.027965,0.133154,0.053101,0.023776,0.108274,2.528613,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,6,12,"Success",0.004489,1.132748,1.035704,0.027943,0.118823,0.055669,0.028953,0.106375,2.511295,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,7,12,"Success",0.004433,1.144305,1.023741,0.03064,0.12153,0.054906,0.025529,0.108213,2.513763,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,8,12,"Success",0.004604,1.13873,1.027382,0.028926,0.112612,0.076639,0.026407,0.106294,2.522278,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,9,12,"Success",0.004655,1.137433,1.020953,0.027158,0.103968,0.054587,0.045911,0.108441,2.503618,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,10,12,"Success",0.004509,1.133884,1.025006,0.027623,0.110551,0.053622,0.028571,0.13218,2.51665,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,128,0,11,12,"Success",0.00448,1.141995,1.023863,0.028245,0.112365,0.054546,0.025813,0.132193,2.524163,262144,0,131072,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,0,13,"Warmup",0.007075,2.298323,2.265021,0.178232,0.181614,0.075759,0.044492,0.2757,5.326695,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,1,13,"Warmup",0.007882,2.325962,2.218346,0.091835,0.157467,0.101953,0.043513,0.280118,5.227517,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,2,13,"Success",0.007542,2.351258,2.157749,0.097358,0.174057,0.076834,0.042911,0.298582,5.206888,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,3,13,"Success",0.007133,2.334189,2.162992,0.096432,0.180067,0.079219,0.049874,0.276796,5.187205,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,4,13,"Success",0.00735,2.343268,2.143989,0.096508,0.191726,0.080186,0.040048,0.282207,5.185803,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,5,13,"Success",0.007522,2.328461,2.144474,0.09384,0.164698,0.083952,0.042319,0.292947,5.158692,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,6,13,"Success",0.007676,2.342891,2.159338,0.084985,0.159453,0.077484,0.042135,0.277705,5.15223,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,7,13,"Success",0.007464,2.328929,2.149155,0.117589,0.179769,0.079105,0.045207,0.281764,5.189759,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,8,13,"Success",0.007492,2.330916,2.143787,0.095184,0.167959,0.078756,0.067087,0.278969,5.170777,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,9,13,"Success",0.007449,2.350496,2.150766,0.095107,0.165983,0.080624,0.044563,0.304196,5.199844,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,10,13,"Success",0.007399,2.338563,2.171821,0.094233,0.157719,0.077634,0.044301,0.272924,5.16514,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",128,256,0,11,13,"Success",0.007486,2.330396,2.143631,0.092679,0.182887,0.079472,0.04496,0.281475,5.163567,524288,0,262144,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,0,14,"Warmup",0.007792,9.197386,8.285982,0.229013,0.56353,0.27675,0.091998,0.482018,19.135048,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,1,14,"Warmup",0.000398,8.755099,8.788203,0.089041,0.522473,0.245007,0.082955,0.423455,18.907085,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,2,14,"Success",0.007614,9.155151,8.783345,0.213031,4.015641,0.250806,0.082193,0.472799,22.981067,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,3,14,"Success",0.000389,8.740607,9.063793,0.08741,0.507538,0.245848,0.091501,0.421439,19.159032,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,4,14,"Success",0.007296,9.153098,8.625013,0.198655,0.533582,0.275051,0.093113,0.506658,19.393167,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,5,14,"Success",0.000345,8.804654,8.597156,0.088256,0.550007,0.260526,0.103769,0.441407,18.846699,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,6,14,"Success",0.007567,9.135277,8.52455,0.197456,0.562028,0.273606,0.088926,0.485345,19.275531,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,7,14,"Success",0.000418,8.795801,8.568928,0.080642,0.553648,0.254372,0.104234,0.41838,18.778867,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,8,14,"Success",0.007744,9.156326,8.522126,0.202918,0.552331,0.27343,0.082114,0.451534,19.249139,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,9,14,"Success",0.000399,8.783789,8.551317,0.084237,0.534185,0.251557,0.076914,0.415305,18.698385,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,10,14,"Success",0.007937,9.173499,8.599523,0.194328,0.58621,0.239227,0.080638,0.447562,19.329401,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,256,0,11,14,"Success",0.000359,8.790025,8.641669,0.080773,0.578922,0.243756,0.076199,0.437879,18.85004,1048576,0,524288,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,0,15,"Warmup",0.01567,10.134478,8.719763,0.511024,38.178366,33.150299,0.179234,0.469984,91.359407,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,1,15,"Warmup",0.008871,10.176839,9.134157,0.536929,26.404318,45.157999,0.186558,0.456704,92.063116,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,2,15,"Success",0.009675,10.187903,9.012441,0.568797,0.647174,0.206888,0.177515,0.475479,21.286579,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,3,15,"Success",0.008268,10.191882,8.912128,0.477283,0.743805,0.222133,0.175927,0.469264,21.201185,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,4,15,"Success",0.008191,10.167976,8.963623,0.474499,0.747021,0.204536,0.176819,0.463969,21.207305,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,5,15,"Success",0.008678,10.116615,8.953039,0.469008,0.629239,0.194432,0.178254,0.466041,21.016042,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,6,15,"Success",0.008316,10.137951,8.923854,0.470242,0.697151,0.192369,0.177519,0.469262,21.07751,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,7,15,"Success",0.00829,10.136789,8.959538,0.467316,0.789122,0.252208,0.1954,0.448051,21.257251,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,8,15,"Success",0.00819,10.159858,8.919006,0.469341,0.591547,0.200023,0.178214,0.465054,20.991992,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,9,15,"Success",0.008162,10.153259,8.943121,0.47095,0.67237,0.285243,0.192902,0.469593,21.196126,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,10,15,"Success",0.008213,10.179355,8.917482,0.462788,0.741958,0.221327,0.211347,0.437172,21.18021,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",256,512,0,11,15,"Success",0.008184,10.137972,8.916098,0.472169,0.731453,0.302083,0.193503,0.446238,21.208145,2097152,0,1048576,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,0,16,"Warmup",0.008707,9.51645,7.70098,1.199888,0.795204,0.397189,0.352024,0.543601,20.514687,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,1,16,"Warmup",0.009007,9.479725,8.046517,1.110515,1.129656,0.474565,0.406485,0.51665,21.173867,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,2,16,"Success",0.008816,9.711605,7.727443,1.113722,0.855884,0.363423,0.344577,0.52347,20.649593,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,3,16,"Success",0.008618,9.4986,8.155007,1.055321,1.047044,0.390655,0.340179,0.511171,21.007137,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,4,16,"Success",0.010996,9.450633,8.100011,1.025563,0.95079,0.424874,0.339664,0.528559,20.831805,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,5,16,"Success",0.00872,9.484318,8.266288,1.007998,0.847997,0.374974,0.33722,0.521452,20.849514,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,6,16,"Success",0.008942,9.498519,8.136965,1.004297,0.748215,0.398976,0.359425,0.499502,20.655402,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,7,16,"Success",0.008707,9.510404,8.696799,1.079099,1.060162,0.380145,0.354825,0.498606,21.589263,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,8,16,"Success",0.009149,9.487154,8.144499,1.005083,0.796114,0.376207,0.36455,0.508566,20.691871,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,9,16,"Success",0.008993,9.484621,8.113889,1.003826,0.900565,0.374983,0.365075,0.502013,20.754501,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,10,16,"Success",0.008537,9.481646,8.091031,0.994479,0.737651,0.3786,0.358903,0.505866,20.557365,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,512,0,11,16,"Success",0.008623,9.460971,8.101795,1.018071,0.808038,0.339343,0.378977,0.504375,20.620748,4194304,0,2097152,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,0,17,"Warmup",0.01269,10.45019,7.953017,1.118928,1.81304,0.548646,0.888313,1.304235,24.089885,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,1,17,"Warmup",0.009804,10.660125,7.841354,1.710774,1.751919,0.434899,0.909319,1.063588,24.382493,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,2,17,"Success",0.009766,10.504663,7.785817,1.714368,1.682463,0.476617,0.921548,1.055674,24.151652,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,3,17,"Success",0.009387,10.523006,7.759935,1.726628,1.70188,0.456049,0.913574,1.051253,24.142337,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,4,17,"Success",0.009871,10.507201,7.718356,1.774381,1.555342,0.465286,0.970485,1.029414,24.030985,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,5,17,"Success",0.009935,10.558139,7.742484,1.744772,1.952062,0.423922,0.919963,1.047165,24.39917,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,6,17,"Success",0.009971,10.467333,7.84209,1.63773,1.631631,0.435567,0.932797,1.041719,23.999458,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,7,17,"Success",0.014528,10.468184,7.847507,1.784153,1.657348,0.401588,0.932232,1.056523,24.162753,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,8,17,"Success",0.009375,10.493632,7.765648,1.799828,1.600265,0.513875,0.880058,1.046111,24.109671,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,9,17,"Success",0.009406,10.451973,7.744641,1.726306,1.711392,0.543057,0.921814,1.055963,24.16534,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,10,17,"Success",0.009448,10.656651,7.781094,1.722488,1.628726,0.492784,0.905604,1.016676,24.214194,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",512,1024,0,11,17,"Success",0.009546,11.20917,7.801383,1.855208,1.577089,0.506126,0.910254,1.05649,24.92602,8388608,0,4194304,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,0,18,"Warmup",0.012143,11.112816,7.908413,2.60471,3.445872,0.878169,1.683123,1.523744,29.169597,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,1,18,"Warmup",0.009703,10.89782,7.976162,3.395819,3.703783,0.851634,1.62803,1.326551,29.790117,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,2,18,"Success",0.01082,10.907605,7.96365,3.432761,3.19064,0.90738,1.662548,1.314801,29.390858,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,3,18,"Success",0.010055,11.039572,7.970249,3.459543,3.686843,0.95058,1.670365,1.291921,30.079817,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,4,18,"Success",0.009384,11.014913,7.99788,3.530071,2.973411,0.914766,1.601255,1.286596,29.328837,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,5,18,"Success",0.013472,10.981966,7.955483,3.289215,3.686013,0.88919,1.685055,1.331388,29.832498,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,6,18,"Success",0.010345,10.984372,7.957529,3.462136,3.605562,1.006819,1.64628,1.286184,29.960103,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,7,18,"Success",0.0096,11.017892,7.99063,3.430473,3.672693,0.96968,1.630639,1.291936,30.014164,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,8,18,"Success",0.009719,10.995938,7.954778,3.401614,3.595751,0.946032,1.631246,1.313392,29.8491,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,9,18,"Success",0.010239,10.99969,7.956846,3.515355,3.379391,0.889677,1.693091,1.319177,29.764699,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,10,18,"Success",0.010223,11.023759,7.949689,3.368739,3.291982,0.906584,1.66723,1.339362,29.558365,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,1024,0,11,18,"Success",0.009898,11.00992,7.960508,3.313611,2.698507,0.947638,1.68604,1.355605,28.982751,16777216,0,8388608,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,0,19,"Warmup",0.012483,9.255027,7.896133,5.202147,5.313612,1.622737,3.777683,1.676525,34.757317,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,1,19,"Warmup",0.011166,9.103959,7.770799,6.205172,5.201503,1.655737,3.778573,1.455277,35.182916,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,2,19,"Success",0.011956,9.055275,7.73052,6.052175,4.60395,1.667118,3.855309,1.437945,34.414905,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,3,19,"Success",0.011348,9.056091,7.72248,6.160445,4.914872,1.574799,3.862971,1.436445,34.74002,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,4,19,"Success",0.011498,9.311079,7.945526,6.170857,5.263574,1.686376,3.794924,1.471869,35.656361,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,5,19,"Success",0.011433,8.970032,7.815204,6.258704,4.92161,1.686173,3.787678,1.441737,34.893265,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,6,19,"Success",0.009882,9.070076,7.750381,6.196463,4.910709,1.71007,3.913939,1.469669,35.032091,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,7,19,"Success",0.011107,8.934637,7.736669,6.471931,4.281368,1.543194,3.802166,1.448973,34.231272,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,8,19,"Success",0.010621,9.008108,7.790818,6.145707,4.655718,1.579002,3.787737,1.457201,34.43548,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,9,19,"Success",0.010914,9.151006,7.755574,6.12721,4.60951,1.816667,3.83347,1.495182,34.800354,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,10,19,"Success",0.010857,8.977497,7.74344,6.220973,4.509474,1.581538,3.802029,1.476398,34.323025,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",1024,2048,0,11,19,"Success",0.011273,8.968581,7.735252,6.069248,4.243052,1.500252,3.867524,1.455148,33.851168,33554432,0,16777216,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,0,20,"Warmup",0.796289,8.34472,7.223668,11.780389,13.542184,14.369865,7.946313,1.101041,65.105174,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,1,20,"Warmup",0.782848,8.292694,6.987457,11.698568,14.103415,11.853585,8.090505,1.085097,62.894972,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,2,20,"Success",0.746457,8.194968,6.964505,11.699497,12.937541,10.794888,8.055264,1.084038,60.477998,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,3,20,"Success",0.837829,8.160994,6.968885,11.788165,10.567126,15.019326,7.896492,1.121221,62.360696,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,4,20,"Success",0.702106,8.189494,7.001784,12.064798,13.997619,14.766479,8.137824,1.093558,65.954321,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,5,20,"Success",0.765012,8.150405,6.980199,11.745741,10.708982,17.403401,7.940951,1.091606,64.786953,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,6,20,"Success",0.735533,8.180595,6.984003,12.000392,9.629327,13.041122,8.103739,1.081458,59.757121,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,7,20,"Success",0.832714,8.141378,6.949172,11.844911,10.857887,16.559945,8.033094,1.632175,64.852172,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,8,20,"Success",0.675891,8.285729,7.011712,11.709922,9.830288,11.771948,8.18978,1.087908,58.564113,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,9,20,"Success",0.848255,8.152886,6.962641,11.91271,12.681089,11.012403,7.976718,1.086122,60.633636,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,10,20,"Success",0.74443,8.192474,7.040311,11.997309,11.151119,10.423572,8.019631,1.109197,58.678728,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,2048,0,11,20,"Success",0.721966,8.148902,7.207295,11.855271,9.325732,10.320731,8.110671,1.093588,56.785323,67108864,0,33554432,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,0,21,"Warmup",0.407275,7.826018,6.890178,25.561198,55.041191,54.534429,15.672033,1.515252,167.448436,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,1,21,"Warmup",0.348454,7.942774,6.992477,25.575092,43.713633,58.155073,15.648176,1.47382,159.850131,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,2,21,"Success",0.431137,7.646761,7.110951,25.975376,40.55489,57.535951,15.636931,1.424482,156.317194,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,3,21,"Success",0.408741,7.696455,6.863034,26.20321,35.507261,56.652455,15.523821,1.466781,150.322681,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,4,21,"Success",0.415453,7.699279,6.882617,25.93839,38.184243,54.87997,15.419006,1.472504,150.89259,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,5,21,"Success",0.413642,7.738371,6.844387,25.921926,38.516816,52.854548,15.44865,1.497043,149.236256,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,6,21,"Success",0.409165,7.812791,6.959653,25.826878,38.34325,84.062264,15.2152,1.490296,180.120453,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,7,21,"Success",0.405735,7.747139,6.827631,26.043987,45.645069,56.036658,16.089325,1.355564,160.153207,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,8,21,"Success",0.413332,7.739798,6.864951,26.156288,37.113218,53.615939,15.791715,1.457124,149.153245,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,9,21,"Success",0.403982,7.682686,6.846439,26.236315,38.76448,52.653689,15.681181,1.453517,149.723308,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,10,21,"Success",0.387616,7.71957,6.83146,25.931688,35.017845,58.419355,15.410263,1.440546,151.159067,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",2048,4096,0,11,21,"Success",0.412192,7.653878,6.849307,25.753004,42.196939,55.576175,15.883697,1.399121,155.725095,134217728,0,67108864,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,0,22,"Warmup",0.413053,8.330226,7.485398,51.363107,83.737679,139.909732,28.874049,1.743252,321.857486,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,1,22,"Warmup",0.433305,8.346081,7.455332,51.009438,93.163306,139.562345,28.917126,1.69633,330.584631,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,2,22,"Success",0.377705,8.312877,7.448536,50.948722,95.174681,188.719144,22.977453,2.01199,375.972775,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,3,22,"Success",0.392192,8.653007,7.619174,58.074114,108.030777,206.695169,18.775074,1.819204,410.060227,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,4,22,"Success",0.415038,8.631239,7.547121,55.952645,123.306316,197.660354,18.567228,1.766142,413.847266,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,5,22,"Success",0.44139,8.529628,7.506313,55.178326,112.093053,145.780767,19.135895,1.8128,350.479331,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,6,22,"Success",0.459568,8.613838,7.533638,56.31825,86.098443,152.060306,19.319347,1.822045,332.226762,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,7,22,"Success",0.475548,8.607729,7.593808,56.335701,110.79742,146.15638,18.890227,1.798551,350.656603,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,8,22,"Success",0.444371,8.613584,7.531211,55.982954,104.704952,187.899761,52.274093,1.882657,419.335,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,9,22,"Success",0.454542,8.622576,7.636874,52.202484,123.011781,177.493287,27.36878,1.761788,398.556807,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,10,22,"Success",0.458139,8.623998,7.628861,52.577403,110.399959,186.47561,27.22717,1.807858,395.200181,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,4096,0,11,22,"Success",0.399025,8.571262,7.585318,51.742653,112.71663,169.314885,27.83548,1.808611,379.975083,268435456,0,134217728,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,8192,0,0,23,"Warmup",0.403135,8.532738,6.552159,100.304123,296.631426,488.635522,56.172558,2.431716,959.664751,536870912,0,268435456,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,8192,0,1,23,"Warmup",0.389091,8.497672,6.528748,101.800999,233.485605,454.407668,56.044306,2.418107,863.57333,536870912,0,268435456,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,8192,0,2,23,"Success",0.396357,8.482532,6.510991,102.312272,270.669502,492.796414,56.603401,2.427412,940.200012,536870912,0,268435456,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,8192,0,3,23,"Success",0.377587,8.522288,6.537049,101.294343,257.598755,495.671615,57.326185,2.420153,929.749806,536870912,0,268435456,0,0
"Fftw","Outplace","Complex","float",2,"powerof2",4096,8192,0,4,23,"Success",0.392445,8.456443,6.519372,101.876109,273.827094,488.000923,56.462782,2.427656,937.964387,536870912,0,268435456,0,0
