; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586036588,"CurrentTimeLocal","Sat Apr  4 23:43:08 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,2,70,"Success",0.000344,88.516087,84.421457,0.13914,5.988847,6.016986,0.230011,0.324489,185.637829,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,3,70,"Success",0.000409,88.415436,84.365653,0.140154,6.025494,5.580893,0.213141,0.334762,185.076461,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,4,70,"Success",0.000291,88.531814,84.403462,0.14154,5.89135,5.712712,0.217574,0.326258,185.225527,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,5,70,"Success",0.000296,88.486008,84.359169,0.138921,5.891269,5.674606,0.208223,0.315918,185.077484,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,6,70,"Success",0.00033,88.478218,84.406498,0.137574,6.255979,5.660569,0.208244,0.311433,185.459325,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,7,70,"Success",0.000358,88.418816,84.36779,0.138393,6.149713,5.815482,0.216563,0.31152,185.41912,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,8,70,"Success",0.000273,88.609052,84.394837,0.137095,5.792807,5.671118,0.236497,0.318368,185.160585,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,9,70,"Success",0.000322,88.41625,84.365845,0.142176,5.872211,5.989187,0.234882,0.318484,185.339768,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,10,70,"Success",0.000311,88.391266,84.342011,0.137318,6.104801,5.636747,0.210557,0.33739,185.160899,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,11,70,"Success",0.000293,88.45278,84.430656,0.141783,5.943976,5.709048,0.218471,0.350051,185.247531,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,0,71,"Warmup",0.00805,139.571507,139.936566,7.3486,23.863514,23.978691,3.558603,0.605049,338.871137,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,1,71,"Warmup",0.000362,140.0694,140.024045,3.641702,23.247011,23.266563,3.025358,0.542699,333.817752,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,2,71,"Success",0.000348,140.137818,140.093299,3.595028,23.898449,23.344707,2.864295,0.5608,334.498372,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,3,71,"Success",0.000302,140.086861,139.789587,3.759521,24.039742,25.119833,2.777725,0.578316,336.152504,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,4,71,"Success",0.00033,140.131623,139.819543,3.721379,23.760998,23.443338,2.826157,0.58371,334.287569,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,5,71,"Success",0.0003,139.928503,139.912646,3.819947,23.300132,23.216205,2.922855,0.550156,333.651455,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,6,71,"Success",0.000324,140.704944,140.339022,3.709251,24.074676,23.651834,2.973833,0.571471,336.026014,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,7,71,"Success",0.000345,140.193505,139.844418,3.69325,23.201071,28.348528,28.65323,0.724006,364.658876,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,8,71,"Success",0.000469,139.678037,140.082379,3.064064,24.478247,22.310701,3.304845,0.53507,333.454355,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,9,71,"Success",0.000364,140.355704,140.016903,2.951792,23.924535,24.492816,3.630423,0.560757,335.933854,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,10,71,"Success",0.000372,140.321085,139.912258,2.955027,23.373235,22.557974,3.60196,0.543816,333.266287,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,11,71,"Success",0.00035,140.341821,139.804446,2.91869,21.729205,22.893172,3.647521,0.555169,331.89092,19808792,0,19808792,1.2444480449e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,0,72,"Warmup",0.005699,227.916644,227.347825,137.570621,734.520423,757.726832,74.834577,1.681689,2161.605757,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,1,72,"Warmup",0.005996,225.98163,227.587127,139.051546,2871.869587,1777.414325,76.162326,1.435781,5319.509567,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,2,72,"Success",0.004812,225.89502,227.014507,139.175355,713.628547,798.132115,75.337308,1.476607,2180.665732,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,3,72,"Success",0.00597,226.190596,226.916746,142.979767,684.32831,680.484163,77.166578,1.463357,2039.537346,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,4,72,"Success",0.005839,226.039033,227.084248,142.666981,1925.571371,722.370752,83.355816,1.852183,3328.951562,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,5,72,"Success",0.005531,225.962129,227.506516,145.155201,705.235962,681.947797,76.355624,1.476719,2063.646809,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,6,72,"Success",0.006295,226.729572,227.207981,141.456538,687.463785,710.567227,76.839233,1.526586,2071.801629,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,7,72,"Success",0.00501,226.009553,227.049882,141.056821,713.269396,702.360673,76.181976,1.486708,2087.421399,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,8,72,"Success",0.005755,225.995583,227.613024,141.437412,688.475816,669.681409,80.049383,1.653308,2034.918998,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,9,72,"Success",0.005694,225.823373,227.254965,142.372431,2873.110726,841.919433,74.744462,1.457578,4386.690089,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,10,72,"Success",0.005935,225.848392,227.237198,140.79292,724.502132,704.069302,76.608638,1.517665,2100.58384,376367048,0,376367048,1.2680302788e-07,0
