; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529504822,"CurrentTimeLocal","Wed Jun 20 16:27:02 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00012
; "Time_ContextDestroy [ms]", 7.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000462,0.038067,0.040308,0.134597,25.416669,26.15518,0.15585,0.014258,51.955839,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.008099,0.072874,0.049899,10.296338,16.235911,17.858842,2.357857,0.017142,46.897612,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.001444,0.072814,0.07158,1.651956,17.574379,17.348162,2.415219,0.015391,39.151601,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.001352,0.072491,0.069715,1.657671,17.492887,17.411346,2.419893,0.015636,39.141688,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.001306,0.086433,0.053569,1.658514,17.3871,18.829638,2.419653,0.015758,40.452661,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.001484,0.072917,0.052502,1.677851,18.583894,16.332664,2.415188,0.016569,39.153716,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.001372,0.072474,0.052865,1.681334,18.314927,16.599948,2.417115,0.015854,39.156571,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.001195,0.071437,0.052561,1.681061,18.050257,16.862416,2.418196,0.015933,39.153743,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.001388,0.07095,0.051961,1.682769,17.551735,17.00736,2.422637,0.014913,38.804371,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.001455,0.07058,0.05182,1.681199,11.554034,19.064147,2.417948,0.015431,34.857372,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.001475,0.072925,0.053119,1.677069,18.965825,22.61145,2.418474,0.014563,45.815542,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.001463,0.070769,0.053461,1.671302,18.25373,18.500071,2.420598,0.015626,40.987627,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.001597,0.087413,0.052844,1.664716,18.364012,18.65278,2.423677,0.015004,41.262638,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.006353,0.088116,0.059472,208.101668,205.423685,205.553103,80.175881,38.551762,737.961748,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.005777,0.086237,0.062011,207.460194,205.556298,210.152619,76.617516,33.349417,733.291872,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.005858,0.084944,0.060777,208.217591,205.415981,205.130519,80.596944,20.355592,719.869522,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.006137,0.086556,0.062024,211.108019,215.216265,206.674158,37.561444,20.338641,691.054715,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.005856,0.086786,0.06111,208.203192,205.508706,208.789454,37.606362,20.330911,680.593836,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.019178,0.085865,0.061261,208.131306,208.448729,208.583594,37.574533,20.368381,683.274975,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.005728,0.084827,0.061262,208.359496,229.749003,227.087374,54.639043,47.608299,767.596678,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.005826,0.098137,0.061497,208.245191,205.509436,180.612769,71.587701,46.826385,712.948436,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.005839,0.087221,0.062217,208.293749,205.408983,206.518658,81.155792,38.571588,740.105997,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.007001,0.087862,0.061634,211.445164,207.432259,209.563323,38.74519,20.464059,687.808173,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.006184,0.087966,0.060978,211.526637,214.917142,202.708849,38.777494,20.464196,688.551116,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.006894,0.08675,0.0619,214.463911,210.493842,209.018354,38.770425,20.416807,693.32037,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000236,0.001595,0.000614,9.8e-05,0.000244,0.000166,2.6e-05,0.000876,0.004172,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000244,0.001614,0.000621,9.5e-05,0.000245,0.000177,3.1e-05,0.000878,0.004212,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000232,0.001626,0.00062,7.9e-05,0.000251,0.000177,3e-05,0.000871,0.004202,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000235,0.00163,0.000633,9.5e-05,0.000245,0.000173,3e-05,0.000883,0.004246,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000231,0.001647,0.000605,9.6e-05,0.000245,0.000174,3e-05,0.000879,0.004223,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000226,0.001606,0.000604,9.4e-05,0.000245,0.000171,3.1e-05,0.000876,0.00417,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000233,0.001608,0.000604,8.2e-05,0.000244,0.000173,2.9e-05,0.000875,0.004165,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000242,0.00164,0.00062,0.0001,0.000248,0.00017,3.1e-05,0.00087,0.004236,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.00023,0.001614,0.000616,9.6e-05,0.000244,0.000174,3e-05,0.000884,0.004209,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000245,0.001621,0.000622,9.6e-05,0.000245,0.000167,3e-05,0.000866,0.004209,64,0,64,0,0
