; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529505594,"CurrentTimeLocal","Wed Jun 20 16:39:54 2018","Hostname","c02n08","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000116
; "Time_ContextDestroy [ms]", 4.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000563,0.007446,0.001885,0.000319,0.000827,0.000377,7.9e-05,0.00165,0.013584,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000384,0.003269,0.001694,0.000103,0.000297,0.00031,6.3e-05,0.001253,0.007774,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000325,0.003227,0.00161,0.000107,0.000224,0.000257,5.6e-05,0.001244,0.007419,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000322,0.003263,0.00161,6.8e-05,0.000246,0.000238,3.6e-05,0.001246,0.0074,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000326,0.003147,0.001613,6.2e-05,0.000246,0.000239,3.5e-05,0.001243,0.007264,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000328,0.003175,0.001629,6.4e-05,0.000249,0.000235,3.7e-05,0.00125,0.007288,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000326,0.003253,0.001605,6.6e-05,0.000246,0.000228,3.5e-05,0.001244,0.007333,152,0,152,2.8119781171e-08,0
