; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 0.000248
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000207,0.008611,0.008288,0.000149,0.000325,0.000345,0.000133,0.000999,0.030116,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000203,0.00857,0.008305,0.000156,0.000318,0.000345,0.00012,0.001009,0.029966,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000185,0.008563,0.008336,0.000149,0.000324,0.000343,0.000127,0.000999,0.029992,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000191,0.008585,0.008303,0.00015,0.000329,0.000347,0.00012,0.001002,0.031619,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.00019,0.00859,0.008307,0.000137,0.000321,0.000345,0.000129,0.00099,0.029922,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.00019,0.008562,0.008299,0.000146,0.000319,0.000344,0.000125,0.001002,0.029977,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000192,0.008523,0.008304,0.000145,0.000323,0.000343,0.000121,0.000998,0.029912,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000191,0.00856,0.008274,0.000146,0.000323,0.000347,0.000124,0.00101,0.029945,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000187,0.008579,0.008291,0.00015,0.000322,0.000344,0.000124,0.001002,0.031248,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000192,0.008593,0.008296,0.000153,0.000316,0.000344,0.000123,0.000994,0.029967,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00019,0.008623,0.008279,0.000149,0.000323,0.000344,0.000127,0.001007,0.029965,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000212,0.008649,0.025409,0.000161,0.000367,0.000397,0.000145,0.001124,0.048354,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.0002,0.009143,0.008836,0.000159,0.000343,0.00038,0.000121,0.00108,0.033497,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000194,0.009144,0.00887,0.000153,0.000335,0.000366,0.00013,0.001065,0.031862,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000197,0.009144,0.00881,0.000158,0.000337,0.000366,0.000132,0.001068,0.03187,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000203,0.009131,0.008867,0.000159,0.000334,0.000366,0.000141,0.001051,0.031875,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000193,0.009163,0.0088,0.000155,0.000338,0.000367,0.00013,0.001071,0.031888,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000262,0.014117,0.013194,0.000321,0.04582,0.000924,0.000253,0.001394,0.091269,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000296,0.0136,0.012926,0.000204,0.000622,0.000607,0.000213,0.001127,0.041455,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000218,0.013005,0.012861,0.000212,0.000552,0.000586,0.000194,0.001092,0.04048,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000199,0.012986,0.012748,0.000203,0.000538,0.000565,0.000206,0.001074,0.040226,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000197,0.012944,0.012661,0.000198,0.000526,0.000548,0.000215,0.001045,0.04008,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000198,0.013058,0.012686,0.000201,0.000534,0.000555,0.000203,0.00106,0.041979,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000197,0.012982,0.012731,0.000204,0.000528,0.000559,0.000194,0.001068,0.040225,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.0002,0.012928,0.012658,0.0002,0.000529,0.000562,0.000186,0.001052,0.040028,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000213,0.013023,0.012652,0.000207,0.000538,0.000588,0.000194,0.001059,0.040319,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000192,0.012977,0.012694,0.000194,0.000512,0.000541,0.00019,0.001054,0.041465,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.00019,0.012993,0.012732,0.000194,0.000517,0.000543,0.000179,0.001045,0.040096,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.00019,0.012947,0.012733,0.000191,0.000512,0.000546,0.000189,0.001054,0.040034,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000191,0.012945,0.012708,0.000198,0.000507,0.000554,0.000183,0.001052,0.040043,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000189,0.012938,0.012713,0.000201,0.000509,0.000547,0.000182,0.00105,0.040027,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.00019,0.012948,0.01268,0.000198,0.00051,0.000551,0.000186,0.00106,0.041621,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.00019,0.012933,0.012705,0.000194,0.000507,0.000549,0.00019,0.001053,0.040042,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.00019,0.01294,0.01269,0.000194,0.000511,0.000549,0.000194,0.001052,0.040005,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00019,0.012934,0.012699,0.000195,0.00051,0.000553,0.000194,0.001052,0.040028,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000188,0.012991,0.012701,0.000208,0.000513,0.000553,0.000191,0.001049,0.040092,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000189,0.012982,0.012744,0.000195,0.000521,0.000553,0.000191,0.001045,0.041533,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000292,0.017643,0.017035,0.00034,0.005802,0.003947,0.000273,0.001347,0.059005,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000232,0.017134,0.016638,0.000233,0.000738,0.000804,0.000247,0.001122,0.049024,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000206,0.027823,0.015618,0.000225,0.000685,0.000706,0.000212,0.001024,0.058051,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000177,0.015869,0.015598,0.000222,0.00067,0.000696,0.000204,0.001005,0.045609,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000183,0.015874,0.015649,0.000222,0.000659,0.000685,0.000214,0.000989,0.047368,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000177,0.015863,0.015551,0.000219,0.000663,0.000694,0.000205,0.000985,0.045464,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000169,0.015811,0.015603,0.00022,0.000661,0.000684,0.000219,0.000989,0.045456,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000178,0.015869,0.015545,0.000219,0.000657,0.000691,0.000222,0.001009,0.045485,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.00018,0.015814,0.015624,0.000222,0.000659,0.000698,0.000202,0.000982,0.046849,6400,0,6400,3.2809306694e-17,0
