; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161267,"CurrentTimeLocal","Tue Sep 15 11:14:27 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.411341,0.570036,0.726654,54.806232,11.395858,14.406352,28.495447,1.238032,112.050885,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,4,1,"Success",0.414173,0.570044,0.725576,55.264498,11.335424,13.567455,28.472918,1.215105,111.566583,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.407447,0.564732,0.727387,54.685692,11.323068,14.98973,28.784283,1.23018,112.713691,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.407013,0.59097,0.724359,54.760477,11.178792,13.80622,28.632723,1.231431,111.33297,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.417345,0.570293,0.726814,55.183503,11.512674,15.209707,28.452546,1.22254,113.296599,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.408074,0.586142,0.724482,55.252222,11.178883,15.503154,28.476892,1.230717,113.361513,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.407973,0.585854,0.720684,54.948891,11.08912,14.360569,28.246881,1.22455,111.5862,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.408249,0.585421,0.723933,54.673638,11.311589,13.832718,28.68001,1.22673,111.443709,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.41574,0.568744,0.727529,55.02715,11.299364,14.82803,28.408136,1.223705,112.499783,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.411492,0.56909,0.725063,54.627709,11.199745,14.510176,28.497882,1.226585,111.769133,268500992,0,134217728,2.7755576443e-17,0
