; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161239,"CurrentTimeLocal","Tue Sep 15 11:13:59 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 0.000267
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.402985,0.589116,0.693711,54.587646,11.333226,14.420678,28.137204,1.197064,111.4133,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,4,1,"Success",0.412101,0.569735,0.697688,54.966209,11.047857,13.434236,28.261924,1.19371,110.631049,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.40043,0.586052,0.697044,54.54631,11.165053,13.740098,28.174766,1.197125,110.556429,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.409992,0.586039,0.696656,54.841158,11.199232,13.798714,28.154887,1.193961,110.934217,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.405265,0.584539,0.694745,54.933851,11.297934,14.277401,28.465325,1.18901,111.895237,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.410688,0.5887,0.690576,54.528186,11.147973,13.601829,28.381895,1.204851,110.604353,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.405255,0.586154,0.692533,54.861058,11.151521,14.196962,28.216156,1.188537,111.350091,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.410127,0.579097,0.689781,54.609529,11.399704,13.766482,28.44378,1.192474,111.145324,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.408046,0.586067,0.69432,54.767958,11.254184,15.056492,28.298356,1.192019,112.309423,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.40511,0.582763,0.697246,54.887171,11.325642,13.853535,28.122728,1.185929,111.108879,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.398064,0.586429,0.684114,54.733786,11.114683,14.28192,28.148177,1.175587,111.171879,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.406758,0.5807,0.69647,54.591031,11.271689,15.265783,28.154892,1.190104,112.209776,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.418131,0.569026,0.700885,55.007228,11.296898,14.33437,28.297753,1.186275,111.866318,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.416666,0.568074,0.703212,54.655903,11.306245,14.705812,28.101396,1.17945,111.685771,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.407573,0.585444,0.69651,54.76425,11.150317,14.624979,28.11996,1.177201,111.576494,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.410166,0.578257,0.694093,54.970147,11.214664,13.553162,28.294621,1.193054,110.957349,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.401409,0.582445,0.700194,54.778618,11.230057,14.928376,28.115854,1.183331,111.96781,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.461596,1.886532,2.067216,208.296122,79.849305,73.266783,113.384316,3.298313,482.584624,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.409554,1.857469,1.945343,208.801044,53.416863,52.681368,113.711343,3.276354,436.155871,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.41261,1.672905,1.837898,207.415116,54.146026,54.657553,115.033813,3.297376,438.538125,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.4111,1.669869,1.846976,207.873859,52.524602,54.238289,113.469999,3.278885,435.382676,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.405461,1.696929,1.843849,207.372927,52.075533,52.581039,113.958933,3.295407,433.285315,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.403705,1.67369,1.837977,207.600212,52.5516,56.714885,114.22662,3.291469,438.373592,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.412795,1.670175,1.840814,207.166499,52.409353,54.939313,113.692263,3.285666,435.472482,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.412536,1.674447,1.837828,207.54797,52.45589,54.36882,113.275914,3.256307,434.892431,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.404979,1.695279,1.844621,206.947729,51.883604,56.031355,113.460795,3.299766,435.633192,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.414565,1.670249,1.844132,207.242716,52.345363,53.023441,114.898426,3.296934,434.797816,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.404396,1.6933,1.84491,206.964523,52.277134,58.493836,113.984876,3.304143,439.023411,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.402444,1.695357,1.844349,207.293036,52.50005,53.041576,114.203597,3.293926,434.334403,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.401956,1.685175,1.842612,207.420242,52.321227,59.8539,114.601984,3.313065,441.495457,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.409532,1.684894,1.846429,207.627534,52.07757,55.569013,114.063832,3.283613,436.617563,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.40687,1.664224,1.839804,205.532154,52.770951,54.851576,114.904171,3.324168,435.360852,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.393882,1.697565,1.843301,204.138923,52.30275,53.64733,112.067448,3.28252,429.432211,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.395707,1.688514,1.840045,204.668806,52.248265,52.422258,111.962358,3.282246,428.564124,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.402721,1.672828,1.8416,204.331281,52.153555,58.092753,113.346408,3.305969,435.210991,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.400611,1.703776,1.844266,207.601614,52.136407,52.763737,114.904274,3.303217,434.714478,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.403891,1.698959,1.841761,207.383063,52.054953,55.84682,113.71787,3.300456,436.308858,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.405975,4.085823,4.223217,829.096538,274.125039,241.540528,452.687874,10.851241,1817.093561,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.412504,4.011061,4.243885,826.274866,272.835975,247.384578,454.729924,10.792458,1820.75286,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.413371,4.030941,4.343588,827.472767,273.468593,261.004292,448.913721,10.778779,1830.495136,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.400145,4.024662,4.237972,823.587446,272.310766,239.632583,450.015172,10.784706,1805.064903,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.397518,4.023688,4.234883,815.065834,272.678094,245.850044,449.183596,10.757767,1802.269392,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.41407,4.024446,4.243882,824.812846,273.551893,246.446506,451.01143,10.729148,1815.301889,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.417988,4.017674,4.241048,827.973269,273.948658,253.278424,448.981727,10.794716,1823.728464,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.411954,4.025738,4.239719,826.247816,272.563903,246.886634,452.436599,10.759307,1817.639329,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.395815,4.021303,4.236005,816.319568,272.271174,258.314229,451.28533,10.79329,1817.708257,4295229440,0,2147483648,3.3993498951e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.405533,4.044404,4.234152,826.301624,274.026151,248.825997,453.142734,10.748682,1821.803993,4295229440,0,2147483648,3.3993498951e-17,0
