; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000168,0.009019,0.008732,0.000143,0.000328,0.000337,9.3e-05,0.000926,0.020038,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000152,0.008944,0.008708,0.000148,0.000334,0.000324,9.7e-05,0.000931,0.019933,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000152,0.00897,0.008768,0.000145,0.000335,0.000323,9.6e-05,0.00093,0.020014,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000152,0.00898,0.008777,0.000142,0.000337,0.000322,9.5e-05,0.000919,0.020017,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000152,0.008997,0.008735,0.000135,0.000328,0.000323,9.6e-05,0.000931,0.019989,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000162,0.00899,0.008736,0.00014,0.000339,0.000334,9.5e-05,0.000922,0.020011,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000163,0.008938,0.008687,0.00014,0.000325,0.000321,9.2e-05,0.000923,0.019883,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.00015,0.008968,0.008689,0.000145,0.000337,0.00032,9.6e-05,0.000931,0.019934,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000152,0.008947,0.008742,0.00014,0.000328,0.00032,9.4e-05,0.000924,0.019942,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000151,0.008971,0.008708,0.000147,0.000329,0.000321,9.5e-05,0.000933,0.019948,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000152,0.008953,0.008709,0.000144,0.000332,0.000322,9.3e-05,0.000924,0.019925,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.00015,0.008936,0.00871,0.000145,0.00033,0.00032,9.4e-05,0.000933,0.019918,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000153,0.008947,0.008701,0.000145,0.000338,0.000324,9.3e-05,0.000923,0.019915,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000149,0.008944,0.008735,0.000148,0.000332,0.000325,9.2e-05,0.000927,0.019944,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000152,0.008906,0.008714,0.000136,0.000329,0.000323,9.2e-05,0.000926,0.019872,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000151,0.008936,0.008747,0.000138,0.000332,0.000323,9.8e-05,0.000924,0.019944,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000152,0.009028,0.008727,0.000138,0.000333,0.000323,9.7e-05,0.000917,0.020006,3200,0,3200,3.72216456e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000212,0.013749,0.013204,0.000237,0.020127,0.007164,0.000242,0.001177,0.056412,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000196,0.013121,0.012763,0.000202,0.000536,0.000531,0.000187,0.000976,0.028811,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000182,0.012843,0.012635,0.000203,0.000495,0.000491,0.00017,0.000931,0.028244,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000177,0.012921,0.012565,0.000193,0.000499,0.000486,0.000174,0.000922,0.028233,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000146,0.012793,0.012641,0.000183,0.000499,0.000477,0.000166,0.000925,0.02813,4800,0,4800,7.4492303974e-17,0
