; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864263,"CurrentTimeLocal","Wed Sep 23 14:31:03 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.9e-05
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.003979,0.209645,0.043329,1.334175,4.416876,0.349676,0.445479,0.259288,7.114662,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.007018,0.066786,0.038925,1.411555,0.282972,0.245276,0.303541,0.020082,2.397263,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.001043,0.05419,0.033943,0.389752,0.269133,0.244853,0.28387,0.018966,1.318408,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.000924,0.051482,0.040021,0.383079,0.278597,0.243385,0.282134,0.018793,1.318114,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.000869,0.050231,0.033408,0.384096,0.273485,0.252252,0.276101,0.018812,1.308697,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.000951,0.050226,0.033551,0.383914,0.283931,0.242263,0.275119,0.018597,1.308079,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.000955,0.049886,0.033473,0.386171,0.267648,0.241906,0.274711,0.018728,1.292866,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.000881,0.050709,0.033233,0.392219,0.273516,0.243382,0.274791,0.018393,1.309235,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.000887,0.049818,0.033273,0.389896,0.282249,0.243954,0.31521,0.018529,1.353182,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.000874,0.054848,0.033322,0.380963,0.280505,0.246335,0.278988,0.018167,1.313562,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.000878,0.049448,0.033137,0.381658,0.268219,0.250781,0.274989,0.018295,1.29667,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.000846,0.049681,0.03257,0.385535,0.256462,0.248499,0.276032,0.018388,1.287085,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.00083,0.049607,0.033262,0.385042,0.274301,0.243201,0.274488,0.01852,1.299905,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.000926,0.049508,0.033375,0.393462,0.282579,0.244886,0.276025,0.01863,1.318677,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.000888,0.049621,0.033286,0.38883,0.260177,0.243257,0.281899,0.018266,1.295571,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.000823,0.049861,0.033855,0.385248,0.278662,0.242668,0.28192,0.018633,1.316539,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.000882,0.049746,0.033215,0.377109,0.266249,0.253297,0.277442,0.018063,1.295046,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.000848,0.049112,0.033487,0.382232,0.27416,0.243994,0.277558,0.018038,1.300292,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.000857,0.049617,0.033379,0.386295,0.276985,0.240919,0.276208,0.018607,1.302115,2612288,0,2593080,1.2513699244e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.000852,0.049573,0.033252,0.393331,0.264384,0.242759,0.277201,0.018173,1.298566,2612288,0,2593080,1.2513699244e-16,0
