; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363354112,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147422,"CurrentTimeLocal","Mon Apr  6 06:30:22 2020","Hostname","csk012.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,2,70,"Success",0.000404,1336.489931,1331.580736,3.818336,0.371563,0.34119,0.238872,0.419902,2673.261604,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,3,70,"Success",0.000343,1301.065522,1327.451787,0.123088,0.346963,0.364122,0.215475,0.398493,2629.966899,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,4,70,"Success",0.000315,1332.230796,1329.619586,0.122027,0.367164,0.479401,0.178442,0.501354,2663.499888,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,5,70,"Success",0.000258,1337.98952,1343.16703,0.501985,0.410926,0.351311,0.2132,0.414286,2683.051349,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,6,70,"Success",0.000334,1301.714768,1553.178797,0.171438,0.358148,0.358525,0.227397,0.440942,2856.451148,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,7,70,"Success",0.000342,1290.670375,1332.670018,0.126441,0.353005,0.356426,0.245542,0.464868,2624.887834,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,8,70,"Success",0.000307,1334.649735,1342.093773,0.126177,0.34635,0.338777,0.234678,0.403918,2678.196533,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,9,70,"Success",0.000364,1328.050332,1361.742628,0.491388,0.604026,0.353554,0.224722,0.508988,2691.976637,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,10,70,"Success",0.00032,1363.051611,1358.475804,0.121768,0.351757,0.353391,0.216631,0.423608,2722.995519,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,11,70,"Success",0.000379,1357.131152,1355.797169,0.123012,0.37608,0.350886,0.225754,0.475688,2714.480751,1042568,0,1042568,8.1597392439e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,0,71,"Warmup",0.007249,6258.737651,6314.661225,4.056057,5.887436,5.489608,3.817674,0.630068,12593.28783,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,1,71,"Warmup",0.0003,6384.123102,6656.170404,4.21004,4.15525,4.189884,3.512436,0.552881,13056.918406,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,2,71,"Success",0.000328,6208.835021,6203.543837,4.138838,4.08391,6.707967,3.60755,0.626817,12431.547723,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,3,71,"Success",0.000298,6426.588327,6467.806748,4.183841,4.072974,4.473315,3.688602,0.627303,12911.444122,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,4,71,"Success",0.00034,6612.395539,6736.671097,4.121555,4.167087,6.613967,3.861134,0.63336,13368.467201,19808792,0,19808792,1.2508381178e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,5,71,"Success",0.000383,6423.59251,6432.953648,4.299493,6.040488,4.190505,3.656706,0.665934,12875.403019,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,6,71,"Success",0.00037,6323.203443,6705.659047,4.460638,3.925923,4.178521,3.415741,0.629486,13045.476534,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,7,71,"Success",0.00031,6236.82116,6828.544552,4.521516,4.308497,3.924942,3.508974,0.595974,13082.229253,19808792,0,19808792,1.2439066501e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,8,71,"Success",0.000414,6479.17526,6291.499476,4.455355,6.098172,6.389319,3.610404,0.616645,12791.848398,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,9,71,"Success",0.000324,6208.364888,6213.315733,4.168478,5.523808,4.247056,3.642911,0.63414,12439.900891,19808792,0,19808792,1.2510046658e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,10,71,"Success",0.000415,6258.960149,6247.819321,4.142432,5.517435,4.210661,3.688275,0.593118,12524.935719,19808792,0,19808792,1.2491986457e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,11,71,"Success",0.000294,6293.521652,6240.113869,4.217608,4.576523,4.175942,3.746944,0.571762,12550.927818,19808792,0,19808792,1.2388689291e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,0,72,"Warmup",0.006695,67267.51412,67439.300315,90.071404,83.52368,82.024879,61.564374,1.574935,135025.58198,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,1,72,"Warmup",0.005342,67609.477534,69026.120616,64.423752,83.123653,82.8257,84.420351,1.769613,136952.17302,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,2,72,"Success",0.005303,71459.719759,68329.349482,83.073692,82.259126,80.444505,61.697913,1.631758,140098.19415,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,3,72,"Success",0.004819,68127.202439,66951.744072,119.955477,83.624931,83.731781,70.922992,1.60471,135438.79753,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,4,72,"Success",0.006054,66133.595426,68834.522773,91.519318,84.629,80.429886,80.844861,1.751961,135307.30402,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,5,72,"Success",0.0058,70967.379378,65655.507589,87.074634,126.29775,137.872895,83.004796,1.625937,137058.77291,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,6,72,"Success",0.005155,67799.080056,66342.169906,72.360238,83.114356,80.742046,83.673431,1.695587,134462.85736,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,7,72,"Success",0.005129,66870.640743,68277.742752,86.165052,83.235663,80.292693,58.713202,1.630053,135458.43309,376367048,0,376367048,1.275553271e-07,0
