; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404309733376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178553,"CurrentTimeLocal","Tue Oct 20 09:22:33 2020","Hostname","csk097.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.5e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.00419,6615.703889,6908.077665,5.894544,11.962895,11.638668,3.921119,0.728321,13557.931926,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.004223,7112.690304,6651.100483,5.997394,11.46203,11.19436,3.896228,0.748265,13797.094255,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.004256,6601.87237,6638.470585,5.978673,12.434693,11.20682,3.773448,0.745846,13274.487388,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.004203,6691.259809,6866.771,6.637699,11.49731,11.254263,3.62954,0.759262,13591.813976,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.004207,6715.95594,6690.029367,6.636247,11.450361,11.128324,3.541181,0.812243,13439.558671,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.004202,6668.881331,6956.058606,6.346597,13.590363,11.131913,3.711861,0.701695,13660.427296,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.004086,6867.340839,6864.756061,6.087029,11.498428,11.119488,3.781649,0.787543,13765.375921,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.004182,6844.961575,7042.824522,5.991736,11.626172,11.429718,4.064922,0.841215,13921.744822,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.004078,6803.07791,6854.073445,5.806927,11.634489,11.436157,3.772986,0.794558,13690.601252,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.004033,6816.211693,6853.859898,6.16646,11.679535,11.3739,3.619084,0.74682,13703.66214,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.009728,33339.918873,33319.549177,68.324291,89.691978,109.873647,78.120118,2.406682,67007.896358,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.008908,34451.152285,33886.794097,69.097532,88.684696,90.81401,78.030532,2.388223,68666.972585,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.009275,33659.265276,37079.910484,64.289909,93.250439,90.42702,79.178601,2.385337,71068.718237,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.010028,33961.750612,34120.000663,67.995871,98.624407,113.127636,76.583721,2.416125,68440.51053,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.008493,34432.987079,34873.04064,80.010809,92.509831,90.683841,41.997576,2.411009,69613.65067,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.010073,32953.781849,32795.732699,107.520885,127.086154,133.744662,56.335362,2.265681,66176.479054,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.010119,33481.722113,33582.710204,72.840228,94.468127,122.695315,65.541642,2.424591,67422.413957,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.008909,33388.594216,33681.784443,102.046364,94.443994,114.021311,77.083662,2.441716,67460.427018,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.01058,33573.455892,32613.240328,62.083263,87.073496,106.472015,78.442766,2.426854,66523.207422,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.010447,32771.757218,33292.003567,75.053112,105.383618,90.030327,48.901735,2.538449,66385.68017,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.00877,32711.471981,33308.88179,66.905873,94.765916,112.305721,77.988046,2.435571,66374.765469,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.010745,33905.62553,32745.582435,79.810188,87.745306,110.225656,44.641694,2.346676,66975.989735,376367048,0,376367048,1.2596183062e-07,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.00037,26.169499,25.403324,0.000138,0.025392,0.037523,0.000293,0.002577,51.63971,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000259,28.776247,25.283488,0.000125,0.023162,0.024819,0.000311,0.007135,54.115995,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000187,26.685538,25.397649,0.000107,0.023244,0.024757,0.000288,0.010042,52.142255,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000178,26.538989,28.562654,0.001457,0.02304,0.025554,0.00032,0.005642,55.158413,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000212,26.593119,25.664432,9.9e-05,0.021406,0.039403,0.000312,0.00377,52.323199,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000167,26.124852,25.261344,0.000112,0.025039,0.02702,0.0003,0.006446,51.44586,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000198,26.13482,27.946831,0.000109,0.038067,0.024941,0.000295,0.004807,54.150552,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000146,26.017332,25.410319,0.000121,0.024297,0.023902,0.000122,0.006218,51.482927,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000199,26.045871,25.706087,0.000108,0.036114,0.02514,0.00014,0.005136,51.819363,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000186,25.969137,25.256347,0.000103,0.043156,0.02427,0.000112,0.006912,51.300624,64,0,64,0,0
