; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178552,"CurrentTimeLocal","Tue Oct 20 09:22:32 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 2.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.003734,42.10423,42.078433,0.000543,0.055257,0.049582,0.000875,0.010373,84.304065,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.003782,42.069244,42.324938,0.000345,0.055998,0.074147,0.000579,0.010988,84.54066,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.003765,41.9965,42.139129,0.000349,0.058492,0.057412,0.000732,0.010478,84.2678,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.00368,42.125274,42.31159,0.000305,0.057561,0.053555,0.000986,0.01065,84.564476,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.003712,43.73094,42.168102,0.000266,0.055957,0.055776,0.000504,0.010692,86.027278,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.003715,41.9213,42.223801,0.000296,0.055111,0.053721,0.00047,0.010663,84.270113,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.003708,41.916984,42.385789,0.000309,0.055557,0.059973,0.00058,0.012017,84.435529,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.003978,41.887312,42.150003,0.000296,0.056071,0.05684,0.000538,0.011445,84.167199,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.003726,42.275853,42.564805,0.0003,0.054339,0.052668,0.0008,0.010675,84.964413,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.003774,42.226775,42.661965,0.00029,0.057038,0.057269,0.000613,0.010349,85.018786,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.003744,42.625054,44.471783,0.000287,0.066426,0.057721,0.000507,0.010805,87.237766,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.003751,41.666702,42.238047,0.000298,0.054302,0.054641,0.000525,0.010978,84.030374,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.0039,324.116258,315.306289,0.026343,0.135689,0.12839,0.013797,0.311198,640.042609,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.0038,316.277105,316.128752,0.008849,0.140544,0.121725,0.01326,0.287058,632.981726,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.003913,315.952732,313.168246,0.008158,0.140093,0.128984,0.012342,0.285789,629.700766,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.003963,315.950359,315.621301,0.008429,0.245889,0.141384,0.013496,0.296383,632.28184,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.003732,316.51897,316.046854,0.007784,0.149298,0.12552,0.014354,0.281363,633.148586,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.003977,315.470839,320.606658,0.025256,0.271108,0.126261,0.011991,0.291811,636.808359,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.003936,309.948426,309.967503,0.008136,0.134482,0.129867,0.012526,0.287179,620.492497,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.003685,310.605681,311.574738,0.007651,0.143577,0.126543,0.012014,0.304381,622.778758,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.003962,312.532869,320.37961,0.025447,0.279306,0.123765,0.012602,0.277822,633.63624,54872,0,54872,7.5449420855e-08,0
