; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178552,"CurrentTimeLocal","Tue Oct 20 09:22:32 2020","Hostname","csk026.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.8e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.00017,1.654812,1.38236,7.6e-05,0.000433,0.000272,7.9e-05,0.00085,3.039412,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000168,1.364005,1.389235,9.1e-05,0.000449,0.000269,6.8e-05,0.000685,2.755308,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.00019,1.412893,1.389342,7.5e-05,0.000358,0.000269,7e-05,0.000681,2.804237,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000208,1.37571,1.393938,7.8e-05,0.000342,0.00029,5.6e-05,0.000865,2.771825,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000197,1.412054,1.385874,7.1e-05,0.000423,0.000283,5.3e-05,0.000874,2.800186,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000194,1.393458,1.398903,7.6e-05,0.000395,0.00027,4.4e-05,0.000574,2.794286,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000166,1.407055,1.369426,8.8e-05,0.000411,0.000264,4.9e-05,0.000719,2.778536,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.00019,1.391489,1.374423,0.000101,0.000413,0.000261,4.4e-05,0.000915,2.768193,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000169,1.403225,1.384433,0.000116,0.000366,0.000266,4e-05,0.000622,2.789596,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000197,1.378745,1.377644,6.9e-05,0.000416,0.000287,4.6e-05,0.000773,2.758547,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000193,1.396126,1.389756,7.9e-05,0.000356,0.000279,5e-05,0.000636,2.787826,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000154,1.376567,1.377115,0.000105,0.000414,0.000279,5e-05,0.000894,2.755932,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.003922,23.127397,22.872357,0.00066,0.060227,0.057436,0.000286,0.025179,46.148142,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.003919,23.215109,24.349306,0.000386,0.062387,0.06102,0.000777,0.023206,47.716708,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.003855,23.886098,22.801407,0.000555,0.058643,0.057133,0.000297,0.021321,46.829929,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.00382,23.200599,22.819288,0.00061,0.061142,0.06088,0.000223,0.021096,46.168401,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.003974,23.257729,22.951872,0.000427,0.060969,0.057681,0.001136,0.022299,46.356831,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.004161,23.236764,23.038349,0.000416,0.062435,0.064195,0.000217,0.023384,46.430559,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.003864,23.297698,22.823639,0.000586,0.058847,0.060591,0.000918,0.023351,46.269984,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.003853,25.590247,22.902558,0.0006,0.060816,0.061266,0.001152,0.026048,48.647097,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.003863,23.297195,22.851634,0.000587,0.0611,0.062355,0.000815,0.02287,46.301252,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.003907,23.208011,22.896302,0.000511,0.059506,0.058886,0.000722,0.027246,46.255581,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.003829,23.309641,22.932398,0.000696,0.058318,0.063251,0.000276,0.03921,46.408401,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.003881,23.305797,22.894795,0.000696,0.059602,0.077272,0.000925,0.025065,46.368502,2888,0,2888,7.0327135893e-08,0
