; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000116
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000215,62.203754,61.034145,0.000201,0.005941,0.005754,0.000358,0.005986,123.256744,3200,0,3200,3.0655881038e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000207,62.14833,60.788918,0.000211,0.005916,0.004859,0.000156,0.005594,122.954567,3200,0,3200,1.4636401897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000211,61.940582,61.403979,0.000207,0.00517,0.004934,0.000344,0.012171,123.36798,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000259,62.130282,61.206933,0.000202,0.006338,0.004764,0.000364,0.006744,123.35625,3200,0,3200,1.7187986696e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000248,62.402973,61.858109,0.000201,0.004867,0.005246,0.000379,0.006707,124.279074,3200,0,3200,1.7187986696e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000222,62.279847,61.523535,0.000198,0.00582,0.005719,0.000432,0.006738,123.822876,3200,0,3200,2.2125667e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000233,62.22428,60.74512,0.000213,0.006124,0.00608,0.00026,0.006916,122.989607,3200,0,3200,2.4483172471e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000233,61.860239,60.941705,0.000203,0.005302,0.005453,0.000404,0.00659,122.820493,3200,0,3200,1.8320087152e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.00023,62.226003,60.956235,0.000207,0.006408,0.005064,0.000357,0.005909,123.200793,3200,0,3200,2.4875947898e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000221,62.53815,61.311853,0.000197,0.005904,0.006348,0.000138,0.005928,123.86911,3200,0,3200,2.4672183782e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000223,62.504638,61.047293,0.000221,0.005381,0.005599,0.000432,0.006638,123.570818,3200,0,3200,1.9065632647e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000289,62.057113,61.029883,0.000194,0.005623,0.005591,0.000316,0.007512,123.106914,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000232,61.865296,61.034219,0.000219,0.005562,0.006062,0.000381,0.007281,122.91964,3200,0,3200,3.473641053e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000236,61.99475,60.850122,0.000207,0.005846,0.005253,0.000376,0.006747,122.863896,3200,0,3200,1.9065632647e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000242,91.64893,90.093972,0.000236,0.005938,0.006042,0.00043,0.007045,181.763208,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000281,91.96876,90.46241,0.000246,0.006593,0.00582,0.000504,0.006985,182.451977,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000262,91.308856,90.087376,0.000283,0.006058,0.005955,0.000502,0.006535,181.416182,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000307,91.797695,89.959886,0.000289,0.006853,0.005787,0.000474,0.007289,181.778967,4800,0,4800,6.5169828154e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000256,91.510761,90.074091,0.000293,0.005855,0.0056,0.000527,0.00666,181.604423,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000243,91.483096,90.004505,0.000289,0.006672,0.005974,0.000526,0.006668,181.508345,4800,0,4800,5.0951376999e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000287,91.624821,90.142739,0.000268,0.00559,0.00681,0.000193,0.00641,181.787524,4800,0,4800,7.1938169783e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000258,91.811232,90.172835,0.00025,0.006166,0.005299,0.000476,0.006282,182.003184,4800,0,4800,5.749190479e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000243,91.554634,90.267276,0.000268,0.005767,0.005525,0.000492,0.006681,181.841254,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000309,91.469604,90.332896,0.000316,0.006088,0.00624,0.000489,0.006894,181.823216,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000258,91.312445,90.674669,0.000285,0.005652,0.005973,0.000363,0.006463,182.006489,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000264,92.322555,89.919103,0.00024,0.006458,0.005766,0.000488,0.007292,182.26255,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000252,91.560954,90.087923,0.000289,0.005955,0.00625,0.000443,0.007051,181.669501,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000266,91.474594,90.603109,0.000297,0.006057,0.006248,0.000169,0.006406,182.097514,4800,0,4800,5.4386764165e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000324,93.005344,90.202646,0.000244,0.005907,0.006223,0.000432,0.006288,183.227771,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000256,93.212796,90.189674,0.000229,0.005295,0.007338,0.000203,0.006789,183.422949,4800,0,4800,7.1938169783e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000279,91.538686,90.546559,0.000299,0.005761,0.007445,0.000182,0.005884,182.105475,4800,0,4800,7.0609495961e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000269,91.508812,90.716276,0.000256,0.006533,0.005912,0.000471,0.007066,182.245982,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000246,92.087173,90.049352,0.000272,0.005621,0.005608,0.000474,0.006674,182.155807,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000248,91.532382,90.065381,0.000308,0.006215,0.006737,0.000195,0.006482,181.618311,4800,0,4800,6.6459708018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000303,106.44885,105.942414,0.000369,0.006865,0.006244,0.000502,0.007201,212.413133,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000246,107.438064,104.168485,0.000403,0.006617,0.006656,0.00059,0.007172,211.628603,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000258,106.106226,106.049609,0.000357,0.0063,0.006063,0.000594,0.006914,212.176685,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000256,106.148172,104.664669,0.00034,0.006433,0.006539,0.00059,0.006996,210.83436,6400,0,6400,1.4458683937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000238,106.323722,103.963094,0.00042,0.007061,0.006917,0.000655,0.007257,210.309727,6400,0,6400,1.9854995463e-17,0
