; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733562,"CurrentTimeLocal","Thu Sep 10 12:26:02 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 8.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.000343,10.185041,11.955832,0.222382,1.232224,0.335728,0.182956,0.105447,24.220356,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.013222,10.270619,12.216078,0.379451,1.249105,0.336589,0.1837,0.109043,24.758219,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.00032,10.189883,11.872753,0.223577,4.848924,4.895171,0.184533,0.111354,32.326915,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000434,10.278489,11.935344,0.222857,4.605971,1.971224,0.183636,0.108396,29.306768,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.016288,10.193832,12.156327,0.388208,2.870601,0.336755,0.183821,0.116736,26.262983,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.000448,10.270294,12.236009,0.224732,4.685402,7.798102,0.180999,0.1158,35.512194,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.01215,9.718606,11.705994,0.369972,7.648755,6.227916,0.182884,0.118755,35.985423,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.016244,9.88723,11.740256,0.379125,5.294712,2.006311,0.184024,0.11648,29.624778,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.012041,9.991605,11.889582,0.387617,4.815329,2.724345,0.183994,0.108148,30.113047,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.012207,10.204394,12.172732,0.390298,1.24755,0.335677,0.182841,0.10817,24.654281,7308400,0,3630000,1.4700598092e-16,0
