; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168240,"CurrentTimeLocal","Tue Sep 15 13:10:40 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00046
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.02028,0.312442,0.247061,1.036305,0.685524,5.031505,0.481822,0.605923,8.424782,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.01858,0.307082,0.243901,1.031145,0.683384,4.976925,0.478262,0.603503,8.346862,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.01944,0.305601,0.246762,1.026885,0.622663,5.022845,0.481363,0.601523,8.330802,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.018581,0.304921,0.245601,1.042026,0.651763,5.044205,0.477323,0.628063,8.416323,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.01966,0.302862,0.244701,1.030425,0.689184,4.880784,0.486423,0.622143,8.280042,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.01994,0.305261,0.247141,1.042146,0.655243,5.003005,0.505643,0.599803,8.382102,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.01976,0.313222,0.246081,1.025265,0.668404,4.999745,0.517922,0.601063,8.395742,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.0195,0.306942,0.246601,1.053325,0.695164,4.982425,0.481982,0.608563,8.398642,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.02024,0.309262,0.245441,1.038645,0.638503,5.049726,0.478462,0.599823,8.384182,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.02024,0.310701,0.245102,1.033665,0.660683,5.040705,0.478483,0.609703,8.403302,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.01874,0.307461,0.242721,1.018906,0.664783,5.031005,0.480443,0.603543,8.371502,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.02036,0.305522,0.243341,1.026165,0.641644,5.043545,0.483682,0.601443,8.369542,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.01944,0.305522,0.244941,1.041745,0.659903,5.005086,0.483182,0.600463,8.364422,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.01876,0.308421,0.246742,1.035905,0.666143,5.051685,0.484143,0.601643,8.417542,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.01954,0.308181,0.243201,1.029406,0.649943,4.995305,0.479442,0.596743,8.325781,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.0202,0.306362,0.244581,1.036125,0.671004,5.006825,0.478122,0.607223,8.374582,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.0156,144.883228,111.694001,1.543947,1.305067,6.413972,0.618923,0.583703,267.063021,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.01454,0.606643,0.523403,0.774484,1.194766,6.389732,0.622943,0.802264,10.932775,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.0273,0.590223,0.487642,1.493608,1.248526,6.446072,0.621424,0.811764,11.731119,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.026881,0.587582,0.487482,1.442107,1.215166,6.436173,0.626143,0.800704,11.626359,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.02724,0.581103,0.495242,1.464568,1.218586,6.529053,0.630423,0.813064,11.763919,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.02816,0.590283,0.483522,1.455147,1.232327,6.431852,0.622723,0.808864,11.657098,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.02846,0.609563,0.491023,1.439627,1.210886,6.500553,0.643363,0.812164,11.739419,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.02934,0.593723,0.487482,1.437307,1.228987,6.431632,0.622203,0.800464,11.635618,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.0271,0.587663,0.484842,1.457708,1.247126,6.363732,0.628043,0.802464,11.602858,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.02972,0.586463,0.490282,1.433208,1.195866,6.409952,0.621503,0.802724,11.573918,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.02826,0.585383,0.482202,1.437068,1.230586,6.369292,0.623063,0.806704,11.567818,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.02762,0.586003,0.488422,1.445688,1.225266,6.499092,0.620783,0.808065,11.705179,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.026881,0.583503,0.491642,1.434987,1.231326,6.456473,0.623963,0.811224,11.665119,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.02786,0.591223,0.486482,1.453228,1.197206,6.364572,0.621043,0.819304,11.565298,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.02814,0.582583,0.487002,1.428447,1.246767,6.411272,0.617003,0.809584,11.614938,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.02786,0.584403,0.487842,1.437247,1.227387,6.554612,0.621984,0.806384,11.752339,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.02648,0.584203,0.486582,1.433487,1.215526,6.484493,0.622443,0.802944,11.660458,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.02944,0.586383,0.483962,1.431128,1.237786,6.401972,0.617383,0.819144,11.611358,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.02786,0.613203,0.484623,1.419607,1.185326,6.457392,0.647203,0.809764,11.649258,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.02836,0.587563,0.482743,1.439007,1.231026,6.423032,0.618483,0.802705,11.617039,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.01466,202.193775,474.924585,0.675623,3.511018,3.698979,0.269701,0.296742,685.588983,2041200,0,2025000,1.7420594319e-16,0
