; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280053,"CurrentTimeLocal","Mon Sep 28 10:00:53 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00032
; "Time_ContextDestroy [ms]", 0.00038
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.0145,159.848264,204.913502,1.129385,4.50638,5.287443,0.498042,0.150401,376.351077,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.023,0.354261,0.257841,1.069504,0.694123,6.157327,0.487203,0.14978,9.19584,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.01876,0.336781,0.251202,1.027064,0.672183,5.326763,0.493003,0.14482,8.273836,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.02204,0.333622,0.246941,1.037264,0.684023,5.388224,0.487062,0.146901,8.349757,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.019861,0.330101,0.249041,1.063185,0.623463,5.259583,0.479822,0.1353,8.163436,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.01952,0.321702,0.246461,1.037224,0.644623,5.230543,0.476842,0.135821,8.115836,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.02068,0.323662,0.246261,1.046785,0.640322,5.260244,0.481822,0.13734,8.160036,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.02034,0.327482,0.245681,1.046924,0.659403,5.224363,0.477882,0.132601,8.137616,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.0203,0.321222,0.244561,1.037145,0.645742,5.299564,0.476202,0.13766,8.185636,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.0206,0.319502,0.245461,1.044284,0.640823,5.301003,0.479062,0.142781,8.196596,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.02024,0.328281,0.246901,1.038505,0.651243,5.278223,0.490342,0.149461,8.206056,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.02118,0.335401,0.271241,1.047605,0.696983,5.232423,0.485562,0.142701,8.236056,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.02134,0.348261,0.245101,1.031325,0.655063,5.268643,0.485562,0.143281,8.201876,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.02012,0.357622,0.246681,1.039465,0.657103,5.234643,0.485602,0.14176,8.185836,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.04986,0.325742,0.246121,1.028344,0.631883,5.352184,0.481882,0.1432,8.262396,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.0204,0.327762,0.245401,1.032064,0.657583,5.276663,0.486063,0.12912,8.178056,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.02046,0.328961,0.245542,1.025824,0.674363,5.303803,0.489643,0.14626,8.237556,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.02174,0.331442,0.247721,1.045284,0.694303,5.148343,0.482002,0.137861,8.111756,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.01982,0.325561,0.246441,1.021325,0.653123,5.364563,0.483342,0.139741,8.256836,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.02096,0.324881,0.245061,1.041565,0.621903,5.274243,0.484942,0.139721,8.156456,3678400,0,3630000,3.0723972588e-16,0
