; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533888122,"CurrentTimeLocal","Fri Aug 10 11:02:02 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000407
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,43,"Success",0.006576,106.387662,106.671193,0.006466,0.191863,0.188787,0.00195,0.003019,213.458604,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,43,"Success",0.006349,106.171136,105.365094,0.006242,0.211589,0.261213,0.00206,0.003411,212.027671,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,43,"Success",0.006607,106.623479,106.858958,0.006099,0.191524,0.188674,0.001776,0.003788,213.881494,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,43,"Success",0.006492,106.411288,105.882921,0.004409,0.194636,0.188856,0.00197,0.003171,212.694228,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,43,"Success",0.006369,106.198348,106.649176,0.006098,0.19082,0.189426,0.001866,0.00316,213.246042,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,43,"Success",0.00628,107.076985,106.133898,0.006202,0.190706,0.188854,0.002008,0.003109,213.608601,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,43,"Success",0.006799,105.961274,105.344829,0.004391,0.196049,0.189705,0.002158,0.003971,211.709823,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,43,"Success",0.00658,107.061512,106.99141,0.004811,0.190691,0.18876,0.001893,0.003258,214.449706,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,43,"Success",0.006633,106.380171,106.697691,0.00936,0.191378,0.189453,0.001835,0.003272,213.480689,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,43,"Success",0.006235,108.396423,105.319099,0.006848,0.190668,0.242155,0.00239,0.017692,214.182228,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,44,"Warmup",0.000912,617.451278,615.954633,0.124592,5.159907,5.030249,0.067193,0.009524,1243.799342,1042568,0,1042568,8.0694069968e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,44,"Warmup",0.014152,611.776596,610.950951,0.119111,5.094089,5.102407,0.069913,0.01023,1233.139306,1042568,0,1042568,8.115677442e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,44,"Success",0.014424,613.090955,610.911278,0.120858,5.129455,5.126234,0.069195,0.011032,1234.475202,1042568,0,1042568,8.0818035298e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,44,"Success",0.017575,609.813701,610.467305,0.114781,5.230985,5.096345,0.070697,0.011153,1230.823595,1042568,0,1042568,8.0793003268e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,44,"Success",0.013379,613.86481,610.352712,0.120261,5.113205,5.106469,0.069357,0.008906,1234.65021,1042568,0,1042568,8.1450471818e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,44,"Success",0.018582,615.255331,613.725356,0.160589,5.491195,5.149509,0.077292,0.012769,1239.891723,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,44,"Success",0.012696,614.725661,612.468763,0.125977,5.179904,5.039773,0.068396,0.008633,1237.631158,1042568,0,1042568,8.0818035298e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,44,"Success",0.019124,614.191783,613.997094,0.128488,5.229322,5.271212,0.071899,0.009195,1238.919327,1042568,0,1042568,8.0790891487e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,44,"Success",0.013748,614.036553,612.124551,0.132802,5.159187,5.129422,0.069741,0.010729,1236.677992,1042568,0,1042568,8.0694069968e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,44,"Success",0.013364,618.19033,609.242214,0.093287,5.115382,5.056346,0.065725,0.010104,1237.787886,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,44,"Success",0.012098,615.999932,734.177414,0.185733,9.597902,10.362873,0.178304,0.020256,1370.535644,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,44,"Success",0.041632,1092.644561,1110.028344,0.154085,9.349665,9.819035,0.18225,0.025347,2222.246223,1042568,0,1042568,8.0790891487e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000167,0.679572,0.457155,0.000124,9e-05,3.5e-05,5.3e-05,0.00035,1.137889,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000161,0.680496,0.455912,0.000131,0.000133,4.3e-05,5e-05,0.000349,1.137595,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000176,0.679186,0.455548,0.000115,0.000107,3.7e-05,4.2e-05,0.000378,1.135913,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000175,0.693442,0.460183,0.000132,0.000147,3.6e-05,5.4e-05,0.000336,1.154832,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000166,0.811601,0.469511,0.000132,0.000144,3.9e-05,4.5e-05,0.000363,1.282321,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000159,0.684034,0.455969,0.000115,0.000121,3.7e-05,5.1e-05,0.000322,1.141107,32,0,32,0,0
