; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16714620928,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534969249,"CurrentTimeLocal","Wed Aug 22 23:20:49 2018","Hostname","mikihir","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000147
; "Time_ContextDestroy [ms]", 6.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,44,"Success",0.01689,104.125729,103.857583,0.002824,0.197693,0.19752,0.002781,0.002279,208.403786,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,44,"Success",0.016774,104.534761,103.342778,0.002872,0.202445,0.195946,0.002804,0.0023,208.301179,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,44,"Success",0.016958,103.40732,104.285719,0.002912,0.200088,0.206039,0.002836,0.002314,208.124675,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,44,"Success",0.016852,104.023139,102.974817,0.002885,0.203234,0.207696,0.002877,0.002295,207.434281,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,44,"Success",0.019556,102.730434,101.833158,0.002848,0.196823,0.196971,0.002811,0.002373,204.98544,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,44,"Success",0.024623,102.67238,101.810871,0.002893,0.201926,0.200743,0.002854,0.002109,204.918883,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,44,"Success",0.017387,103.805903,102.906145,0.003194,0.196499,0.22293,0.002928,0.002488,207.158,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,44,"Success",0.017483,102.65706,102.403393,0.002876,0.196527,0.196195,0.002818,0.002208,205.479051,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,44,"Success",0.016911,102.795248,102.882818,0.002902,0.201575,0.202215,0.002885,0.002297,206.10735,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,44,"Success",0.017184,102.723831,102.723166,0.003042,0.206726,0.196363,0.002809,0.002232,205.87588,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,45,"Warmup",0.000237,661.445053,659.523551,0.119279,5.490366,5.443589,0.103424,0.005639,1332.131941,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,45,"Warmup",0.0095,659.373268,658.340988,0.134179,5.567581,5.494872,0.106719,0.006842,1329.034778,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,45,"Success",0.011512,663.109973,659.079281,0.118776,5.511201,5.491083,0.104305,0.005911,1333.432821,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,45,"Success",0.009906,658.708845,656.149032,0.11769,5.519117,5.473714,0.102725,0.005553,1326.08735,1042568,0,1042568,8.1818449942e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,45,"Success",0.009475,659.679397,655.511832,0.133046,5.483869,5.506393,0.112072,0.005557,1326.442373,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,45,"Success",0.009335,654.450999,653.806124,0.118821,5.514628,5.497637,0.111792,0.007935,1319.518046,1042568,0,1042568,8.1450471818e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,45,"Success",0.009377,662.134908,657.690974,0.116147,5.471879,5.548555,0.104807,0.005138,1331.082592,1042568,0,1042568,8.1450471818e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,45,"Success",0.009776,658.415746,656.42456,0.116393,5.443398,5.410436,0.102681,0.005348,1325.929101,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,45,"Success",0.009051,658.835774,658.70904,0.125386,5.50658,5.501844,0.103857,0.005469,1328.79774,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,45,"Success",0.009229,659.969913,655.968638,0.116136,5.55954,5.449589,0.103862,0.005364,1327.18307,1042568,0,1042568,8.0679276062e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,45,"Success",0.009256,659.966671,656.100622,0.118414,5.507575,5.499212,0.104822,0.005782,1327.313131,1042568,0,1042568,8.1818449942e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,45,"Success",0.009137,657.869501,653.983436,0.119102,5.444925,5.406602,0.102934,0.00546,1322.941876,1042568,0,1042568,7.9947325522e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",9.2e-05,0.356698,0.265364,7.1e-05,0.00011,6.3e-05,4.8e-05,0.000381,0.623263,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",9.1e-05,0.372643,0.274387,6.9e-05,0.0001,6.2e-05,4.6e-05,0.000484,0.648317,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",8.4e-05,0.348444,0.289173,6.6e-05,9.2e-05,6.2e-05,4.8e-05,0.000382,0.638791,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",9.4e-05,0.356175,0.263869,7e-05,8.9e-05,5.6e-05,4.7e-05,0.000423,0.621265,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",9.5e-05,0.364237,0.264882,6.9e-05,0.0001,5.6e-05,4.8e-05,0.000438,0.630367,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",9.4e-05,0.356186,0.292569,7.3e-05,9.5e-05,5.6e-05,4.8e-05,0.000404,0.649966,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",9.2e-05,0.356539,0.266782,7e-05,0.000111,6.3e-05,4.7e-05,0.00039,0.62454,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",9e-05,0.363841,0.263967,5.7e-05,9.6e-05,5.5e-05,3.9e-05,0.000408,0.628989,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",8.6e-05,0.346724,0.264127,6e-05,9.5e-05,5.7e-05,3.9e-05,0.000447,0.612072,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",7.9e-05,0.348328,0.258112,7.1e-05,9.6e-05,6.1e-05,4.7e-05,0.000405,0.607638,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",9.3e-05,0.37634,0.266233,6.1e-05,0.000106,5.7e-05,4e-05,0.000387,0.643757,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",9e-05,0.353966,0.265689,6e-05,8.5e-05,5.6e-05,4e-05,0.000396,0.620836,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",9.7e-05,0.383242,0.285632,6.7e-05,0.000116,7e-05,5.3e-05,0.000444,0.670155,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",7.6e-05,0.367645,0.273249,6.4e-05,0.000112,7e-05,4.6e-05,0.000424,0.642116,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",9e-05,0.396886,0.281924,7e-05,0.000105,6.7e-05,4.6e-05,0.000463,0.68009,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",9.4e-05,0.37415,0.291427,6.7e-05,0.000108,6.8e-05,5.2e-05,0.000467,0.66688,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",9.5e-05,0.371019,0.277167,5.7e-05,0.000112,6.5e-05,4e-05,0.00042,0.649408,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",8.7e-05,0.374367,0.277291,5.9e-05,0.000109,7.3e-05,4.4e-05,0.000438,0.652891,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",9.3e-05,0.367609,0.275477,6.5e-05,0.000102,6.2e-05,4.6e-05,0.000453,0.644342,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",7.9e-05,0.373216,0.276752,6.5e-05,0.0001,6e-05,4.5e-05,0.000441,0.651187,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",8.8e-05,0.397012,0.28259,5.9e-05,0.000108,7.4e-05,4.1e-05,0.000471,0.680876,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",9.6e-05,0.378232,0.284875,6.1e-05,0.000109,6.2e-05,4e-05,0.000455,0.664365,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",8.4e-05,0.362772,0.279491,5.7e-05,9.1e-05,6.3e-05,4e-05,0.000436,0.643468,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",8.2e-05,0.363974,0.270121,5.7e-05,0.000108,6.6e-05,4e-05,0.000447,0.635336,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",9.9e-05,0.347456,0.27284,7.9e-05,0.000202,9.3e-05,5.7e-05,0.000584,0.621874,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",8.9e-05,0.361977,0.264281,6.8e-05,0.000136,9.4e-05,5.3e-05,0.000578,0.627706,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",9.9e-05,0.364736,0.263975,7.5e-05,0.000127,9e-05,5.4e-05,0.000586,0.630169,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",8.2e-05,0.348276,0.268733,6.2e-05,0.000139,8.6e-05,6.6e-05,0.000574,0.618461,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",8.5e-05,0.353896,0.246532,7.1e-05,0.000135,8.5e-05,4.4e-05,0.000599,0.601881,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",8.6e-05,0.361341,0.254403,8.6e-05,0.000129,9.5e-05,6.1e-05,0.000549,0.617191,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",9.5e-05,0.344722,0.266722,6.9e-05,0.000137,0.000103,6.1e-05,0.000564,0.612925,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",8.7e-05,0.372664,0.282057,7.1e-05,0.000137,9.2e-05,6.9e-05,0.000654,0.656275,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",9e-05,0.371333,0.267369,7e-05,0.000145,9.1e-05,6.6e-05,0.000609,0.640219,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",8.9e-05,0.378264,0.255305,8.2e-05,0.00013,8.9e-05,4.6e-05,0.000596,0.635039,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",8.4e-05,0.349047,0.259641,8.5e-05,0.000126,9e-05,7.8e-05,0.000634,0.61022,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",8.9e-05,0.36595,0.274342,7e-05,0.00013,9e-05,6.4e-05,0.000557,0.641733,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000136,7.795029,7.11677,8.9e-05,0.000298,0.00021,6.3e-05,0.000626,14.913692,256,0,256,0,0
