; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473653,"CurrentTimeLocal","Mon Sep  7 12:14:13 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000141
; "Time_ContextDestroy [ms]", 0.000214
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.016398,9.902145,9.691651,18.453212,20.131505,184.364242,10.233893,1.444926,254.240527,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.015847,9.895395,9.708503,18.468673,21.209724,175.349339,10.235225,1.44308,246.327288,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.015982,9.906619,9.655692,18.475876,19.640812,176.234996,10.229366,1.450511,245.611382,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.019027,9.928503,9.714447,18.45371,20.16463,176.059377,10.24035,1.440661,246.022603,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.017558,9.916123,9.714686,18.473865,19.932158,176.024472,10.240821,1.441916,245.763627,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.016595,9.891886,9.657098,18.466733,19.463232,175.660395,10.241586,1.485903,244.885278,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.01931,9.960266,9.707761,18.447774,19.612904,176.109438,10.243219,1.430235,245.532555,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.017343,9.922646,9.716567,18.447678,20.429508,175.382431,10.238997,1.446299,245.603744,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.030386,9.844544,9.624035,18.606569,21.281589,176.879561,10.271566,1.513398,248.052877,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.016035,9.952756,9.696555,18.46054,18.580813,176.557369,10.243922,1.517204,245.027084,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.016558,9.893383,9.710118,18.434114,19.182652,175.755139,10.235378,1.468099,244.697735,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.016303,9.86352,9.61867,18.472296,21.039488,176.871818,10.255111,1.470327,247.609252,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.01622,9.97907,9.704279,18.459721,19.714724,176.334341,10.259068,1.474608,245.943565,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.014694,8.952583,8.048018,73.939588,323.61029,319.657963,38.669854,4.7762,777.671983,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.020134,8.832262,8.002244,73.746039,323.975923,318.589682,38.747894,4.830673,776.74674,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.01432,8.906242,8.037649,73.717077,323.198681,320.12757,38.735598,4.815593,777.555072,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.017906,8.886173,8.020584,73.75703,317.794609,315.915088,38.722205,4.79142,767.907036,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.015066,8.884397,8.041016,73.72518,324.30416,319.917655,38.72052,4.845086,778.454927,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.014531,8.871049,8.013144,73.788934,319.140097,318.756871,38.759533,4.83557,772.182031,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.015704,8.865656,7.990861,73.729874,318.198218,317.882956,38.68776,4.818896,770.192346,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.013933,8.858072,7.992072,73.715702,318.119286,318.097875,38.717494,4.782109,770.298702,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.014492,8.861636,8.035348,73.730876,317.596198,316.279248,38.704048,5.169652,768.394352,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.014996,8.819241,8.011788,73.743741,321.730131,319.028142,38.75507,4.968921,775.073764,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.014968,8.919393,8.028829,73.709826,319.311582,317.438243,38.720112,4.858543,771.003502,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.01532,8.874351,8.016068,73.711558,329.861069,317.522784,38.707914,4.809459,781.52031,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.015088,8.857904,8.029913,73.764176,319.744029,316.250531,38.761573,4.845653,770.270707,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.014109,8.866163,8.016097,73.749606,319.007623,317.665163,38.717606,4.837575,770.875695,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.015095,8.837638,8.027111,73.762785,319.858468,318.884147,38.750843,4.82271,772.960519,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.014228,8.792344,7.983704,73.728962,320.801505,318.775551,38.680096,4.821196,773.599598,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.016209,8.830544,8.019126,73.767218,319.094077,318.778197,38.699421,4.810646,772.017326,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.014593,8.810663,7.982372,73.721386,319.494476,317.983633,38.687181,4.818193,771.514718,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.014729,8.838709,8.004714,73.774812,314.711465,315.168651,38.695901,4.839665,764.050897,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.01972,8.826881,7.9926,73.838712,314.904778,314.458211,38.756569,5.060371,763.860318,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.014841,10.815267,9.820133,294.671058,918.357516,926.278753,152.891178,18.414542,2331.265326,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.015002,10.836361,9.848029,294.889455,919.669751,924.819656,152.939074,18.521625,2331.542678,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.015257,10.806864,9.805144,294.810533,919.553728,926.965794,152.896887,19.449811,2334.305803,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.015177,10.805313,9.827776,294.747597,917.425144,932.759427,152.898791,18.674653,2337.155671,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.01421,10.861967,9.849658,294.848678,916.267134,924.596586,152.887667,18.499677,2327.828016,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.014587,10.826482,9.853391,294.680424,922.194068,928.355312,152.885763,18.48323,2337.2949,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.015069,10.843497,9.863679,295.114726,926.705637,927.380839,152.742588,18.603492,2341.270991,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.014711,10.755324,9.793335,294.636944,927.717675,928.020296,152.755614,18.549511,2342.245037,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.01492,10.82142,9.839254,294.7446,917.091781,928.501241,152.906584,18.516532,2332.438626,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.014481,10.840119,9.846919,294.784875,921.711989,924.534613,153.125387,19.892756,2334.753587,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,10,3,"Success",0.015445,10.812266,9.838449,294.772008,917.800276,929.950428,152.813286,18.679208,2334.683476,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,11,3,"Success",0.014759,10.800353,9.842763,294.69642,920.416096,927.742186,152.874239,18.514936,2334.903754,4295229440,0,2147483648,1.962615577e-17,0
