; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474270,"CurrentTimeLocal","Mon Sep  7 12:24:30 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 7.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.009166,28.324525,28.480408,0.279909,203.094808,201.40695,0.292457,1.045643,462.934549,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.01324,28.256438,28.580172,0.294031,205.571776,201.1616,0.294414,0.952962,465.125464,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.019558,28.317919,28.562047,0.314903,205.993888,201.223679,0.292728,0.967242,465.692682,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.015598,28.337114,28.578548,0.314878,205.827528,201.035458,0.292184,0.894862,465.296804,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000317,28.340774,28.587385,0.213802,206.177277,201.371518,0.29464,0.972469,465.958808,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.012369,28.335101,28.561398,0.312931,206.464975,201.489486,0.292942,0.962704,466.432586,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.016304,28.338177,28.637341,0.317046,205.121221,201.022855,0.294548,0.959499,464.707889,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.020009,28.334056,28.515452,0.310985,206.839261,201.632579,0.293759,0.957251,466.904003,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.016048,28.314744,28.587137,0.311853,205.747375,200.839141,0.29358,0.88603,464.996593,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.000395,28.259746,28.572931,0.19077,204.56414,201.672334,0.307126,0.988635,464.556809,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.012718,28.266019,28.427935,0.314177,202.777005,201.192447,0.293342,0.967409,462.251701,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.015538,28.357338,28.632228,0.315553,205.563347,201.03616,0.294547,0.966174,465.182013,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.019898,28.320921,28.514046,0.317683,202.758346,201.515876,0.29255,0.954011,462.693934,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.015621,28.319426,28.612078,0.318618,206.100969,200.695966,0.293021,0.888933,465.245294,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.000258,28.333437,28.567443,0.194499,206.675319,201.548994,0.293086,0.977295,466.591554,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.012409,28.389101,28.541623,0.320665,206.570656,201.383302,0.292843,0.977506,466.488781,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.016257,28.252508,28.63319,0.316462,204.058616,201.351873,0.293713,0.954226,463.877897,6034320,0,2996352,6.5256333432e-17,0
