; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474173,"CurrentTimeLocal","Mon Sep  7 12:22:53 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000188
; "Time_ContextDestroy [ms]", 6.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.012464,0.05934,0.046743,0.385735,0.832356,6.401239,0.235778,0.083253,8.057482,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.010898,0.0554,0.057713,0.377956,0.9191,6.20641,0.233422,0.08055,7.942027,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.020934,0.057986,0.044531,0.388524,0.743567,6.260314,0.232258,0.087091,7.835905,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.013023,0.045497,0.064474,0.386973,0.88088,6.327352,0.231418,0.08371,8.03386,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.010836,0.057176,0.052247,0.393786,0.771839,6.189851,0.231906,0.087294,7.795536,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.012883,0.050681,0.065529,0.385528,1.067694,6.219779,0.234582,0.082826,8.120009,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.014621,0.059807,0.047815,0.397545,1.317954,6.223946,0.22837,0.083556,8.374145,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.014607,0.058512,0.046285,0.383967,0.984014,6.298929,0.22761,0.083904,8.09842,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.011888,0.056385,0.055657,0.383098,0.917069,6.174585,0.230303,0.084001,7.913553,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.019714,0.042382,0.069667,0.378917,1.506316,6.273287,0.236211,0.084917,8.612009,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.011437,0.053475,0.06149,0.389925,0.811414,6.344326,0.234331,0.083384,7.990309,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.01307,0.059908,0.043844,0.388621,0.927387,6.320725,0.233429,0.088762,8.076271,7308400,0,3630000,1.7739423785e-16,0
