; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600167725,"CurrentTimeLocal","Tue Sep 15 13:02:05 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00044
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.04116,4.723444,4.565563,41.787051,41.759071,202.098822,20.617124,2.534573,318.132368,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.04156,4.714724,4.545763,41.717111,41.893051,201.790941,20.538023,2.637694,317.884427,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.03938,4.738124,4.516703,41.758751,41.864012,202.286222,21.64245,2.630753,319.482215,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.04138,4.727144,4.505342,43.735002,42.348054,202.308922,20.557624,2.567073,320.797081,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.04104,4.679504,4.499303,42.038032,41.884532,202.518544,20.619044,2.535953,318.822172,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.04044,4.720504,4.491723,42.144633,41.896212,201.584339,21.578549,2.644193,319.106353,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.041581,4.719043,4.463283,43.930042,41.661371,201.86582,21.63767,2.599933,320.925363,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.04164,4.749284,4.485963,43.855381,41.921712,202.218763,20.583744,2.593113,320.45602,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.04066,4.702944,4.494822,41.968593,41.861591,201.333098,21.596389,2.547013,318.57115,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.041941,4.733324,4.509262,43.777342,42.198993,201.336558,20.609944,2.606133,319.818917,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.03994,4.719444,4.495562,41.867352,41.793391,201.389158,20.544544,2.579013,317.433984,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.04042,4.724204,4.496323,41.754771,41.927432,201.464058,21.621669,2.565853,318.60051,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.041021,4.697743,4.498043,43.807322,42.111092,202.599085,20.588424,2.524272,320.873002,268500992,0,134217728,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.05228,5.606389,4.847524,165.458356,300.875641,318.45241,86.315436,9.283827,890.897243,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.05572,5.596108,4.842805,173.639057,288.466619,297.686224,82.090255,9.074226,861.457034,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.05356,5.609148,4.826725,166.414401,301.767525,309.285464,82.428056,9.161887,879.552286,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.05596,5.611309,4.828604,167.382946,289.201382,295.582514,82.072275,9.040586,853.782276,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.05318,5.632268,4.813345,165.966859,749.251507,322.987553,82.290335,9.049486,1340.049353,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.05316,5.601409,4.864704,166.02254,297.627884,305.826666,86.075915,9.084926,875.163604,1073872896,0,536870912,0,0
