; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280045,"CurrentTimeLocal","Mon Sep 28 10:00:45 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00034
; "Time_ContextDestroy [ms]", 0.00068
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.01388,21.608255,24.689869,1.158825,5.856166,3.064913,0.752524,0.259761,57.408013,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.01722,20.786872,24.048426,1.001344,3.681416,4.785442,0.479162,0.205601,55.008703,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.00062,20.712951,23.986146,0.545042,3.766597,3.669476,0.526182,0.220281,53.431135,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.00078,20.763091,23.961126,0.557242,2.703312,2.788132,0.530403,0.211541,51.519047,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.00058,20.733751,24.034486,0.555743,2.676651,3.117454,0.525022,0.221741,51.869028,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.00066,20.776671,23.988906,0.573922,3.515076,4.6086,0.519562,0.212581,54.200038,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.0005,20.768491,23.990546,0.560362,3.995158,4.57404,0.532282,0.215501,54.64112,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.00056,20.768371,24.052706,0.569683,3.921037,4.47528,0.512142,0.212961,54.51648,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.00064,20.733531,23.936906,0.556582,3.951558,4.243478,0.530923,0.208381,54.165219,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.00062,20.734971,24.061866,0.568223,3.271574,2.747972,0.541583,0.217421,52.14745,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.00066,20.752372,24.053306,0.570842,2.910593,3.369515,0.538602,0.205881,52.405171,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.00078,21.560475,24.024125,0.573663,4.029918,2.769192,0.512942,0.216001,53.690136,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.00054,20.709652,23.988805,0.558303,3.524955,3.913697,0.770764,0.252341,53.722657,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.00108,20.819632,24.145466,0.801484,0.983904,0.625563,0.782523,0.250621,48.413733,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.00082,20.849752,24.152966,0.795904,0.641643,0.612962,0.774084,0.250121,48.081472,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.00076,20.776771,24.148667,0.788263,0.649863,0.605863,0.779283,0.248161,48.001111,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.00074,20.774172,24.093106,0.791723,0.663063,0.609283,0.782583,0.250661,47.968751,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.00068,20.837072,24.100526,0.792464,0.647662,0.617283,0.776564,0.250121,48.025752,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.00076,20.787031,24.126426,0.794664,0.628103,0.613442,0.772924,0.249821,47.976771,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.00084,20.820311,24.101347,0.793683,0.653043,0.621563,0.776703,0.243841,48.014651,3678400,0,3630000,1.5859004983e-16,0
