; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168230,"CurrentTimeLocal","Tue Sep 15 13:10:30 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.0005
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.0006,42.896795,44.914966,0.00092,1.593068,1.819009,0.00146,0.0189,91.249498,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.00062,42.865595,44.803405,0.00088,1.604108,2.090751,0.00134,0.01908,91.389519,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.00062,42.877656,44.883365,0.00088,1.629308,1.82043,0.00182,0.01894,91.236719,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.00082,42.833036,44.843005,0.00096,1.600928,1.820869,0.00184,0.01904,91.124218,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.00064,42.884195,44.852685,0.00088,1.610649,2.321071,0.00166,0.01882,91.69426,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.00062,42.911016,44.822365,0.0009,1.614888,1.816529,0.00176,0.01922,91.191058,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.00062,42.938415,44.879766,0.00092,1.799309,1.843649,0.00138,0.01728,91.485059,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00062,42.884935,44.830365,0.00094,1.603888,1.840809,0.0016,0.0174,91.184378,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.00064,43.052076,44.917065,0.00092,1.627089,1.824929,0.00164,0.01866,91.446759,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.0006,42.862075,44.885625,0.00094,1.597028,1.82229,0.00178,0.01874,91.192818,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.00064,42.892136,44.920505,0.0009,1.591808,1.811069,0.0016,0.018821,91.241259,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.00064,43.024676,44.892606,0.00088,1.577748,1.816769,0.00146,0.01734,91.335879,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.00062,42.933275,44.814705,0.0009,1.589068,1.81371,0.0015,0.0188,91.176238,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.00064,42.905376,44.897225,0.00084,1.593268,1.83349,0.00134,0.01886,91.254799,3200,0,3200,1.5712966724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.00084,59.65306,60.442743,0.00142,1.583588,1.813009,0.00176,0.022921,123.523161,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.00064,59.60168,60.367483,0.0011,1.587128,1.812169,0.00158,0.02166,123.3972,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.0006,59.668219,60.505564,0.00112,1.618928,1.81849,0.00166,0.02178,123.640161,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.00074,59.5582,60.527604,0.00116,1.592968,1.824109,0.00176,0.0222,123.532521,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.0007,59.623219,60.614164,0.00126,1.598208,1.848609,0.00156,0.02238,123.713961,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.00064,59.600239,60.539284,0.0012,1.602548,1.816069,0.00176,0.02112,123.58656,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.00064,59.570439,60.415204,0.00118,1.600268,1.815769,0.00192,0.02138,123.43054,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.00064,59.613239,60.464124,0.00118,1.604868,1.811429,0.00152,0.02268,123.52346,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.00084,59.624079,60.465144,0.00126,1.600148,1.819229,0.00178,0.02312,123.5394,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.00062,59.591299,60.410764,0.0011,1.808209,1.829549,0.00154,0.02178,123.668681,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.0006,59.654759,60.497924,0.00112,1.602088,1.81787,0.00158,0.0217,123.601401,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.00066,59.520859,60.509264,0.00114,1.598228,1.816689,0.0017,0.02192,123.47422,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.00064,59.568899,60.577865,0.0012,1.614008,1.816529,0.0019,0.0224,123.607261,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.00066,59.605239,60.597704,0.00116,1.610209,1.818369,0.00178,0.02114,123.660021,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.00062,59.556579,60.416723,0.00112,1.594608,1.815689,0.00188,0.02126,123.412319,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.00068,59.605959,60.484024,0.00114,1.598908,1.816609,0.00148,0.02216,123.53472,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.00086,59.566199,60.437704,0.00118,1.815389,1.811669,0.00188,0.02318,123.661841,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00058,59.608779,60.408024,0.00116,1.599268,1.832749,0.00166,0.02148,123.4775,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.00064,59.602499,60.525024,0.00112,1.596108,1.821689,0.00164,0.02174,123.57424,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.00066,59.572839,60.529504,0.0012,1.597948,1.81811,0.00178,0.02226,123.548081,4800,0,4800,6.5320085516e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.0006,66.047832,67.465319,0.0013,1.597288,2.03793,0.00184,0.0276,137.183609,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.00062,66.024891,67.494099,0.0013,1.595708,2.049691,0.00172,0.02746,137.199349,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.00062,66.005751,67.454339,0.00124,1.595308,1.835369,0.00188,0.02756,136.925827,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.00062,65.997731,67.467999,0.00126,1.603688,1.815869,0.0017,0.02714,136.919828,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.00078,66.031952,67.476299,0.00136,1.812549,1.821189,0.0018,0.02746,137.177169,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.00066,66.015832,67.436478,0.0013,1.591248,1.816369,0.0019,0.027481,136.895068,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.00064,66.029152,67.481259,0.0013,1.591528,1.831869,0.00178,0.02742,136.968648,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.00058,66.011311,67.463819,0.00124,1.595968,1.811329,0.00176,0.027421,136.917228,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.00062,66.011792,67.440578,0.0013,1.592268,1.81083,0.0018,0.02718,136.890088,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.00062,65.994092,67.456419,0.00128,1.539167,1.809889,0.001881,0.02788,136.835008,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.0006,66.005692,67.403118,0.00128,1.598288,2.041251,0.0017,0.02762,137.083349,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.00078,66.013911,67.473719,0.00134,1.594768,1.808629,0.00176,0.02778,136.926567,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.0006,66.030652,67.516199,0.00142,1.577228,2.04867,0.00178,0.02738,137.207789,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.0006,66.010191,67.423519,0.00128,1.623428,1.798229,0.00192,0.02778,136.890667,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.00062,65.997651,67.461079,0.00128,1.604368,2.325692,0.00176,0.0276,137.42387,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.00062,66.011591,67.430879,0.0013,1.610488,1.791049,0.00186,0.02786,136.879567,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.0006,66.030752,67.401358,0.0013,1.602708,1.826869,0.00186,0.027521,136.896868,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.00062,66.024552,67.461199,0.00126,1.533467,1.83277,0.00188,0.02768,136.887228,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.00082,65.976051,67.461799,0.00132,1.560948,1.832269,0.00172,0.02756,136.866267,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.0006,66.038251,67.416199,0.0013,1.609228,1.863949,0.00178,0.0273,136.962307,6400,0,6400,1.5693263937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.00062,48.629544,49.521169,0.0015,1.551388,1.824109,0.0022,0.02324,101.55753,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.00066,48.628024,49.399628,0.00144,1.615688,1.833629,0.00214,0.02138,101.506329,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.00058,48.639544,49.423309,0.00146,1.580028,1.831349,0.00206,0.0235,101.50557,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.00064,48.635324,49.426588,0.00142,1.627028,1.89419,0.00188,0.02312,101.61393,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.00064,48.635884,49.467488,0.00154,1.630569,1.832529,0.00192,0.02296,101.59731,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.00062,48.595784,49.432908,0.00138,1.630928,1.90613,0.00198,0.02302,101.59657,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.00064,48.535523,49.478589,0.00148,1.621788,1.90841,0.00212,0.02298,101.57535,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.0006,48.538703,49.436929,0.00146,1.624328,1.889749,0.0022,0.02304,101.520809,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.00082,48.584284,49.388548,0.00146,1.87025,1.887829,0.00178,0.02168,101.760471,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.0006,48.631164,49.498129,0.0016,1.609968,1.883269,0.00184,0.028261,101.658591,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.00064,48.556564,49.460768,0.00164,1.581808,1.88551,0.002,0.02862,101.52129,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.0006,48.608444,49.369588,0.00146,1.580088,1.879309,0.00202,0.02284,101.468109,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.0006,48.599664,49.401408,0.00148,1.622668,1.82523,0.002,0.0233,101.48013,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.00058,48.629465,49.386848,0.00142,1.632208,1.820929,0.00198,0.02258,101.49977,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.00064,48.548064,49.404188,0.00154,1.601768,1.875929,0.00194,0.02268,101.460469,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.0007,48.598684,49.392648,0.00156,1.617508,1.90345,0.00194,0.02304,101.54323,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.0006,48.569824,49.421068,0.00148,1.819849,1.840849,0.00208,0.0226,101.68211,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.00082,48.517844,49.404908,0.00146,1.607268,1.89353,0.00194,0.02388,101.45545,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.00064,48.613784,49.524788,0.00138,1.593548,1.82687,0.00222,0.02332,101.59039,8000,0,8000,5.9473364544e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.00058,48.654625,49.429228,0.00144,1.611468,1.87153,0.00198,0.0216,101.596191,8000,0,8000,5.9473364544e-17,0
