; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000126
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000551,0.004707,0.004049,0.000133,0.001307,0.001132,0.000113,0.000512,0.012816,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.00058,0.004652,0.00399,0.000123,0.001359,0.001125,0.000108,0.000531,0.012777,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000545,0.004646,0.004047,0.000119,0.001328,0.001117,0.000109,0.00053,0.012752,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000583,0.004677,0.004008,0.000125,0.001321,0.001158,0.000106,0.000549,0.01284,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000545,0.004568,0.004037,0.000116,0.001293,0.001113,0.000106,0.000523,0.012609,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000554,0.004563,0.004021,0.000121,0.001306,0.001123,0.000101,0.000536,0.012633,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000562,0.004689,0.003965,0.000117,0.001291,0.001096,0.0001,0.000568,0.012698,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000573,0.004558,0.004037,0.000123,0.001342,0.001152,0.000106,0.000525,0.012721,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000597,0.004604,0.003965,0.000121,0.001307,0.001098,0.000101,0.000514,0.012615,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000576,0.004605,0.003965,0.000123,0.001348,0.001072,0.000102,0.00051,0.012603,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000556,0.0046,0.004008,0.000123,0.001305,0.001121,0.000103,0.000529,0.01265,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000578,0.004527,0.003968,0.000121,0.001299,0.00113,0.000101,0.000533,0.01257,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.00057,0.004595,0.003988,0.000125,0.001318,0.001108,0.0001,0.000541,0.012664,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000584,0.004524,0.00397,0.00012,0.001295,0.001125,0.000103,0.000529,0.012568,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000557,0.00456,0.003971,0.000119,0.001283,0.001099,9.9e-05,0.000518,0.012523,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000568,0.004603,0.003955,0.000117,0.001268,0.001129,0.000101,0.000526,0.012576,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000262,0.006125,0.00507,0.000174,0.003473,0.001766,0.000159,0.00056,0.017908,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000715,0.006103,0.004877,0.000189,0.001857,0.001617,0.000147,0.000537,0.016374,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000571,0.005462,0.004678,0.00016,0.001779,0.001598,0.00015,0.000517,0.015218,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000579,0.005341,0.004551,0.000158,0.00183,0.001613,0.000148,0.000539,0.01507,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000585,0.00518,0.004633,0.000154,0.001811,0.001588,0.000149,0.000533,0.014941,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000576,0.00517,0.004492,0.000151,0.001832,0.001611,0.000147,0.000525,0.014816,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000598,0.005058,0.004471,0.000152,0.001793,0.001674,0.000147,0.000563,0.014761,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.00059,0.00508,0.004432,0.000156,0.001786,0.001598,0.000144,0.000528,0.014629,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000557,0.005039,0.004393,0.00016,0.001844,0.001629,0.000147,0.000519,0.014591,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000553,0.004992,0.004357,0.000152,0.00179,0.00164,0.000143,0.000488,0.014431,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000593,0.005023,0.004236,0.000162,0.001863,0.001596,0.000146,0.000516,0.014449,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000567,0.005136,0.0044,0.000166,0.001846,0.001629,0.00015,0.000532,0.014734,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000566,0.004869,0.004268,0.00016,0.001775,0.001556,0.000142,0.000528,0.014173,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000543,0.00498,0.004273,0.00016,0.001812,0.001625,0.000142,0.000518,0.014371,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000584,0.004877,0.004363,0.000151,0.001865,0.001627,0.000149,0.000529,0.014456,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000547,0.005014,0.004355,0.000152,0.001734,0.001625,0.000145,0.000547,0.014433,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000547,0.005039,0.004311,0.000154,0.001854,0.001586,0.000148,0.000531,0.014484,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000556,0.004972,0.00443,0.00015,0.001791,0.001694,0.000147,0.000519,0.014564,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000529,0.005024,0.004303,0.000158,0.001754,0.001623,0.000149,0.000517,0.014372,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000549,0.0051,0.004324,0.000164,0.001821,0.001638,0.000144,0.000531,0.014579,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000257,0.008288,0.005828,0.000224,0.004328,0.002332,0.000196,0.000914,0.022683,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.00025,0.006099,0.005274,0.000217,0.002394,0.002192,0.000185,0.000899,0.017822,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000225,0.005802,0.005082,0.000217,0.002348,0.002234,0.000185,0.000889,0.017294,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000234,0.005842,0.005053,0.000215,0.002345,0.002165,0.000186,0.000914,0.01728,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000205,0.005726,0.0049,0.000213,0.002353,0.002151,0.000189,0.000879,0.016933,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000219,0.005537,0.004723,0.000205,0.002346,0.002199,0.00018,0.000875,0.016617,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000164,0.005455,0.004891,0.00023,0.002375,0.002232,0.00018,0.000894,0.016755,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000199,0.005467,0.004759,0.000217,0.002309,0.00216,0.00018,0.000864,0.016465,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.0002,0.005578,0.004804,0.000212,0.002345,0.002116,0.000181,0.000878,0.016632,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000181,0.005539,0.004805,0.000203,0.002352,0.00216,0.00018,0.000853,0.016611,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000209,0.005474,0.004817,0.000211,0.002379,0.00217,0.000177,0.000902,0.016661,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000175,0.005446,0.004757,0.000211,0.002364,0.002135,0.000183,0.000948,0.016548,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000189,0.005445,0.004782,0.000207,0.002316,0.002166,0.000176,0.000905,0.01652,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000184,0.005433,0.0048,0.000213,0.002317,0.002168,0.000182,0.000859,0.016458,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000192,0.005439,0.004762,0.000228,0.002353,0.002211,0.000182,0.000873,0.016544,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000196,0.005441,0.004631,0.000211,0.002404,0.0022,0.000181,0.000859,0.016437,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000184,0.005387,0.004799,0.000222,0.00233,0.002225,0.000184,0.000875,0.016525,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000185,0.005415,0.004793,0.000206,0.002332,0.002254,0.000182,0.00089,0.016559,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000189,0.005349,0.004704,0.000214,0.002322,0.00223,0.000184,0.000875,0.016386,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000203,0.005446,0.004691,0.000223,0.002338,0.002131,0.000181,0.000884,0.016412,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000218,0.035942,0.021095,0.000267,40.820938,0.015857,0.000469,0.001066,40.896231,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000681,0.023177,0.020762,0.000285,0.037377,0.014317,0.000555,0.000914,0.098394,8000,0,8000,1.259036215e-16,0
