; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161862,"CurrentTimeLocal","Tue Sep 15 11:24:22 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000613,0.004981,0.004146,0.000133,0.001455,0.001184,0.000121,0.000578,0.013541,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000568,0.005021,0.004191,0.000114,0.001355,0.001188,0.000119,0.000547,0.013429,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000604,0.004765,0.004197,0.000135,0.00139,0.001133,0.000119,0.000541,0.01321,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000562,0.005017,0.00409,0.000117,0.001399,0.001195,0.000119,0.000547,0.013372,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000582,0.004879,0.004199,0.000125,0.001414,0.00115,0.000121,0.000605,0.0134,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000566,0.004888,0.004152,0.000123,0.001441,0.001163,0.000115,0.000556,0.013334,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000583,0.004923,0.004153,0.000123,0.001394,0.001168,0.000122,0.000545,0.013344,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000551,0.004867,0.004156,0.000127,0.001416,0.001147,0.000123,0.000549,0.013263,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00058,0.004951,0.004061,0.000127,0.001396,0.00118,0.000117,0.000539,0.013278,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000584,0.004886,0.004112,0.000129,0.001394,0.001164,0.000122,0.000539,0.013261,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000567,0.004896,0.004006,0.000123,0.00142,0.001135,0.000121,0.000526,0.013117,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000543,0.004818,0.004166,0.000129,0.001398,0.001139,0.000123,0.000537,0.013179,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000584,0.0048,0.004081,0.000118,0.001373,0.001158,0.000121,0.000541,0.013108,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000578,0.004918,0.00414,0.000123,0.001356,0.001188,0.000117,0.000554,0.013306,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000596,0.004992,0.004103,0.00012,0.001392,0.001227,0.000121,0.000541,0.013417,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000307,0.007179,0.005445,0.000182,0.003871,0.001868,0.000154,0.000613,0.019952,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000709,0.006027,0.005082,0.00018,0.001932,0.001711,0.00016,0.000553,0.016679,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000617,0.005723,0.004875,0.000176,0.001916,0.001703,0.00015,0.000541,0.016032,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000591,0.005581,0.004633,0.000176,0.0019,0.001673,0.000159,0.000531,0.015581,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000653,0.005461,0.004691,0.000182,0.0019,0.001647,0.00016,0.000515,0.015541,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000578,0.005354,0.004652,0.000174,0.00184,0.001701,0.00016,0.000528,0.01532,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000592,0.005363,0.004608,0.000177,0.001886,0.001672,0.000164,0.000543,0.015326,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000588,0.005386,0.004502,0.000172,0.001918,0.001701,0.00016,0.000537,0.015297,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000595,0.005268,0.004552,0.000173,0.001854,0.001666,0.000162,0.000586,0.015185,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000559,0.00524,0.004474,0.000171,0.001854,0.00167,0.000162,0.00052,0.01498,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000594,0.005375,0.004494,0.000164,0.001899,0.001664,0.00016,0.000541,0.015228,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000588,0.005299,0.00459,0.00017,0.001861,0.00166,0.000162,0.000531,0.015183,4800,0,4800,1.5312351275e-16,0
