; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161342,"CurrentTimeLocal","Tue Sep 15 11:15:42 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.012805,0.134187,0.124375,20.093977,23.336995,23.958543,10.644603,1.511666,79.819355,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.018089,0.135171,0.122578,19.936487,23.039424,23.854459,10.641379,1.517988,79.267203,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.01863,0.134919,0.142518,20.099903,23.874191,23.884874,10.657451,1.526915,80.340908,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.017995,0.135157,0.122584,20.073089,23.286289,24.235721,10.655443,1.521052,80.048138,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.013195,0.140083,0.122187,20.085534,23.658228,23.648309,10.642891,1.523098,79.834277,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.019259,0.134755,0.12309,20.054279,23.356207,24.099636,10.637564,1.521328,79.946933,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.018675,0.137087,0.122205,20.051526,24.785499,24.666404,10.636652,1.54605,81.964835,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.013192,0.140901,0.123468,20.072789,24.54012,24.633247,10.649169,1.524803,81.698895,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.013257,0.135585,0.122842,20.040214,24.632335,24.81627,10.652157,1.519667,81.93367,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.013003,0.140446,0.123999,20.085097,24.808441,24.959401,10.626575,1.524415,82.282703,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.013009,0.139286,0.122592,20.070831,24.820991,24.783865,10.647038,1.535969,82.134659,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.018347,0.13498,0.123255,20.051997,24.676098,24.528404,10.619143,1.513026,81.666156,268500992,0,134217728,2.7755576443e-17,0
