; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161343,"CurrentTimeLocal","Tue Sep 15 11:15:43 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8e-05
; "Time_ContextDestroy [ms]", 0.000209
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.017795,0.130898,0.121972,19.686022,20.925192,21.252536,10.406452,1.518638,74.172941,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.017837,0.130757,0.121617,19.69527,21.025195,21.126029,10.443749,1.530076,74.204133,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.013205,0.131898,0.120943,19.69018,20.785581,21.157381,10.438351,1.529937,73.97738,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.01855,0.132585,0.120576,19.725302,20.819989,21.118738,10.42817,1.54111,74.018511,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.012671,0.138072,0.121367,19.743999,21.171769,21.096955,10.411348,1.51816,74.318675,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.019001,0.131827,0.120791,19.694122,21.109707,21.222547,10.429711,1.527611,74.365287,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.020741,0.131052,0.120976,19.723414,20.849106,21.245275,10.411669,1.510392,74.121263,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.017895,0.133753,0.121267,19.684191,20.822826,21.175316,10.41419,1.5242,74.005646,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.018738,0.132755,0.120409,19.697637,20.905033,21.133792,10.416289,1.510748,74.045123,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.012596,0.132888,0.121138,19.689214,21.01348,21.263259,10.401456,1.513641,74.261214,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.013868,0.132083,0.121476,19.707824,21.022075,21.128215,10.430266,1.52082,74.187661,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.018031,0.133048,0.121874,19.668144,21.039479,21.22434,10.426283,1.52049,74.259391,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.015431,0.137149,0.121318,19.761931,20.961628,21.281797,10.426416,1.551434,74.367993,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.01839,0.132591,0.120724,19.706879,21.046057,21.119969,10.416146,1.536462,74.207386,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.015931,0.215588,0.190335,78.447784,95.58094,92.058247,40.389859,5.295137,312.301008,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.015557,0.177692,0.191652,79.066744,96.447394,92.281672,40.281096,5.218208,313.792255,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.014758,0.195098,0.188947,77.760262,94.766461,91.299107,40.182277,5.206708,309.722039,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.015206,0.194767,0.223404,77.80945,94.236588,92.097849,40.354823,5.302527,310.346222,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.015858,0.197397,0.189471,78.419256,95.154556,92.691666,40.416415,5.3252,312.518908,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.015755,0.194139,0.186366,77.711744,94.037198,90.975853,40.208356,5.197882,308.645581,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.018955,0.202662,0.194042,79.293722,96.55624,93.513944,40.673773,5.375786,315.938611,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.015361,0.201446,0.193964,79.109059,95.997325,93.305666,40.656399,5.360987,314.949801,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.015769,0.201093,0.194219,79.099182,95.631612,93.011771,40.69051,5.401237,314.350948,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.016768,0.200048,0.192561,78.967362,95.179634,91.804723,40.300978,5.297677,312.073276,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.014861,0.197096,0.222806,78.00499,93.582293,92.66093,40.1458,5.171155,310.106439,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.015314,0.194364,0.186775,77.750581,94.361562,91.489851,40.413757,5.286439,309.808359,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.014972,0.197088,0.190297,78.015151,93.731276,91.398665,40.17066,5.188781,309.014844,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.015312,0.191923,0.187378,77.938511,93.882097,91.22781,40.317015,5.30601,309.176963,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.016333,0.198288,0.19107,77.853986,92.842746,90.820276,39.883751,5.066721,306.984142,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.015166,0.190958,0.183415,77.298082,93.080598,90.931582,40.195384,5.187502,307.190351,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.016024,0.193487,0.186274,77.348705,92.4135,90.781009,40.182421,5.200197,306.428127,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.015498,0.193946,0.187366,77.188693,92.242304,90.469002,40.058875,5.208216,305.670959,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.015534,0.194357,0.186368,77.248835,93.407437,89.702361,40.211054,5.188191,306.262503,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.015487,0.221193,0.184335,77.1922,93.437021,90.850339,40.231631,5.158267,307.398951,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.015109,0.252407,0.242153,309.247466,393.072421,378.827672,171.977105,20.440527,1274.197546,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.016976,0.223601,0.248436,313.087161,332.431277,456.524326,171.836465,20.568918,1295.040245,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.015357,0.257336,0.253496,316.38602,333.385824,454.338092,172.462622,20.610268,1297.81479,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.016272,0.265465,0.258903,319.01317,278.739641,400.540551,172.176732,20.57761,1191.693331,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.016515,0.261803,0.257416,319.117631,278.800814,396.277578,172.271788,22.260355,1189.374381,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.016083,0.263211,0.257108,319.132652,277.35124,383.459528,172.618964,20.628908,1173.836763,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.016171,0.261031,0.281253,318.828524,259.593176,381.487596,172.648066,20.618116,1153.840939,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.016665,0.262941,0.257129,319.065801,259.611215,382.27275,172.521407,20.585488,1154.693795,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.017353,0.265742,0.256465,319.574604,259.885657,409.103885,172.538242,20.589296,1182.336028,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.015169,0.261067,0.256649,319.075622,259.970381,382.003673,172.025681,20.614778,1154.32831,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,10,3,"Success",0.017582,0.262116,0.256774,319.717317,260.576642,404.013788,172.092569,20.592303,1177.637922,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,11,3,"Success",0.016908,0.261018,0.256845,319.011818,260.21554,381.657339,173.115171,20.602313,1155.244418,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,12,3,"Success",0.015519,0.261279,0.257337,319.237058,276.802274,382.997888,171.97995,20.595217,1172.252874,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,13,3,"Success",0.017441,0.261403,0.256052,319.127178,260.259411,382.909653,172.10233,20.622215,1155.666083,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,14,3,"Success",0.017136,0.262934,0.258528,319.245753,260.17212,396.778393,172.3013,20.621835,1169.773905,4295229440,0,2147483648,2.7755575667e-17,0
