; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282396672,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492375,"CurrentTimeLocal","Wed Jun 20 12:59:35 2018","Hostname","r02n21","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000102
; "Time_ContextDestroy [ms]", 7.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000566,0.042272,0.023034,0.007699,0.029786,0.029625,0.011241,0.018504,0.163194,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000483,0.021505,0.017862,0.010581,0.029196,0.030052,0.009681,0.01863,0.138342,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000344,0.021368,0.01768,0.008695,0.03048,0.027955,0.012676,0.018192,0.137965,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000355,0.021956,0.017823,0.012779,0.052013,0.029768,0.01136,0.016845,0.163411,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000341,0.021756,0.0187,0.011386,0.029966,0.02961,0.009851,0.033377,0.155509,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000344,0.020891,0.017868,0.010104,0.02977,0.028701,0.011185,0.017538,0.137158,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000343,0.021599,0.017712,0.010913,0.030716,0.028829,0.011235,0.017888,0.139773,54872,0,54872,7.5732475917e-08,0
