; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529489191,"CurrentTimeLocal","Wed Jun 20 12:06:31 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000102
; "Time_ContextDestroy [ms]", 0.000102
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000524,0.021462,0.00988,0.000686,0.014149,0.007837,0.000443,0.003401,0.058887,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.00039,0.010058,0.007344,0.000266,0.007477,0.006578,0.000171,0.002994,0.035703,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000375,0.009625,0.007186,0.000277,0.00728,0.006597,0.000161,0.002977,0.034886,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000354,0.009481,0.007196,0.000276,0.00732,0.006494,0.000142,0.002916,0.034559,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000351,0.009431,0.007206,0.000275,0.007336,0.006491,0.000144,0.002857,0.03448,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000393,0.009436,0.007184,0.000274,0.007327,0.006472,0.000142,0.002841,0.034445,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000349,0.009471,0.007176,0.000277,0.007352,0.006492,0.000139,0.002881,0.034514,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000378,0.009411,0.007167,0.00027,0.007287,0.006501,0.00015,0.00285,0.034385,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.00035,0.009454,0.007164,0.000266,0.007364,0.006446,0.000142,0.002858,0.034415,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000353,0.009424,0.00722,0.000277,0.007349,0.006469,0.000145,0.002852,0.034471,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.00035,0.009447,0.007171,0.00027,0.007337,0.006452,0.000142,0.002872,0.034418,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000456,0.00971,0.007171,0.000274,0.00736,0.006446,0.000142,0.002983,0.034918,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000937,0.025358,0.020669,0.010772,0.092618,0.059137,0.008461,0.009125,0.227575,54872,0,54872,7.2166079914e-08,0
