; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492400,"CurrentTimeLocal","Wed Jun 20 13:00:00 2018","Hostname","r02n10","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000105
; "Time_ContextDestroy [ms]", 5.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000429,0.040456,0.036003,0.171619,0.189901,0.186686,0.189646,0.020479,0.835672,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.007071,0.063777,0.046706,11.045996,3.112726,2.971138,3.221268,0.020419,20.489914,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.001098,0.06891,0.053925,2.525473,3.103173,2.9781,3.257614,0.018375,12.007381,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.000928,0.066643,0.051716,2.544488,3.103231,2.973999,3.249064,0.018715,12.00938,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.000962,0.066868,0.052477,2.545867,3.090775,2.961213,3.247301,0.018717,11.98476,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.000913,0.066158,0.052906,2.536465,3.081943,2.966112,3.268324,0.019486,11.992836,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.000812,0.067033,0.052231,2.548289,3.101715,2.971755,3.274486,0.018609,12.035628,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.000891,0.066712,0.05243,2.55295,3.115811,2.9781,3.270016,0.019218,12.056814,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.000795,0.065918,0.052085,2.550886,3.110093,2.97129,3.256314,0.020475,12.028454,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.000881,0.065285,0.052296,2.553073,3.096601,2.977543,3.258695,0.01933,12.024403,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.000928,0.065921,0.053334,2.544028,3.094495,2.965724,3.250711,0.018599,11.99433,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.000733,0.066102,0.053348,2.532654,3.083546,2.962161,3.27603,0.019135,11.994348,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.000817,0.065638,0.052125,2.547183,3.096409,2.975269,3.265311,0.018986,12.022362,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.007572,0.09363,0.059626,235.944619,74.654892,73.490363,56.902637,28.070012,469.224727,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.00874,0.087841,0.061546,233.651434,74.646916,73.518252,56.873481,28.153278,467.002844,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.007181,0.088726,0.061778,233.833276,74.671472,73.475458,56.89628,28.125346,467.161357,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.007584,0.087949,0.06032,233.271128,74.620129,73.528335,56.852494,28.028177,466.45758,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.0071,0.08642,0.060952,233.634192,74.76251,78.687423,56.890418,28.020149,472.150759,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.006656,0.088418,0.060578,234.395236,74.51352,73.491176,56.853884,28.058763,467.469798,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.007515,0.088497,0.05677,232.826267,74.810372,73.406778,56.854041,28.064554,466.116169,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.006996,0.08589,0.05883,233.786868,74.730463,73.496866,56.824911,28.065136,467.057628,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.008402,0.088564,0.060874,233.913016,74.721933,73.557133,56.870038,28.090708,467.31192,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.006202,0.086477,0.058906,233.693053,74.773137,73.465696,56.825257,28.021024,466.931181,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.006551,0.087236,0.066884,233.892028,74.626564,73.453379,56.817181,28.057834,467.008936,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.007039,0.084016,0.057794,232.537278,74.636868,73.489919,56.883455,28.052371,465.750077,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.0003,0.001846,0.000824,8.9e-05,0.000266,0.000336,8.5e-05,0.00104,0.005145,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000307,0.001856,0.000824,7.8e-05,0.000263,0.00033,8.7e-05,0.001044,0.005154,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000311,0.001842,0.000819,8.2e-05,0.00026,0.000314,8.8e-05,0.001042,0.00512,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000305,0.00185,0.000821,8.3e-05,0.000259,0.000336,8.9e-05,0.00104,0.005141,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000304,0.001847,0.000814,8e-05,0.000267,0.000314,8.7e-05,0.00104,0.005116,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000303,0.001836,0.000821,8e-05,0.000264,0.000337,8.7e-05,0.001046,0.005136,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000306,0.001831,0.000817,8.3e-05,0.000265,0.000314,8.5e-05,0.00104,0.005104,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000305,0.001845,0.000816,8.1e-05,0.000261,0.000314,9e-05,0.001036,0.005113,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000303,0.001852,0.000813,8.1e-05,0.000263,0.000314,9e-05,0.001042,0.005118,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000303,0.00184,0.00082,8.4e-05,0.000265,0.000317,8.7e-05,0.001048,0.005129,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000305,0.001847,0.000826,8e-05,0.000264,0.000314,8.7e-05,0.001045,0.005126,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000308,0.001837,0.000816,8.2e-05,0.000263,0.000314,8.8e-05,0.001044,0.005114,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000408,2.727998,0.004213,0.000234,1.230712,0.667763,0.000196,0.00672,4.638757,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000535,0.006385,0.002561,0.000186,0.018105,0.014916,0.000164,0.006484,0.049745,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000416,0.005647,0.002481,0.000117,0.02161,0.030423,0.000198,0.006672,0.067965,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000434,0.005426,0.002503,0.000125,0.016828,0.015611,0.000181,0.006539,0.048057,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000323,0.005383,0.00254,0.000119,0.01634,0.014723,0.00019,0.006536,0.04655,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000318,0.005019,0.002638,9.4e-05,0.016483,0.015187,0.000194,0.007535,0.047869,128,0,128,0,0
