; "SupportedThreads",176,"UsedThreads",44,"TotalMemory",473043173376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599734239,"CurrentTimeLocal","Thu Sep 10 12:37:19 2020","Hostname","taurusml17","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000127
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000772,226.343687,110.603569,0.000301,0.011484,0.024516,0.000332,0.013903,337.001106,1600,0,1600,5.0870712281e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000432,107.579109,97.83847,0.000236,0.011613,0.020626,0.004148,0.01024,205.465883,1600,0,1600,4.8916276532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000277,99.18161,97.522076,0.000195,0.016558,0.009943,0.000264,0.015249,196.746724,1600,0,1600,4.8053984136e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000264,99.234429,96.801627,0.000191,0.017572,0.015779,0.000277,0.014017,196.084676,1600,0,1600,5.3526344848e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00034,98.513407,97.537685,0.000195,0.010248,0.020388,0.000283,0.013676,196.097237,1600,0,1600,5.3406673517e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000263,98.483624,95.819916,0.000191,0.008609,0.025057,0.00025,0.006457,194.345137,1600,0,1600,2.7366461829e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000259,96.268197,96.08923,0.000197,0.009381,0.021531,0.000269,0.01757,192.407192,1600,0,1600,3.6029531549e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.00027,96.997865,96.535005,0.000201,0.010177,0.021813,0.000267,0.015703,193.58187,1600,0,1600,5.0831446509e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000273,96.810351,96.310404,0.000225,0.010107,0.022243,0.000229,0.010691,193.165049,1600,0,1600,2.5319788086e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000358,96.832528,96.442761,0.00023,0.008359,0.020132,0.000408,0.015556,193.320968,1600,0,1600,5.3526344848e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.00026,96.94074,96.3977,0.000179,0.009367,0.01571,0.000322,0.017206,193.382089,1600,0,1600,5.4175075627e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000256,96.830464,96.605432,0.000176,0.008605,0.019034,0.00109,0.011954,193.478797,1600,0,1600,3.622721181e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000276,96.9957,97.176952,0.00018,0.017117,0.013659,0.000265,0.013546,194.218288,1600,0,1600,2.1830513975e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.000252,97.689748,96.451987,0.000234,0.013062,0.020354,0.00026,0.0187,194.195128,1600,0,1600,3.8989019976e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.00033,96.221636,95.912883,0.000205,0.007148,0.02152,0.000232,0.016351,192.181117,1600,0,1600,2.7366461829e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000261,96.399757,95.844868,0.000215,0.008406,0.014136,0.000865,0.016134,192.290689,1600,0,1600,4.5901364398e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000248,96.634957,96.394684,0.000233,0.007485,0.023738,0.000525,0.011585,193.074367,1600,0,1600,4.0290637383e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.000297,96.967219,96.048539,0.000205,0.011869,0.027282,0.001318,0.00574,193.065129,1600,0,1600,4.0290637383e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000283,96.942777,96.329655,0.000198,0.011816,0.015396,0.00249,0.01314,193.316836,1600,0,1600,4.6394752392e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000358,96.85925,96.346984,0.000202,0.008015,0.026475,0.000287,0.01265,193.255224,1600,0,1600,3.7645157201e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.000256,172.249553,171.560325,0.000381,0.010396,0.025093,0.007049,0.011998,343.866464,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.000267,171.177516,169.993061,0.000324,0.009331,0.022001,0.000453,0.016429,341.220034,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.000258,174.358397,172.554591,0.00028,0.009053,0.026058,0.001128,0.0119,346.970279,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000336,173.558645,173.374307,0.000259,0.010156,0.024354,0.003423,0.009943,346.982701,3200,0,3200,2.5763343315e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000249,172.790057,171.088759,0.000266,0.009751,0.01756,0.000445,0.01625,343.9249,3200,0,3200,1.7187986696e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000248,172.118295,171.567083,0.000278,0.011804,0.025515,0.000846,0.018362,343.743196,3200,0,3200,1.9762739949e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000331,172.456308,171.297679,0.000316,0.013064,0.021153,0.000889,0.018994,343.809429,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.00027,173.189139,172.594072,0.000287,0.012885,0.015425,0.000363,0.019266,345.832313,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000304,173.136499,172.184122,0.000273,0.010472,0.023639,0.005549,0.014011,345.377077,3200,0,3200,2.1944360333e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000277,173.618223,171.530436,0.00027,0.009324,0.021323,0.000408,0.020442,345.2013,3200,0,3200,2.2836046785e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000257,171.958752,171.580873,0.00028,0.01968,0.011937,0.001578,0.011359,343.586684,3200,0,3200,1.7187986696e-17,0
