; "SupportedThreads",176,"UsedThreads",44,"TotalMemory",473043173376,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599734381,"CurrentTimeLocal","Thu Sep 10 12:39:41 2020","Hostname","taurusml17","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.013958,0.071294,0.03641,0.460153,0.583452,6.822377,0.239892,0.081632,8.309867,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.015267,0.071192,0.035768,0.455166,0.612952,6.612494,0.248474,0.084024,8.13608,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.015171,0.067349,0.038191,0.446513,0.612989,6.559744,0.244297,0.082461,8.067412,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.015634,0.048779,0.062046,0.441175,0.599361,6.686655,0.241994,0.0854,8.181857,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.01377,0.070011,0.035744,0.439986,0.562636,6.676608,0.231307,0.084148,8.114831,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.011001,0.079543,0.035205,0.446534,0.613276,6.777631,0.229027,0.092464,8.285284,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.013854,0.033581,0.090761,0.432227,0.571306,6.769084,0.236728,0.083005,8.231191,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.014597,0.055474,0.069639,0.422858,0.587447,6.798312,0.230712,0.083543,8.263295,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.018985,0.077711,0.035274,0.442152,0.609944,6.692543,0.238386,0.084178,8.199732,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.015154,0.072613,0.035444,0.44467,0.579843,6.900645,0.232085,0.093213,8.374315,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.010462,0.033141,0.089259,0.426852,0.575387,6.731579,0.227273,0.086107,8.180639,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.014316,0.061827,0.047705,0.424168,0.614923,6.789568,0.243408,0.091254,8.287971,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.00967,0.05115,0.069934,0.419088,0.573895,6.652084,0.226829,0.090255,8.093541,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.010156,0.062159,0.057822,0.424662,0.570923,6.796852,0.238139,0.08435,8.245673,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.014761,0.075295,0.035239,0.439939,0.560462,6.624222,0.226976,0.084592,8.062031,7308400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.014347,0.153151,0.148138,0.683156,18.637549,34.801886,0.338223,0.125447,54.902549,9585296,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.011427,0.121459,0.136922,0.668545,19.07713,35.256144,0.343318,0.103681,55.719355,9585296,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.011804,0.118235,0.138585,0.692414,19.156388,35.725301,0.354455,0.10091,56.298805,9585296,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.010306,0.119525,0.132449,0.656021,18.913261,34.82144,0.348875,0.097845,55.100487,9585296,0,4762880,5.1107359024e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.011715,0.121965,0.131893,0.669183,18.991984,35.467279,0.349821,0.099097,55.843441,9585296,0,4762880,5.1107359024e-15,0
