; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000123
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000562,0.004699,0.004147,0.000125,0.001326,0.001137,0.000102,0.000515,0.012928,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000543,0.004625,0.004141,0.000115,0.001361,0.001166,0.000101,0.000533,0.012906,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000555,0.00465,0.004002,0.000117,0.001314,0.001113,0.000102,0.000551,0.012714,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000607,0.004656,0.004059,0.000111,0.001378,0.001144,0.000106,0.000521,0.012898,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000586,0.004578,0.004037,0.000117,0.001357,0.001108,0.000101,0.000518,0.012708,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000576,0.00473,0.004029,0.000115,0.001356,0.001119,0.000104,0.000531,0.012872,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000561,0.004605,0.003987,0.000117,0.001363,0.001135,0.000104,0.000512,0.012693,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000578,0.004605,0.003996,0.000113,0.00138,0.001106,0.000103,0.000523,0.012724,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000566,0.00457,0.004006,0.000113,0.001377,0.001123,0.000105,0.000516,0.012699,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00057,0.004725,0.004042,0.000111,0.001377,0.001133,0.000109,0.000513,0.012919,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000551,0.004601,0.004002,0.000115,0.001338,0.001121,0.000102,0.000502,0.01265,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000592,0.004652,0.00402,0.000117,0.001334,0.00115,0.000105,0.000526,0.012808,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000554,0.004511,0.004053,0.000119,0.001364,0.001113,0.000104,0.000502,0.012631,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000574,0.004603,0.004051,0.000115,0.001355,0.001106,9.9e-05,0.000527,0.012746,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000553,0.004527,0.004033,0.000117,0.001375,0.001111,0.000106,0.000504,0.012638,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000569,0.004672,0.00407,0.000121,0.001363,0.001125,0.000109,0.000517,0.012853,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000295,0.006738,0.00533,0.000176,0.003973,0.001818,0.000158,0.000529,0.019327,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.00057,0.005759,0.004742,0.000154,0.001887,0.001641,0.00015,0.000571,0.015798,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000567,0.005529,0.004758,0.000176,0.001857,0.001638,0.000145,0.000521,0.015506,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000586,0.005379,0.004679,0.000155,0.001799,0.001636,0.00015,0.000504,0.015204,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000564,0.005154,0.00458,0.00017,0.001851,0.001631,0.000151,0.000494,0.014912,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000601,0.005332,0.0045,0.000155,0.001797,0.001642,0.000149,0.000515,0.015014,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000551,0.005205,0.004482,0.000166,0.001891,0.001668,0.000146,0.000515,0.014948,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.00056,0.005043,0.004418,0.000172,0.001824,0.001651,0.000148,0.000514,0.014648,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000529,0.005086,0.004459,0.000157,0.001824,0.001623,0.000153,0.000554,0.014689,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000565,0.005121,0.004379,0.000153,0.001812,0.001617,0.000146,0.000511,0.014616,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000529,0.005055,0.004451,0.000151,0.001838,0.001623,0.00015,0.000513,0.014624,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000537,0.005002,0.004404,0.000159,0.001804,0.001619,0.000142,0.00052,0.014499,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000545,0.005053,0.004351,0.000156,0.00184,0.001646,0.000146,0.000516,0.014564,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000551,0.004998,0.004448,0.000162,0.001803,0.001613,0.000153,0.000519,0.01456,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000582,0.004952,0.004421,0.000159,0.001828,0.001602,0.000144,0.000522,0.014541,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000545,0.004961,0.004434,0.00016,0.001813,0.001607,0.000147,0.000514,0.014496,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.00058,0.005091,0.00445,0.000162,0.001855,0.001647,0.000147,0.000509,0.014787,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00057,0.005038,0.004328,0.00016,0.001801,0.001625,0.00015,0.000509,0.014497,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000556,0.004989,0.004441,0.000162,0.001873,0.001607,0.00015,0.000519,0.014613,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000582,0.004974,0.004476,0.000152,0.001819,0.001619,0.000151,0.000509,0.014605,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.00024,0.007881,0.005972,0.000241,0.004316,0.002324,0.000201,0.000948,0.022447,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000254,0.006137,0.005189,0.000218,0.002463,0.002172,0.000178,0.000937,0.017867,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000237,0.005974,0.005143,0.000224,0.002387,0.002188,0.000189,0.000927,0.017609,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000194,0.005935,0.005025,0.000211,0.00241,0.00221,0.000185,0.000877,0.017366,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000191,0.005789,0.004924,0.000211,0.002373,0.002204,0.000187,0.000877,0.017062,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000196,0.005806,0.004816,0.000216,0.002399,0.002184,0.000187,0.000932,0.017058,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000199,0.005771,0.00483,0.000211,0.002361,0.002211,0.000189,0.000867,0.016957,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000201,0.005578,0.004861,0.000207,0.002344,0.00219,0.000181,0.000859,0.016744,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000199,0.005607,0.004861,0.000217,0.002393,0.00216,0.000188,0.000884,0.016832,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000184,0.005654,0.004836,0.000215,0.002404,0.002162,0.000189,0.000854,0.016822,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000191,0.005568,0.004855,0.000213,0.002391,0.002144,0.000188,0.000877,0.016747,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000182,0.005564,0.004846,0.000216,0.002365,0.002156,0.000182,0.0009,0.016732,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000196,0.005537,0.004765,0.000218,0.002427,0.002162,0.000184,0.000897,0.016703,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000183,0.005494,0.004802,0.000217,0.002422,0.002225,0.000183,0.000903,0.016753,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000192,0.005459,0.004926,0.000207,0.002398,0.002208,0.000187,0.000881,0.016763,6400,0,6400,1.3113217874e-16,0
