; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000513,473.378943,472.676302,0.000524,0.04004,0.076082,0.005125,0.01881,946.199772,3200,0,3200,2.3671572034e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000599,475.888978,474.595297,0.000509,0.032562,0.05601,0.010209,0.02289,950.611405,3200,0,3200,1.7187986696e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000551,475.671121,472.307979,0.000533,0.046919,0.055862,0.009039,0.019421,948.119189,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000593,475.65647,473.836535,0.000539,0.044004,0.061035,0.012753,0.025612,949.646414,3200,0,3200,2.3354509433e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000592,476.510359,474.207903,0.000578,0.044082,0.058539,0.010743,0.021399,950.860484,3200,0,3200,1.7187986696e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000637,478.073548,472.260354,0.000525,0.045965,0.056864,0.006529,0.037012,950.484483,3200,0,3200,2.2230398092e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.00053,474.413514,472.142803,0.000514,0.049742,0.061699,0.001397,0.016299,946.693906,3200,0,3200,1.7697556622e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000469,472.663397,474.704879,0.000541,0.040698,0.058773,0.005392,0.017737,947.504023,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.00059,475.564283,473.116464,0.000541,0.037298,0.074872,0.004871,0.016887,948.820471,3200,0,3200,2.5624126359e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000551,475.627703,473.283979,0.000504,0.044532,0.04528,0.013786,0.032373,949.053224,3200,0,3200,2.2057956943e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000593,475.407478,473.94569,0.000556,0.055658,0.061049,0.000651,0.016867,949.490834,3200,0,3200,2.2338936206e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000542,474.737993,474.430898,0.000527,0.039495,0.057087,0.017925,0.015422,949.309559,3200,0,3200,2.2230398092e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000508,476.681886,471.660833,0.000541,0.040012,0.064783,0.020021,0.02097,948.493966,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000659,473.69685,473.404891,0.000549,0.043883,0.050795,0.009777,0.024489,947.239389,3200,0,3200,1.8342050218e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000623,724.182466,711.804932,0.000678,0.036895,0.061882,0.009133,0.019798,1436.123864,4800,0,4800,5.7140537989e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000626,712.377048,712.363526,0.000668,0.04468,0.06131,0.006224,0.035411,1424.90146,4800,0,4800,5.3042642191e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000801,710.614504,711.188977,0.000639,0.053118,0.050385,0.018271,0.03147,1421.961362,4800,0,4800,5.2928251136e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000647,708.550162,709.347575,0.000694,0.055891,0.050618,0.016013,0.0228,1418.048718,4800,0,4800,4.9655073974e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000611,713.153062,710.905624,0.000672,0.05051,0.053654,0.009017,0.031685,1424.215821,4800,0,4800,6.3611359444e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000531,712.26286,710.640347,0.000685,0.048355,0.05115,0.011728,0.019437,1423.046733,4800,0,4800,6.3611359444e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.00068,714.300804,715.927608,0.000688,0.039432,0.065588,0.008201,0.040391,1430.390966,4800,0,4800,5.2901157036e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000625,709.658839,710.241967,0.000725,0.065992,0.039634,0.014046,0.024139,1420.049149,4800,0,4800,5.5670339486e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000525,713.478809,711.718428,0.00064,0.049221,0.059614,0.005803,0.022383,1425.348464,4800,0,4800,4.9567405283e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000681,712.521194,710.101987,0.000736,0.03843,0.07613,0.006903,0.018488,1422.76567,4800,0,4800,6.3611359444e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000607,712.897343,709.671355,0.000689,0.042164,0.058028,0.005742,0.031675,1422.713479,4800,0,4800,5.7140537989e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.00065,713.067636,709.474931,0.00067,0.043239,0.061765,0.000723,0.038512,1422.69255,4800,0,4800,5.5670339486e-17,0
