; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474337,"CurrentTimeLocal","Mon Sep  7 12:25:37 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000117
; "Time_ContextDestroy [ms]", 7.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.015913,23.738504,27.694249,0.391446,2.25434,0.485349,0.395282,0.962013,55.937785,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.012029,23.697863,27.652855,0.394569,2.158374,0.483399,0.395513,1.048067,55.843409,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.000347,23.850196,27.748552,0.270942,2.125345,0.484035,0.414316,1.041778,55.93621,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.01256,23.767931,27.715502,0.388809,2.209927,0.47963,0.394942,1.051189,56.021103,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.012156,23.789252,27.695339,0.38687,2.290096,0.490085,0.395695,1.031137,56.091245,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.012238,23.694138,27.58305,0.3936,1.962719,0.441959,0.3536,0.881447,55.323358,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.015344,23.767907,27.697978,0.401713,2.16521,0.490285,0.394939,0.960745,55.894785,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.012176,23.76736,27.714081,0.392032,2.240891,0.489205,0.394311,1.04172,56.052465,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.000348,23.825501,27.708212,0.237775,2.118169,0.482083,0.411176,1.049588,55.833732,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.01307,23.808613,27.927003,0.390678,2.21373,0.499597,0.395485,1.054756,56.303573,7308400,0,3630000,1.4700598092e-16,0
