; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503754536,"CurrentTimeLocal","Sat Aug 26 15:35:36 2017","Hostname","taurusi5257","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000351
; "Time_ContextDestroy [ms]", 0.000261
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000662,41.25244,41.162577,0.000499,0.040763,0.039596,0.00093,0.016386,82.515533,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.00059,41.206554,41.200399,0.000509,0.042316,0.043992,0.000701,0.012493,82.509328,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000585,41.164448,41.058025,0.000507,0.042005,0.039598,0.001065,0.012714,82.320936,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000563,41.172282,40.997243,0.000479,0.041863,0.045059,0.000844,0.01409,82.274272,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000561,41.156578,41.34552,0.000477,0.04111,0.041593,0.000914,0.015382,82.60391,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000587,41.116372,41.320032,0.000492,0.043031,0.041394,0.00096,0.016577,82.541274,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000726,41.231428,41.339923,0.000463,0.038223,0.042499,0.00083,0.014879,82.670871,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000618,41.179901,41.19859,0.000489,0.040719,0.043112,0.000664,0.013632,82.479592,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000583,41.020575,41.123145,0.000485,0.043361,0.03996,0.000888,0.015941,82.246861,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000623,41.034867,41.275386,0.000512,0.039853,0.038997,0.000964,0.016194,82.409257,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000798,40.972366,41.136749,0.000497,0.039283,0.040548,0.001032,0.01655,82.209827,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000665,41.17675,41.184497,0.000513,0.041938,0.042311,0.000987,0.012846,82.462345,2888,0,2888,5.0022892395e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000794,240.955587,244.744731,0.012461,0.087766,0.073541,0.010136,0.105692,485.992713,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000641,245.172647,238.597258,0.012776,0.080177,0.074061,0.010036,0.106374,484.055902,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000864,239.532454,242.220066,0.012615,0.080516,0.082308,0.011652,0.107931,482.050241,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.000764,237.728254,241.976998,0.012222,0.075714,0.073481,0.010342,0.106965,479.986637,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.00091,243.752667,242.996926,0.012782,0.079311,0.081213,0.009961,0.109498,487.045123,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.000684,244.721947,243.018495,0.012203,0.080233,0.0762,0.009548,0.104078,488.025308,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.000804,241.480603,243.043926,0.01251,0.082295,0.072595,0.009841,0.11033,484.814788,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.00078,240.533233,242.151038,0.012804,0.086459,0.084452,0.010813,0.107933,482.989327,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.000866,238.565904,238.565122,0.012002,0.078427,0.079387,0.009674,0.103523,477.416924,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,9,69,"Success",0.000634,236.465226,239.583322,0.013076,0.079455,0.075022,0.009825,0.105483,476.33371,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,10,69,"Success",0.000774,238.182906,239.735008,0.012184,0.086565,0.078192,0.00973,0.103869,478.210962,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,11,69,"Success",0.000711,237.535178,240.916285,0.012439,0.079683,0.075702,0.009166,0.108198,478.739271,54872,0,54872,5.9332238039e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,0,70,"Warmup",0.001047,1289.958336,1297.43515,0.141243,0.51456,0.430138,0.207711,0.236068,2588.926677,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,1,70,"Warmup",0.000736,1308.902009,1308.533333,0.141375,0.502855,0.431366,0.202317,0.251045,2618.967304,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,2,70,"Success",0.000902,1295.737619,1308.732121,0.141487,0.50441,0.436519,0.20219,0.250675,2606.008317,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,3,70,"Success",0.000778,1301.066696,1302.789231,0.141547,0.660509,0.446143,0.20187,0.23367,2605.542722,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,4,70,"Success",0.000756,1308.196743,1305.338596,0.141626,0.498892,0.431934,0.202714,0.231173,2615.044707,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,5,70,"Success",0.00086,1301.938869,1308.562961,0.145372,0.624084,0.433277,0.211897,0.252708,2612.172329,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,6,70,"Success",0.000756,1315.831109,1297.233236,0.148529,0.494094,0.433988,0.21153,0.236286,2614.591668,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,7,70,"Success",0.000796,1317.336254,1308.016914,0.144843,0.623173,0.431933,0.212523,0.236859,2627.005425,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,8,70,"Success",0.000739,1311.505259,1311.62523,0.145426,0.499621,0.43254,0.211472,0.255758,2624.678431,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,9,70,"Success",0.00079,1316.447234,1317.297214,0.14849,0.580748,0.433203,0.211981,0.251558,2635.373399,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,10,70,"Success",0.000778,1304.503891,1304.521121,0.145266,0.657038,0.442987,0.211549,0.243455,2610.728533,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,11,70,"Success",0.0007,1313.08203,1300.207096,0.145132,0.504795,0.434663,0.211627,0.257147,2614.845592,1042568,0,1042568,6.9887059109e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,0,71,"Warmup",0.0078,8797.025283,8760.32033,4.586194,10.091626,9.725803,3.69183,0.285007,17585.736685,19808792,0,19808792,9.6593221279e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,1,71,"Warmup",0.001237,8784.651578,8735.645132,4.597584,10.042002,9.781488,3.744031,0.268725,17548.734275,19808792,0,19808792,9.6919106812e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,2,71,"Success",0.000956,8772.993506,8759.881118,4.542575,10.013136,9.686524,3.723052,0.264369,17561.107725,19808792,0,19808792,9.6878387218e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,3,71,"Success",0.001247,8785.751847,8704.374099,4.562369,9.94754,9.712146,3.720489,0.264498,17518.336748,19808792,0,19808792,9.6919106812e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,4,71,"Success",0.001337,8748.201055,8763.929081,4.593458,9.88028,9.754737,3.700664,0.290352,17540.35324,19808792,0,19808792,9.6613974428e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,5,71,"Success",0.00148,8745.581823,8596.548948,4.559702,10.035021,9.808854,3.762588,0.28026,17370.581064,19808792,0,19808792,9.6878387218e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,6,71,"Success",0.001388,8762.697302,8764.140695,4.421356,9.96349,9.645129,3.726214,0.272187,17554.870447,19808792,0,19808792,9.6916026299e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,7,71,"Success",0.001193,8791.280218,8815.963321,4.579247,10.111407,9.7121,3.714716,0.283322,17635.648226,19808792,0,19808792,9.6270047801e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,8,71,"Success",0.00105,8792.78698,8728.162237,4.541433,10.043482,9.709318,3.737803,0.273116,17549.258239,19808792,0,19808792,9.6352698575e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,9,71,"Success",0.001393,8748.718136,8743.539971,4.575523,10.071758,9.671873,3.704806,0.287283,17520.573297,19808792,0,19808792,9.6270047801e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,10,71,"Success",0.001331,8798.309897,8735.323577,4.526222,10.027606,9.710604,3.724938,0.263405,17561.889941,19808792,0,19808792,9.6919106812e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",361,6859,0,11,71,"Success",0.001121,8825.702357,8683.866156,4.233725,10.288579,10.050671,3.680237,0.266831,17538.092352,19808792,0,19808792,9.6919106812e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,0,72,"Warmup",0.006302,158499.56131,160920.80083,64.380492,303.150737,302.704073,64.026182,20.072225,320174.70597,376367048,0,376367048,9.6636614163e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,1,72,"Warmup",0.006443,160913.42115,162202.96694,62.65219,303.969558,304.736477,62.699091,20.09434,323870.55034,376367048,0,376367048,9.6636614163e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,2,72,"Success",0.006902,159608.6689,158703.20112,62.222425,300.609098,302.133319,62.661801,20.053372,319059.56153,376367048,0,376367048,9.6778026776e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,3,72,"Success",0.006682,159866.72338,159645.01962,64.337568,293.446843,298.961891,64.075954,20.110212,320252.6861,376367048,0,376367048,9.7118919765e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,4,72,"Success",0.006788,160274.48538,159344.5687,61.284889,293.383399,300.57726,61.152636,20.068298,320355.53159,376367048,0,376367048,9.7118919765e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,5,72,"Success",0.006278,165566.30962,164308.2407,95.569937,291.984394,296.575216,88.470034,20.761741,330667.92238,376367048,0,376367048,9.6636614163e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,6,72,"Success",0.00601,158008.88521,158112.51953,67.9807,295.449409,301.252479,69.048861,24.283273,316879.43243,376367048,0,376367048,9.732938496e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,7,72,"Success",0.006405,159307.73525,157779.81099,67.950613,300.470029,300.562745,69.332713,24.350785,317850.22414,376367048,0,376367048,9.6648587966e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,8,72,"Success",0.005944,158420.94863,158261.4679,70.045986,302.001785,303.234001,71.84734,24.554118,317454.11033,376367048,0,376367048,9.6778026776e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,9,72,"Success",0.006449,159551.15996,166695.30057,70.206284,304.270565,308.421169,66.994025,27.609237,327023.9731,376367048,0,376367048,9.6636614163e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,10,72,"Success",0.007153,160555.83437,163029.92305,95.853219,301.528673,299.621341,88.947073,20.801814,324392.52125,376367048,0,376367048,9.6801914762e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,11,72,"Success",0.006136,158581.39022,158648.70773,69.452087,299.397989,299.961481,71.620455,24.493253,317995.03377,376367048,0,376367048,9.646291577e-08,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,0,0,"Warmup",0.000415,9.384889,9.212914,0.000257,0.015254,0.014914,0.000175,0.004609,18.635455,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,1,0,"Warmup",0.000409,9.385754,9.160282,0.000244,0.014002,0.013175,0.000196,0.005094,18.580993,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,2,0,"Success",0.000433,9.335698,9.153049,0.000254,0.01903,0.000327,0.000179,0.003067,18.513511,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,3,0,"Success",0.000411,9.422895,9.019234,0.000251,0.013161,0.012519,0.000174,0.004262,18.474979,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,4,0,"Success",0.000405,8.992397,8.918696,0.000245,0.000391,0.000195,0.000166,0.001369,17.915306,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,5,0,"Success",0.000385,9.019685,8.818121,0.000238,0.012139,0.011802,0.000188,0.005023,17.869531,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,6,0,"Success",0.000417,9.267038,9.288562,0.000252,0.000417,0.013616,0.000168,0.003756,18.576163,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,7,0,"Success",0.000419,9.246772,9.190214,0.000243,0.012838,0.012036,0.000178,0.004394,18.46919,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,8,0,"Success",0.000451,9.14329,9.143025,0.000256,0.000407,0.012786,0.000174,0.003657,18.306174,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,9,0,"Success",0.000417,9.3684,9.069656,0.000259,0.014033,0.01462,0.000211,0.004506,18.4744,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,10,0,"Success",0.000399,9.350689,9.044751,0.00027,0.013555,0.014855,0.000192,0.004794,18.432085,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,11,0,"Success",0.000439,9.310864,9.023083,0.000296,0.013754,0.015111,0.000215,0.004888,18.371097,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,0,1,"Warmup",0.000363,11.667706,11.351981,0.000247,0.012892,0.013005,0.000225,0.003506,23.051956,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,1,1,"Warmup",0.000395,11.503825,11.261478,0.000265,0.01459,0.01527,0.000167,0.005898,22.803683,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,2,1,"Success",0.000377,11.48239,11.347304,0.00027,0.014151,0.015097,0.000161,0.004004,22.865934,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,3,1,"Success",0.000399,11.516295,11.318708,0.000269,0.014847,0.012687,0.000178,0.004446,22.869489,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,4,1,"Success",0.000361,11.478293,11.213264,0.000268,0.015536,0.014279,0.000214,0.004753,22.729006,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,5,1,"Success",0.000399,11.542013,11.315801,0.000266,0.012495,0.014636,0.000168,0.004294,22.892018,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,6,1,"Success",0.000373,11.662449,11.3517,0.00026,0.013724,0.014093,0.000164,0.005577,23.050406,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,7,1,"Success",0.000381,11.575931,11.664748,0.000251,0.014301,0.014436,0.000187,0.005794,23.277939,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,8,1,"Success",0.000329,11.542329,11.415817,0.000256,0.014461,0.012712,0.000177,0.004352,22.992309,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,9,1,"Success",0.000389,11.742592,11.39105,0.000266,0.013748,0.014277,0.000181,0.004434,23.168918,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,10,1,"Success",0.000401,11.685611,11.727828,0.000257,0.01257,0.013122,0.000204,0.004775,23.44637,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,11,1,"Success",0.000417,11.629896,11.64207,0.000261,0.013127,0.014087,0.00017,0.005244,23.307222,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,0,2,"Warmup",0.000415,9.429689,9.196752,0.000335,0.012058,0.01251,0.000213,0.005976,18.659713,128,0,128,0,0
