; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504623,"CurrentTimeLocal","Wed Aug 23 18:10:23 2017","Hostname","taurusi5449","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000368
; "Time_ContextDestroy [ms]", 0.000283
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000407,0.365165,0.346111,0.000266,0.000884,0.000439,0.000196,0.000965,0.71586,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000413,0.351424,0.326145,0.000263,0.000748,0.000439,0.000181,0.000902,0.681944,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000361,0.350661,0.325709,0.000202,0.000656,0.000405,0.000181,0.000926,0.680509,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000397,0.347319,0.324069,0.000214,0.000641,0.000411,0.000178,0.000888,0.675479,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000388,0.341654,0.324366,0.000201,0.000666,0.000407,0.000177,0.000894,0.670154,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000391,0.342591,0.325429,0.000169,0.000702,0.000425,0.000153,0.000896,0.672147,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000379,0.341802,0.331599,0.000174,0.000688,0.000387,0.000153,0.00096,0.677515,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000385,0.340638,0.337721,0.000164,0.000602,0.000399,0.000154,0.00088,0.682327,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000347,0.347246,0.323699,0.000164,0.000658,0.000399,0.000153,0.000902,0.674882,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000419,0.364312,0.324472,0.000165,0.000676,0.000377,0.000167,0.000942,0.692848,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000344,0.346143,0.323324,0.000168,0.000652,0.000407,0.000147,0.00089,0.673554,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000409,0.340773,0.322913,0.000171,0.000636,0.000383,0.000144,0.000848,0.667626,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000606,2.973765,2.895218,0.000589,0.235855,0.063118,0.000968,0.042896,6.214849,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000589,2.939657,2.870949,0.000591,0.115019,0.075612,0.000872,0.038676,6.043705,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.00064,2.955484,2.875112,0.000601,0.119858,0.076879,0.000814,0.039544,6.070593,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000599,2.940983,2.878339,0.000599,0.115311,0.061299,0.000948,0.040245,6.039973,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.00062,2.938933,2.871,0.000602,0.11177,0.058168,0.000944,0.043082,6.026846,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.0006,2.954427,2.866476,0.000597,0.111772,0.064087,0.000883,0.052115,6.052664,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000659,2.942653,2.892395,0.000581,0.120606,0.062874,0.000965,0.039309,6.061694,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000626,2.925888,2.861561,0.000597,0.119116,0.059765,0.000872,0.040434,6.010537,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000617,2.955363,2.881296,0.000637,0.128473,0.064053,0.000836,0.041325,6.07431,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000652,2.940343,2.862598,0.000601,0.117905,0.080957,0.000948,0.040131,6.045903,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000629,2.937687,2.867763,0.000575,0.127216,0.058793,0.000864,0.038893,6.033985,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.00059,2.948641,2.8728,0.000634,0.134421,0.069864,0.000942,0.050463,6.080144,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000848,36.11453,36.221769,0.012888,0.227511,0.14709,0.010673,0.133324,72.870278,54872,0,54872,5.8632070274e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.00072,36.092936,36.177906,0.009903,0.21504,0.14997,0.011036,0.138165,72.797428,54872,0,54872,5.8632070274e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000645,36.122202,36.147406,0.009612,0.221651,0.152411,0.011358,0.1332,72.800307,54872,0,54872,5.8632070274e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000641,36.116437,36.189016,0.010936,0.241055,0.156334,0.011635,0.140454,72.868242,54872,0,54872,5.8632070274e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000667,36.097669,36.163886,0.00949,0.238561,0.147364,0.010484,0.131479,72.801352,54872,0,54872,5.8632070274e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000757,36.095237,36.186132,0.009759,0.244827,0.18587,0.011082,0.146132,72.881578,54872,0,54872,5.8632070274e-08,0
