; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",15964327936,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534882441,"CurrentTimeLocal","Tue Aug 21 23:14:01 2018","Hostname","teegema","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000186
; "Time_ContextDestroy [ms]", 7.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,44,"Success",0.003376,106.468277,106.24688,0.008086,0.205939,0.20688,0.003031,0.003395,213.146669,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,44,"Success",0.003487,106.483654,106.039388,0.008389,0.20608,0.207496,0.003042,0.003645,212.955963,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,44,"Success",0.003608,106.316193,106.226211,0.009033,0.206592,0.211899,0.003115,0.003846,212.981311,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,44,"Success",0.003624,106.343174,106.222265,0.008166,0.206163,0.210321,0.003073,0.007705,213.005267,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,44,"Success",0.003656,106.249893,106.080197,0.008239,0.206126,0.206103,0.003143,0.003426,212.761472,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,44,"Success",0.003432,106.173371,106.319711,0.008527,0.20654,0.206338,0.003024,0.003607,212.925771,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,44,"Success",0.003457,106.23638,106.135748,0.008536,0.206704,0.20753,0.003078,0.003516,212.805724,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,44,"Success",0.00337,106.302071,106.069786,0.008227,0.206182,0.207118,0.003028,0.003615,212.804105,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,44,"Success",0.003317,109.550171,106.048932,0.008325,0.205979,0.207684,0.003101,0.003677,216.032267,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,44,"Success",0.003525,106.268678,106.267938,0.008457,0.205779,0.207574,0.003059,0.003485,212.969211,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,45,"Warmup",0.00256,735.931905,733.656413,0.284226,6.086815,6.07418,0.166565,0.014121,1482.218042,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,45,"Warmup",0.025528,735.420399,739.327506,0.289095,6.16099,6.071225,0.166733,0.01408,1487.476911,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,45,"Success",0.024287,735.428124,740.572871,0.268904,6.102581,6.069464,0.168567,0.014536,1488.65058,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,45,"Success",0.025475,736.346081,742.007532,0.268692,6.125649,6.117479,0.167285,0.013649,1491.073068,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,45,"Success",0.025709,739.495649,898.16751,0.289552,6.177755,6.242597,0.168192,0.014955,1650.583198,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,45,"Success",0.024945,744.44237,734.202507,0.280392,6.137742,6.057866,0.168374,0.014602,1491.330156,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,45,"Success",0.026852,736.439315,735.866633,0.284902,6.19716,6.245605,0.171417,0.015998,1485.249321,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,45,"Success",0.025655,735.80705,739.161196,0.295706,6.113035,6.103007,0.166394,0.013845,1487.687204,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,45,"Success",0.025518,735.089147,733.555269,0.292333,6.111554,6.085552,0.166546,0.01391,1481.340989,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,45,"Success",0.025459,736.487066,738.236676,0.292731,6.133425,6.090012,0.168537,0.014586,1487.449824,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,45,"Success",0.025079,736.086951,738.743994,0.29029,6.100124,6.099515,0.168421,0.015639,1487.531547,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,45,"Success",0.025554,735.584863,744.876934,0.277534,6.127566,6.158447,0.16786,0.014911,1493.234961,1042568,0,1042568,8.0460861831e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000141,0.393403,0.255439,5.8e-05,0.0001,8.3e-05,4.2e-05,0.00039,0.650121,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000144,0.398149,0.255181,5.7e-05,9.3e-05,5.8e-05,4.3e-05,0.000418,0.654543,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.00014,0.421784,0.262033,5.9e-05,0.000147,9.4e-05,4.7e-05,0.00045,0.685542,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000143,0.397254,0.255521,5.8e-05,8.1e-05,7.3e-05,4.3e-05,0.00044,0.654052,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.00016,0.607937,0.334301,0.000178,0.000369,7.7e-05,5.3e-05,0.001086,0.944776,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.0003,0.725402,0.279954,0.000131,0.000252,0.000108,4.8e-05,0.000818,1.0076,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.00018,0.462058,0.271073,6.4e-05,0.0001,6.1e-05,4.3e-05,0.000425,0.734403,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000147,0.426275,0.271216,7e-05,9.4e-05,6.3e-05,4.3e-05,0.000452,0.698796,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000155,0.408409,0.276249,6.8e-05,9.4e-05,6.1e-05,4.8e-05,0.000391,0.685907,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000146,0.407796,0.270153,6.5e-05,9.6e-05,5.8e-05,4.3e-05,0.000391,0.67914,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000149,0.407866,0.269686,6.5e-05,9.7e-05,6.8e-05,4.4e-05,0.000376,0.678745,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.00015,0.406708,0.273726,6.7e-05,9.7e-05,6.5e-05,4.3e-05,0.000375,0.681664,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000304,0.459326,0.281545,7.3e-05,0.000183,6.3e-05,5.1e-05,0.000517,0.74248,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000272,0.420403,0.277757,6.9e-05,9.9e-05,6.3e-05,4.4e-05,0.000459,0.699656,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.00064,0.413258,0.282187,6.9e-05,8.5e-05,5.7e-05,4.3e-05,0.000502,0.697236,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000685,0.412216,0.276999,7e-05,8.8e-05,6.4e-05,4.3e-05,0.000424,0.690985,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000648,0.428236,0.275373,7.2e-05,9.3e-05,5.8e-05,4.4e-05,0.000441,0.70542,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.00071,0.426121,0.277726,6.9e-05,9.3e-05,7.8e-05,4.7e-05,0.000497,0.705778,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000671,0.417019,0.2843,6.7e-05,0.0001,6.4e-05,4.7e-05,0.000425,0.703099,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000618,0.414084,0.276358,6.8e-05,0.000104,6.3e-05,4.3e-05,0.000424,0.692193,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000713,0.423961,0.276085,6.8e-05,0.000105,5.7e-05,4.3e-05,0.000474,0.701902,64,0,64,0,0
