; "SupportedThreads",176,"UsedThreads",44,"TotalMemory",473043173376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599734238,"CurrentTimeLocal","Thu Sep 10 12:37:18 2020","Hostname","taurusml17","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000453,0.064005,0.004749,0.000137,0.007227,0.000955,0.000106,0.000651,0.078649,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000627,0.004953,0.004016,0.000104,0.001,0.000707,9.2e-05,0.00059,0.012454,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000594,0.004795,0.003894,0.000104,0.00091,0.000693,9.1e-05,0.000609,0.012046,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.00053,0.004638,0.003802,0.0001,0.000973,0.000699,8.9e-05,0.000552,0.011749,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00055,0.004477,0.003788,8.6e-05,0.000935,0.000715,8.6e-05,0.000576,0.011551,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000543,0.004482,0.00373,9.2e-05,0.000877,0.000709,8e-05,0.000532,0.011398,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000586,0.004363,0.003795,8.4e-05,0.000869,0.000686,8.2e-05,0.000541,0.011351,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000561,0.004347,0.0036,8.4e-05,0.000871,0.000697,7.7e-05,0.000543,0.011105,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000547,0.004404,0.003641,8.6e-05,0.000871,0.000685,7e-05,0.000571,0.011201,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.0005,0.004267,0.003615,8.2e-05,0.000938,0.000707,6.7e-05,0.000541,0.011051,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000553,0.004322,0.003701,9e-05,0.000859,0.000701,7.1e-05,0.000533,0.011185,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000525,0.004278,0.003617,7.8e-05,0.000863,0.000676,6.4e-05,0.00055,0.01099,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000551,0.004183,0.003537,8.2e-05,0.000836,0.000701,6.4e-05,0.000541,0.010831,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.000551,0.004301,0.003663,8.8e-05,0.000815,0.000703,7e-05,0.000549,0.011105,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000557,0.004105,0.003571,8.4e-05,0.000857,0.000678,6.4e-05,0.000523,0.010753,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000515,0.004111,0.003686,8.2e-05,0.000924,0.000689,6.8e-05,0.000535,0.010939,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000539,0.00427,0.003515,9.4e-05,0.000867,0.000699,6.8e-05,0.000544,0.010953,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.000522,0.004119,0.003562,8.4e-05,0.000832,0.00072,6.9e-05,0.000545,0.010761,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000517,0.004189,0.003515,8.3e-05,0.000863,0.000691,6.9e-05,0.000576,0.010831,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000537,0.00415,0.003597,8.4e-05,0.000863,0.000689,6.9e-05,0.000529,0.010886,1600,0,1600,1.1064369999e-16,0
