; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161880,"CurrentTimeLocal","Tue Sep 15 11:24:40 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000191
; "Time_ContextDestroy [ms]", 7.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.000185,16.67239,18.766428,0.219969,4.977521,2.202151,0.187534,0.125933,43.152561,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.000213,16.610909,18.395692,0.234948,4.974189,0.39225,0.189078,0.133459,40.931138,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.000233,17.014784,19.150925,0.235459,4.696961,4.354525,0.189501,0.132351,45.775162,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000223,17.353096,19.523315,0.241326,1.149441,0.396052,0.189292,0.130652,38.983802,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.000224,17.340047,19.523414,0.222449,1.152164,0.383855,0.186958,0.133667,38.943207,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.000215,17.061447,19.157037,0.235636,5.911429,5.421973,0.189835,0.136775,48.114798,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.000192,17.020815,19.174181,0.234488,2.919494,0.383517,0.189438,0.131631,40.054165,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.000217,17.00628,19.168322,0.236472,5.234899,1.907064,0.188575,0.131702,43.874003,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.000199,17.364809,19.550752,0.239459,4.201975,0.385179,0.188812,0.135733,42.06739,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.000226,17.351786,19.524604,0.238958,4.188997,0.411842,0.189284,0.123515,42.02964,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.000225,17.624524,19.725485,0.240111,0.375975,0.397038,0.189622,0.1343,38.687742,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.000244,17.366939,19.562796,0.239499,4.206753,0.394321,0.189064,0.134887,42.094913,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.000246,17.53915,19.704548,0.239321,4.198385,0.410571,0.189454,0.125316,42.40741,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.000205,17.35355,19.557176,0.240378,4.206557,0.418991,0.189212,0.131865,42.098339,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.005326,59.302508,61.659397,0.598365,3.553589,10.754725,0.254175,0.253586,136.382158,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.006422,53.184706,55.276447,0.539107,7.437907,10.384074,0.255416,0.185954,127.270473,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.000281,53.742546,55.832768,0.326685,7.090051,10.470489,0.254807,0.196255,127.914324,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.000281,53.080703,55.192698,0.324811,9.215122,8.794971,0.25109,0.185841,127.045934,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.000286,53.753837,55.852342,0.323883,7.757341,9.104644,0.257733,0.194678,127.245201,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.00027,53.150018,55.257243,0.30784,8.64148,9.710203,0.246544,0.185585,127.499576,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.000279,53.720532,55.913966,0.322676,8.639907,11.24708,0.250401,0.195651,130.290846,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.000267,53.11819,55.183861,0.322375,8.662349,9.991481,0.248677,0.18537,127.713016,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.000259,53.747202,55.861454,0.321737,7.035281,10.411602,0.245151,0.187591,127.810687,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.000336,53.151079,55.259128,0.322395,7.98954,10.42747,0.248452,0.184308,127.58387,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.000278,53.778138,55.815776,0.322555,8.533529,8.189021,0.252649,0.200029,127.092358,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.000291,53.084568,55.209512,0.325774,7.264556,7.534117,0.250342,0.179347,123.848923,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.000254,53.782008,55.792549,0.321502,7.009163,8.629154,0.248765,0.193161,125.976926,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.000268,53.108362,55.186556,0.324213,6.551012,8.928353,0.248306,0.18935,124.536841,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.000246,53.731049,56.115857,0.322743,9.134854,8.719295,0.245999,0.195228,128.465649,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.000285,53.121754,55.188646,0.30779,7.711911,10.545363,0.242171,0.183464,127.301753,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.000316,53.750921,55.884129,0.323859,7.141504,7.547759,0.247719,0.196444,125.093051,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.000238,53.079399,55.149288,0.32156,7.539868,10.511158,0.247429,0.177634,127.02695,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.00025,53.915392,56.098054,0.324459,9.063278,8.380959,0.249624,0.196641,128.229085,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.000256,53.095731,55.199888,0.323357,7.516588,9.091007,0.247493,0.184305,125.659027,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.007457,10.786825,11.239769,0.237402,8.205757,5.390486,0.111578,0.197542,36.177326,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.004828,10.732352,11.252228,0.205067,1.318011,0.34039,0.111236,0.112211,24.076776,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000222,10.873235,11.460365,0.117739,1.198336,0.344233,0.112354,0.112365,24.219276,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000233,10.88529,11.457786,0.107367,4.560274,5.387106,0.112307,0.114514,32.625417,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000201,10.825289,11.434425,0.118985,1.186155,0.349679,0.112287,0.123839,24.151308,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000213,10.656248,11.241957,0.117685,1.313495,0.343654,0.11233,0.126318,23.912336,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000203,10.641551,11.264218,0.105383,1.299203,0.344109,0.111775,0.12123,23.888138,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.000207,10.652229,11.204221,0.108088,1.330882,0.345263,0.111328,0.119693,23.872339,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000236,10.646051,11.218779,0.11707,1.305242,0.345851,0.111342,0.12271,23.867703,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000211,10.667706,11.229036,0.118236,1.204298,0.351776,0.112273,0.126083,23.810142,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.000227,10.719539,11.269429,0.119064,1.320851,0.341386,0.11188,0.112801,23.99561,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.000193,10.65008,11.197086,0.117301,1.186484,0.340744,0.112472,0.193985,23.798762,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000271,10.727548,11.272126,0.115466,1.304398,0.340419,0.113101,0.123367,23.99715,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000227,10.717291,11.258977,0.107053,1.317085,0.342696,0.112111,0.129136,23.985023,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000217,10.671994,11.227136,0.106159,1.306736,0.343296,0.112311,0.11342,23.881698,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000201,10.651369,11.232852,0.117096,1.314025,0.344565,0.111729,0.119465,23.891733,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000232,10.653818,11.202811,0.108006,1.322911,0.344941,0.112888,0.120888,23.866927,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000202,10.711324,11.268051,0.107536,1.191862,0.3449,0.112115,0.116071,23.852491,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.000222,10.648783,11.004077,0.115619,1.307548,0.34272,0.111724,0.120611,23.651727,2041200,0,2025000,1.2892023476e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000236,10.445094,10.996168,0.109155,1.319663,0.347817,0.111795,0.120324,23.450684,2041200,0,2025000,1.2892023476e-16,0
