; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853342,"CurrentTimeLocal","Wed Sep 23 11:29:02 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.7e-05
; "Time_ContextDestroy [ms]", 0.000117
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,0,"Success",0.004685,59.787563,61.887705,0.561505,9.276886,7.964608,0.258416,0.279856,140.021674,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,0,"Success",0.005996,59.837996,62.163969,0.584752,5.846363,7.219971,0.258495,0.208591,136.126585,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,0,"Success",0.000383,59.879894,62.118576,0.315833,6.024003,7.9808,0.262371,0.208608,136.79091,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,0,"Success",0.000246,59.899634,62.187151,0.31349,6.487499,7.130349,0.26202,0.203517,136.484452,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,0,"Success",0.000265,59.921561,59.299631,0.313546,7.396914,7.01481,0.254089,0.187347,134.388554,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,0,"Success",0.000238,53.307093,55.323441,0.314177,6.387351,7.255446,0.253741,0.186684,123.02854,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,0,"Success",0.000285,53.738414,55.778161,0.314413,6.553448,7.801425,0.254031,0.191927,124.632488,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,0,"Success",0.000252,53.749197,55.810595,0.313155,6.386629,7.625207,0.255931,0.189361,124.330699,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,0,"Success",0.000284,53.139995,55.240856,0.312003,5.939891,7.169424,0.256464,0.184472,122.243775,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,0,"Success",0.000363,53.17626,55.243834,0.31229,5.959488,6.946806,0.252534,0.18875,122.080701,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,0,"Success",0.000335,53.146867,55.237717,0.311776,5.850375,8.158222,0.259245,0.208292,123.173457,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,0,"Success",0.000238,53.267309,55.30535,0.313961,7.198855,8.303878,0.259658,0.198494,124.848201,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,0,"Success",0.000283,53.773316,55.910527,0.313902,7.031858,10.827855,0.25558,0.191538,128.305265,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,0,"Success",0.000246,53.764785,55.881715,0.306194,8.045016,11.275291,0.260097,0.188523,129.722268,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,0,"Success",0.000289,53.822144,55.833361,0.30657,8.372857,10.876424,0.262355,0.206155,129.680541,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,0,"Success",0.000244,53.230561,55.239123,0.312726,7.921086,10.671471,0.259249,0.202257,127.837135,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,0,"Success",0.000221,53.779296,55.879223,0.311799,9.683933,8.864097,0.255445,0.188113,128.96253,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,0,"Success",0.000211,53.769005,55.841812,0.312556,7.754584,8.800025,0.259641,0.184734,126.922952,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,0,"Success",0.000328,53.984332,56.120796,0.314453,8.383996,9.616532,0.280747,0.220364,128.922188,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,0,"Success",0.000295,53.43577,55.533475,0.314607,7.30705,8.795556,0.255696,0.196542,125.839475,4822416,0,4762880,1.1168004092e-16,0
